Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2015-10-28,20-333,LAL,,MIN,L (-1),1,30:04,5,13,.385,0,0,,5,6,.833,2,9,11,2,0,0,1,3,15,10.8,+2,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
2,2,2015-10-30,20-335,LAL,@,SAC,L (-18),1,16:13,1,4,.250,0,0,,1,4,.250,0,2,2,1,0,0,5,5,3,-6.3,-27,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
3,3,2015-11-01,20-337,LAL,,DAL,L (-10),1,33:37,9,17,.529,0,0,,4,8,.500,0,15,15,4,4,1,2,2,22,21.3,+2,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
4,4,2015-11-03,20-339,LAL,,DEN,L (-11),1,32:19,7,14,.500,0,0,,2,3,.667,0,5,5,2,1,1,2,2,16,10.4,-7,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
5,5,2015-11-06,20-342,LAL,@,BRK,W (+6),1,31:58,5,9,.556,0,0,,4,6,.667,0,7,7,3,1,1,3,2,14,11.0,-6,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
6,6,2015-11-08,20-344,LAL,@,NYK,L (-4),1,29:57,3,12,.250,0,1,.000,0,0,,5,6,11,3,0,0,0,4,6,4.6,-12,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
7,7,2015-11-10,20-346,LAL,@,MIA,L (-13),1,25:33,2,6,.333,0,1,.000,3,5,.600,0,7,7,4,0,0,2,3,7,4.5,-19,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
8,8,2015-11-11,20-347,LAL,@,ORL,L (-2),1,27:36,6,10,.600,0,1,.000,0,3,.000,0,8,8,4,0,1,0,2,12,11.3,-4,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
9,9,2015-11-13,20-349,LAL,@,DAL,L (-8),1,30:28,2,9,.222,0,0,,2,2,1.000,0,10,10,2,1,1,4,5,6,0.6,-5,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
10,10,2015-11-15,20-351,LAL,,DET,W (+12),1,30:39,3,8,.375,0,0,,2,3,.667,3,5,8,2,1,1,2,2,8,7.1,-3,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
11,11,2015-11-16,20-352,LAL,@,PHO,L (-19),1,25:09,2,6,.333,0,0,,2,2,1.000,1,4,5,2,0,0,4,5,6,-0.1,-1,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
12,12,2015-11-20,20-356,LAL,,TOR,L (-11),1,29:58,6,9,.667,0,0,,6,6,1.000,2,10,12,1,0,1,1,5,18,16.9,+15,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
13,13,2015-11-22,20-358,LAL,,POR,L (-14),1,31:36,5,15,.333,0,0,,3,3,1.000,7,6,13,1,0,0,0,0,13,11.9,-18,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
14,14,2015-11-24,20-360,LAL,@,GSW,L (-34),1,24:01,3,6,.500,0,0,,4,4,1.000,0,6,6,0,1,1,0,0,10,10.5,-18,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
15,15,2015-11-28,20-364,LAL,@,POR,L (-12),1,29:52,8,13,.615,0,0,,0,2,.000,1,5,6,4,3,1,1,3,16,15.8,-3,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
16,16,2015-11-29,21-000,LAL,,IND,L (-4),1,27:05,4,11,.364,0,0,,3,4,.750,1,11,12,1,0,1,4,5,11,3.9,+5,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
17,17,2015-12-01,21-002,LAL,@,PHI,L (-12),1,28:22,5,12,.417,0,1,.000,2,3,.667,3,8,11,2,1,0,0,4,12,10.5,-5,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
18,18,2015-12-02,21-003,LAL,@,WAS,W (+4),1,31:14,7,15,.467,0,1,.000,1,2,.500,7,12,19,1,2,0,2,2,15,15.3,-9,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
19,19,2015-12-04,21-005,LAL,@,ATL,L (-13),1,27:47,3,12,.250,0,0,,2,2,1.000,3,2,5,0,3,1,1,2,8,5.4,-27,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
20,20,2015-12-06,21-007,LAL,@,DET,L (-20),1,24:24,5,9,.556,0,0,,5,7,.714,2,9,11,0,0,0,0,2,15,13.2,-22,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
21,21,2015-12-07,21-008,LAL,@,TOR,L (-9),0,20:45,6,13,.462,0,0,,3,3,1.000,7,4,11,0,0,0,1,1,15,13.0,-4,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
22,22,2015-12-09,21-010,LAL,@,MIN,L (-1),0,33:00,7,13,.538,0,0,,6,11,.545,3,9,12,1,1,0,0,3,20,17.0,+8,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
23,23,2015-12-11,21-012,LAL,@,SAS,L (-22),0,20:26,2,9,.222,0,0,,0,0,,1,6,7,0,0,1,2,4,4,-1.9,-8,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
24,24,2015-12-12,21-013,LAL,@,HOU,L (-29),0,22:57,3,11,.273,0,1,.000,1,2,.500,3,7,10,2,1,0,3,5,7,1.7,-34,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
25,25,2015-12-15,21-016,LAL,,MIL,W (+18),0,24:48,6,12,.500,0,1,.000,2,2,1.000,6,8,14,1,0,0,4,4,14,9.7,-4,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
26,26,2015-12-17,21-018,LAL,,HOU,L (-20),0,23:24,6,15,.400,1,1,1.000,5,6,.833,3,7,10,2,1,0,1,5,18,13.1,-4,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
27,27,2015-12-19,21-020,LAL,@,OKC,L (-40),0,25:54,1,7,.143,0,1,.000,0,0,,3,4,7,0,0,0,5,3,2,-5.4,-28,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
28,28,2015-12-22,21-023,LAL,@,DEN,W (+4),0,28:11,3,7,.429,0,0,,2,3,.667,3,7,10,1,0,0,2,1,8,6.4,-1,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
29,,2015-12-23,21-024,LAL,,OKC,L (-35),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
30,29,2015-12-25,21-026,LAL,,LAC,L (-10),0,27:08,3,11,.273,1,3,.333,4,6,.667,2,6,8,2,3,0,3,2,11,7.5,-1,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
31,30,2015-12-27,21-028,LAL,@,MEM,L (-16),0,23:22,3,8,.375,1,1,1.000,2,6,.333,3,10,13,1,0,0,1,3,9,6.6,+2,2016,randlju01,https://www.basketball-reference.com/players/r/randlju01/gamelog/2016
