Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2015-10-28,24-265,TOR,,IND,W (+7),0,8:27,1,4,.250,1,2,.500,2,2,1.000,0,0,0,1,0,0,0,4,5,1.7,+5,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
2,2,2015-10-30,24-267,TOR,@,BOS,W (+10),0,21:06,8,12,.667,2,6,.333,3,3,1.000,0,4,4,0,0,0,2,0,21,15.0,+2,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
3,3,2015-11-01,24-269,TOR,,MIL,W (+19),0,21:02,4,9,.444,3,5,.600,0,0,,1,3,4,2,2,0,1,2,11,9.5,+4,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
4,4,2015-11-03,24-271,TOR,@,DAL,W (+11),0,22:50,2,8,.250,0,4,.000,0,0,,0,1,1,2,1,0,1,5,4,-1.1,+1,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
5,5,2015-11-04,24-272,TOR,@,OKC,W (+5),0,14:16,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,0,1,0,3,0.2,+5,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
6,6,2015-11-06,24-274,TOR,@,ORL,L (-5),0,14:41,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,2,0,-1.9,-6,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
7,7,2015-11-08,24-276,TOR,@,MIA,L (-20),0,19:50,0,4,.000,0,3,.000,0,0,,0,2,2,0,1,1,1,3,0,-2.7,-15,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
8,,2015-11-10,24-278,TOR,,NYK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
9,,2015-11-11,24-279,TOR,@,PHI,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
10,,2015-11-13,24-281,TOR,,NOP,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
11,,2015-11-15,24-283,TOR,@,SAC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
12,,2015-11-17,24-285,TOR,@,GSW,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
13,,2015-11-18,24-286,TOR,@,UTA,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
14,8,2015-11-20,24-288,TOR,@,LAL,W (+11),0,14:02,3,6,.500,2,3,.667,0,0,,0,1,1,0,0,0,0,2,8,4.5,+14,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
15,9,2015-11-22,24-290,TOR,@,LAC,W (+11),0,16:11,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,1,0,-1.5,+8,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
16,10,2015-11-25,24-293,TOR,,CLE,W (+4),0,10:00,2,4,.500,2,3,.667,0,0,,0,3,3,0,0,2,0,0,6,6.3,-7,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
17,11,2015-11-28,24-296,TOR,@,WAS,W (+2),0,19:55,1,4,.250,0,2,.000,2,2,1.000,0,2,2,1,1,1,3,2,4,0.8,-1,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
18,12,2015-11-29,24-297,TOR,,PHO,L (-5),0,14:29,0,4,.000,0,3,.000,0,0,,1,1,2,1,0,0,0,1,0,-1.5,+2,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
19,13,2015-12-02,24-300,TOR,@,ATL,W (+10),0,24:41,3,7,.429,1,4,.250,1,1,1.000,0,3,3,1,1,0,1,3,8,4.7,-1,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
20,14,2015-12-03,24-301,TOR,,DEN,L (-1),0,17:01,1,9,.111,1,4,.250,0,0,,2,0,2,1,0,0,0,0,3,-0.8,+2,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
21,15,2015-12-05,24-303,TOR,,GSW,L (-3),0,12:34,2,3,.667,1,1,1.000,0,0,,0,3,3,0,1,0,0,0,5,5.6,+4,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
22,16,2015-12-07,24-305,TOR,,LAL,W (+9),1,38:46,8,12,.667,4,6,.667,2,2,1.000,1,5,6,0,2,0,0,1,22,20.6,0,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
23,17,2015-12-09,24-307,TOR,,SAS,W (+3),1,26:54,3,5,.600,0,1,.000,0,0,,0,3,3,0,0,1,3,3,6,1.1,+11,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
24,18,2015-12-11,24-309,TOR,,MIL,W (+7),1,30:53,3,7,.429,1,4,.250,0,0,,0,1,1,3,1,1,2,2,7,4.6,+8,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
25,19,2015-12-13,24-311,TOR,,PHI,W (+20),1,28:43,0,6,.000,0,2,.000,0,0,,0,3,3,1,1,1,0,0,0,-0.9,-4,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
26,20,2015-12-14,24-312,TOR,@,IND,L (-16),1,30:41,4,11,.364,2,6,.333,0,0,,1,3,4,1,1,1,0,0,10,7.9,-6,2016,rosste01,https://www.basketball-reference.com/players/r/rosste01/gamelog/2016
