Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1985-02-03,30-147,PHO,,SEA,W (+11),0,14:00,3,8,.375,0,0,,5,5,1.000,0,0,0,0,0,0,0,2,11,5.8,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
2,2,1985-02-05,30-149,PHO,,DEN,W (+5),0,19:00,7,14,.500,0,0,,0,0,,0,1,1,1,1,0,2,1,14,6.6,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
3,3,1985-02-07,30-151,PHO,,IND,W (+8),0,13:00,2,7,.286,0,0,,3,3,1.000,0,0,0,1,0,0,3,1,7,0.2,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
4,4,1985-02-12,30-156,PHO,@,HOU,L (-12),0,24:00,3,9,.333,0,1,.000,1,2,.500,1,1,2,9,2,0,2,1,7,8.4,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
5,5,1985-02-14,30-158,PHO,@,SAS,L (-29),0,21:00,8,16,.500,0,0,,2,2,1.000,0,0,0,7,1,0,1,0,18,14.9,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
6,6,1985-02-15,30-159,PHO,@,DAL,W (+23),0,23:00,8,14,.571,0,0,,2,4,.500,0,3,3,1,0,0,2,3,18,9.0,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
7,7,1985-02-17,30-161,PHO,@,IND,W (+18),0,19:00,5,10,.500,0,0,,1,3,.333,0,1,1,4,0,0,1,4,11,5.7,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
8,8,1985-02-18,30-162,PHO,@,DET,L (-19),0,25:00,9,20,.450,1,1,1.000,2,2,1.000,0,0,0,5,1,0,0,0,21,15.1,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
9,9,1985-02-20,30-164,PHO,,HOU,L (-4),0,18:00,7,14,.500,0,1,.000,4,4,1.000,1,0,1,3,0,0,1,1,18,12.4,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
10,10,1985-02-22,30-166,PHO,,SAS,L (-7),0,20:00,5,18,.278,0,1,.000,4,5,.800,0,0,0,5,1,0,4,0,14,3.5,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
11,11,1985-02-24,30-168,PHO,@,DEN,L (-10),0,33:00,7,15,.467,0,0,,4,5,.800,0,3,3,3,1,0,2,2,18,11.1,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
12,12,1985-02-26,30-170,PHO,@,KCK,L (-7),0,28:00,9,14,.643,0,0,,4,4,1.000,1,1,2,2,0,0,3,5,22,13.2,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
13,13,1985-02-28,30-172,PHO,,LAL,W (+12),1,34:00,7,13,.538,0,0,,2,2,1.000,0,3,3,9,1,0,6,2,16,11.1,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
14,14,1985-03-02,30-174,PHO,,KCK,W (+3),1,36:00,4,13,.308,0,0,,14,14,1.000,0,3,3,11,1,0,2,5,22,20.1,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
15,15,1985-03-04,30-176,PHO,,DAL,L (-8),1,36:00,7,16,.438,0,0,,4,4,1.000,0,4,4,4,0,0,3,3,18,9.4,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
16,16,1985-03-07,30-179,PHO,,SAS,W (+2),1,29:00,9,16,.563,1,1,1.000,2,2,1.000,1,1,2,7,1,0,5,2,21,14.5,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
17,17,1985-03-09,30-181,PHO,,GSW,L (-3),1,32:00,9,20,.450,0,3,.000,3,4,.750,0,0,0,9,3,0,4,1,21,15.1,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
18,18,1985-03-12,30-184,PHO,@,NYK,W (+4),1,37:00,7,17,.412,0,0,,4,4,1.000,1,2,3,4,1,0,0,0,18,14.0,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
19,19,1985-03-13,30-185,PHO,@,BOS,L (-17),1,26:00,6,17,.353,0,0,,1,1,1.000,0,4,4,1,1,0,2,2,13,3.6,1985,daviswa03,https://www.basketball-reference.com/players/d/daviswa03/gamelog/1985
