Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2009-10-28,23-014,UTA,@,DEN,L (-9),0,5:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
2,2,2009-10-30,23-016,UTA,,LAC,W (+13),0,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
3,3,2009-11-02,23-019,UTA,,HOU,L (-17),0,15:57,2,5,.400,0,2,.000,2,2,1.000,0,1,1,0,0,0,1,1,6,2.2,-2,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
4,4,2009-11-03,23-020,UTA,@,DAL,L (-11),0,14:35,3,5,.600,0,0,,2,4,.500,0,1,1,2,0,0,0,1,8,6.2,-2,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
5,5,2009-11-05,23-022,UTA,,SAS,W (+14),0,24:55,5,8,.625,1,2,.500,1,3,.333,1,2,3,0,2,0,0,3,12,9.7,+5,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
6,6,2009-11-07,23-024,UTA,,SAC,L (-5),0,21:40,4,5,.800,0,0,,3,3,1.000,0,1,1,0,0,0,0,3,11,8.2,-9,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
7,7,2009-11-09,23-026,UTA,@,NYK,W (+2),0,18:40,2,5,.400,0,1,.000,2,2,1.000,0,2,2,0,0,0,3,1,6,0.5,+4,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
8,8,2009-11-11,23-028,UTA,@,BOS,L (-19),0,25:01,2,6,.333,0,3,.000,0,0,,0,0,0,0,1,0,0,1,4,1.2,-9,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
9,9,2009-11-13,23-030,UTA,@,PHI,W (+22),1,38:26,5,11,.455,3,4,.750,3,3,1.000,2,2,4,2,2,0,3,4,16,11.1,+18,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
10,10,2009-11-14,23-031,UTA,@,CLE,L (-4),1,34:29,5,9,.556,3,3,1.000,0,0,,0,1,1,2,0,0,5,2,13,4.6,-7,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
11,11,2009-11-18,23-035,UTA,,TOR,W (+13),1,25:42,2,5,.400,0,1,.000,0,0,,0,1,1,1,0,0,0,1,4,1.9,+3,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
12,12,2009-11-19,23-036,UTA,@,SAS,W (+7),1,20:17,2,5,.400,0,2,.000,1,2,.500,0,2,2,0,0,0,1,3,5,0.3,-4,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
13,13,2009-11-21,23-038,UTA,,DET,W (+3),1,26:53,2,5,.400,0,0,,1,2,.500,0,0,0,0,0,0,1,1,5,0.5,-4,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
14,14,2009-11-24,23-041,UTA,,OKC,L (-10),1,20:16,2,4,.500,0,2,.000,3,4,.750,0,1,1,0,0,0,2,1,7,2.5,-9,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
15,15,2009-11-26,23-043,UTA,,CHI,W (+19),1,22:06,3,6,.500,0,0,,0,1,.000,1,2,3,0,0,0,0,1,6,3.5,+1,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
16,16,2009-11-28,23-045,UTA,,POR,W (+16),1,29:06,1,4,.250,1,3,.333,2,2,1.000,0,5,5,3,0,0,1,1,5,4.8,+20,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
17,17,2009-11-30,23-047,UTA,,MEM,W (+27),1,38:12,6,7,.857,2,2,1.000,3,3,1.000,0,1,1,5,2,0,2,2,17,17.5,+12,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
18,18,2009-12-04,23-051,UTA,,IND,W (+9),1,35:16,7,13,.538,2,7,.286,2,3,.667,2,3,5,1,2,1,1,5,18,14.0,+17,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
19,19,2009-12-05,23-052,UTA,@,MIN,L (-7),1,34:15,5,9,.556,1,4,.250,0,1,.000,1,2,3,0,0,0,0,2,11,6.8,-6,2010,matthwe02,https://www.basketball-reference.com/players/m/matthwe02/gamelog/2010
