Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,22-020,ORL,,CLE,W (+9),1,23:59,1,3,.333,0,1,.000,1,2,.500,1,7,8,2,1,2,2,4,3,3.9,0,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
2,2,2019-10-26,22-023,ORL,@,ATL,L (-4),1,25:16,3,10,.300,0,3,.000,2,2,1.000,1,3,4,0,1,4,1,0,8,6.6,+1,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
3,3,2019-10-28,22-025,ORL,@,TOR,L (-9),1,33:03,7,10,.700,5,7,.714,5,5,1.000,0,7,7,0,3,2,1,3,24,24.1,-11,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
4,4,2019-10-30,22-027,ORL,,NYK,W (+12),1,31:40,4,6,.667,0,1,.000,2,2,1.000,1,6,7,4,0,3,2,0,10,12.8,+28,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
5,5,2019-11-01,22-029,ORL,,MIL,L (-32),1,28:34,3,11,.273,3,7,.429,2,2,1.000,1,4,5,1,2,1,0,1,11,9.4,-19,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
6,6,2019-11-02,22-030,ORL,,DEN,L (-4),1,35:42,3,13,.231,1,5,.200,0,0,,1,4,5,2,2,3,2,4,7,2.9,+2,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
7,7,2019-11-05,22-033,ORL,@,OKC,L (-8),1,31:10,5,9,.556,1,4,.250,2,2,1.000,4,6,10,0,0,3,1,2,13,13.6,-14,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
8,8,2019-11-06,22-034,ORL,@,DAL,L (-1),1,31:47,5,8,.625,1,2,.500,2,2,1.000,1,9,10,5,4,6,4,5,13,18.5,+15,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
9,9,2019-11-08,22-036,ORL,,MEM,W (+32),1,29:10,9,11,.818,1,3,.333,3,4,.750,1,7,8,0,1,4,1,3,22,21.9,+23,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
10,10,2019-11-10,22-038,ORL,,IND,L (-7),1,31:24,4,9,.444,2,4,.500,0,0,,0,3,3,2,0,2,3,0,10,6.0,-4,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
11,11,2019-11-13,22-041,ORL,,PHI,W (+15),1,34:54,5,9,.556,0,2,.000,2,2,1.000,2,3,5,2,0,1,1,2,12,10.3,+8,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
12,,2019-11-15,22-043,ORL,,SAS,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
13,,2019-11-17,22-045,ORL,,WAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
14,12,2019-11-20,22-048,ORL,@,TOR,L (-16),1,33:38,6,15,.400,0,4,.000,4,6,.667,7,6,13,3,1,3,1,3,16,16.8,-6,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
15,13,2019-11-23,22-051,ORL,@,IND,L (-5),1,29:11,10,16,.625,4,6,.667,1,2,.500,1,8,9,1,4,2,0,5,25,24.6,+4,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
16,14,2019-11-25,22-053,ORL,@,DET,L (-15),1,30:50,4,11,.364,2,3,.667,0,0,,0,6,6,1,1,4,1,3,10,8.0,-15,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
17,15,2019-11-27,22-055,ORL,@,CLE,W (+12),1,27:46,7,18,.389,1,7,.143,1,2,.500,4,3,7,1,3,1,0,2,16,13.1,+14,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
18,16,2019-11-29,22-057,ORL,,TOR,L (-7),1,29:21,4,13,.308,0,3,.000,0,0,,5,5,10,0,0,2,3,1,8,3.5,-13,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
19,17,2019-12-01,22-059,ORL,,GSW,W (+4),1,33:19,4,9,.444,1,2,.500,5,6,.833,2,9,11,0,1,5,4,3,14,12.3,+6,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
20,18,2019-12-03,22-061,ORL,@,WAS,W (+7),1,37:23,5,13,.385,1,6,.167,0,1,.000,1,5,6,3,0,2,2,2,11,6.4,0,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
21,19,2019-12-04,22-062,ORL,,PHO,W (+14),1,27:46,3,9,.333,0,1,.000,1,2,.500,2,2,4,1,2,1,1,0,7,5.9,+6,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
22,20,2019-12-06,22-064,ORL,@,CLE,W (+6),1,33:00,4,9,.444,1,1,1.000,0,0,,0,6,6,0,1,4,2,2,9,7.1,-2,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
23,21,2019-12-09,22-067,ORL,@,MIL,L (-9),1,28:17,5,13,.385,0,2,.000,0,0,,3,6,9,2,0,5,2,4,10,8.1,-1,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
24,22,2019-12-11,22-069,ORL,,LAL,L (-9),1,35:35,6,14,.429,2,3,.667,5,5,1.000,1,7,8,0,1,2,1,3,19,14.6,+4,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
25,23,2019-12-13,22-071,ORL,,HOU,L (-23),1,26:55,4,7,.571,0,1,.000,2,2,1.000,0,3,3,1,0,1,1,3,10,6.8,-11,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
26,24,2019-12-15,22-073,ORL,@,NOP,W (+11),1,32:45,7,11,.636,1,2,.500,6,7,.857,1,10,11,3,2,1,1,2,21,22.4,+7,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
27,25,2019-12-17,22-075,ORL,@,UTA,L (-7),1,31:47,3,7,.429,1,2,.500,0,1,.000,0,4,4,1,0,3,0,2,7,6.1,-4,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
28,26,2019-12-18,22-076,ORL,@,DEN,L (-9),1,17:06,3,6,.500,0,1,.000,1,1,1.000,2,3,5,0,0,0,2,4,7,2.7,+5,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
29,27,2019-12-20,22-078,ORL,@,POR,L (-15),1,30:06,3,9,.333,1,1,1.000,3,4,.750,1,3,4,0,4,2,3,3,10,7.3,-20,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
30,28,2019-12-23,22-081,ORL,,CHI,W (+8),1,33:10,5,8,.625,0,1,.000,3,4,.750,1,8,9,5,4,3,1,5,13,18.7,+8,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
31,29,2019-12-27,22-085,ORL,,PHI,W (+1),1,29:42,2,7,.286,0,1,.000,0,0,,2,4,6,0,1,3,2,3,4,2.4,-4,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
32,30,2019-12-28,22-086,ORL,@,MIL,L (-11),1,29:54,8,13,.615,1,3,.333,2,2,1.000,4,5,9,2,7,1,2,3,19,23.3,+2,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
33,31,2019-12-30,22-088,ORL,,ATL,L (-8),1,32:35,6,13,.462,0,2,.000,1,5,.200,6,3,9,2,3,2,0,2,13,14.8,+1,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
34,32,2020-01-01,22-090,ORL,@,WAS,W (+21),1,2:03,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,0,2,2.7,0,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
35,,2020-01-03,22-092,ORL,,MIA,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
36,,2020-01-04,22-093,ORL,,UTA,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01/gamelog/2020
