Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,,2018-11-07,28-076,DAL,@,UTA,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
12,,2018-11-10,28-079,DAL,,OKC,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
13,,2018-11-12,28-081,DAL,@,CHI,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
14,7,2018-11-14,28-083,DAL,,UTA,W (+50),0,7:31,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,5,4.6,+17,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
15,,2018-11-17,28-086,DAL,,GSW,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
16,8,2018-11-19,28-088,DAL,@,MEM,L (-10),0,0:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
17,9,2018-11-21,28-090,DAL,,BRK,W (+6),0,9:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+4,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
18,,2018-11-24,28-093,DAL,,BOS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
19,10,2018-11-28,28-097,DAL,@,HOU,W (+20),0,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
20,11,2018-11-30,28-099,DAL,@,LAL,L (-11),0,3:25,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
21,,2018-12-02,28-101,DAL,,LAC,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
22,,2018-12-04,28-103,DAL,,POR,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
23,12,2018-12-05,28-104,DAL,@,NOP,L (-26),0,16:13,3,7,.429,2,5,.400,1,1,1.000,1,3,4,1,0,1,1,0,9,7.3,-1,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
24,,2018-12-08,28-107,DAL,,HOU,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
25,13,2018-12-10,28-109,DAL,,ORL,W (+25),0,9:22,0,1,.000,0,1,.000,0,0,,0,0,0,2,1,0,1,0,0,0.7,+1,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
26,,2018-12-12,28-111,DAL,,ATL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
27,,2018-12-13,28-112,DAL,@,PHO,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
28,14,2018-12-16,28-115,DAL,,SAC,L (-7),0,6:35,1,2,.500,0,1,.000,0,0,,1,2,3,0,0,0,0,2,2,1.5,+9,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
29,15,2018-12-18,28-117,DAL,@,DEN,L (-8),0,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
30,,2018-12-20,28-119,DAL,@,LAC,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
31,,2018-12-22,28-121,DAL,@,GSW,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
32,,2018-12-23,28-122,DAL,@,POR,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
33,,2018-12-26,28-125,DAL,,NOP,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
34,,2018-12-28,28-127,DAL,@,NOP,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
35,,2018-12-30,28-129,DAL,,OKC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
36,16,2018-12-31,28-130,DAL,@,OKC,L (-20),0,6:09,2,5,.400,1,4,.250,1,1,1.000,0,1,1,0,0,0,0,0,6,3.6,-3,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
37,,2019-01-02,28-132,DAL,@,CHO,W (+38),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
38,,2019-01-04,28-134,DAL,@,BOS,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
39,17,2019-01-05,28-135,DAL,@,PHI,L (-6),0,21:42,6,8,.750,3,5,.600,0,0,,0,1,1,3,0,1,3,0,15,11.9,+12,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
40,,2019-01-07,28-137,DAL,,LAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
41,,2019-01-09,28-139,DAL,,PHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
42,,2019-01-11,28-141,DAL,@,MIN,W (+4),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
43,,2019-01-13,28-143,DAL,,GSW,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
44,,2019-01-16,28-146,DAL,,SAS,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
45,18,2019-01-19,28-149,DAL,@,IND,L (-12),0,9:27,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,+8,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
46,,2019-01-21,28-151,DAL,@,MIL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
47,,2019-01-22,28-152,DAL,,LAC,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
48,,2019-01-25,28-155,DAL,,DET,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
49,19,2019-01-27,28-157,DAL,,TOR,L (-3),0,0:16,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,+3,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
50,20,2019-01-30,28-160,DAL,@,NYK,W (+24),0,4:35,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+1,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
51,21,2019-01-31,28-161,DAL,@,DET,L (-4),0,26:38,3,5,.600,1,2,.500,0,0,,0,3,3,1,0,0,0,3,7,5.1,+12,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
52,22,2019-02-02,28-163,DAL,@,CLE,W (+13),0,29:04,4,9,.444,4,8,.500,0,0,,0,0,0,1,0,0,0,3,12,6.8,+6,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
53,,2019-02-06,28-167,DAL,,CHO,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
54,23,2019-02-08,28-169,DAL,,MIL,L (-15),0,18:37,2,6,.333,2,5,.400,0,0,,0,5,5,2,0,0,0,2,6,4.7,+1,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
55,24,2019-02-10,28-171,DAL,,POR,W (+1),0,8:47,0,2,.000,0,1,.000,0,0,,1,0,1,0,1,1,0,0,0,1.0,-10,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
56,25,2019-02-11,28-172,DAL,@,HOU,L (-16),0,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
57,26,2019-02-13,28-174,DAL,,MIA,L (-11),0,8:11,2,3,.667,2,3,.667,0,0,,0,2,2,1,0,0,0,2,6,5.2,+2,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
58,27,2019-02-22,28-183,DAL,,DEN,L (-10),0,6:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
59,28,2019-02-23,28-184,DAL,@,UTA,L (-16),0,6:19,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,-3,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
60,,2019-02-25,28-186,DAL,@,LAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
61,,2019-02-27,28-188,DAL,,IND,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
62,29,2019-03-02,28-191,DAL,,MEM,L (-30),0,12:31,1,5,.200,0,2,.000,0,0,,0,3,3,0,0,0,0,1,2,-0.6,-5,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
63,30,2019-03-04,28-193,DAL,@,BRK,L (-39),0,18:34,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,2,2,0,-3.9,-12,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
64,,2019-03-06,28-195,DAL,@,WAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
65,,2019-03-08,28-197,DAL,@,ORL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
66,,2019-03-10,28-199,DAL,,HOU,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
67,,2019-03-12,28-201,DAL,,SAS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
68,,2019-03-14,28-203,DAL,@,DEN,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
69,,2019-03-16,28-205,DAL,,CLE,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
70,31,2019-03-18,28-207,DAL,,NOP,L (-4),0,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
71,32,2019-03-20,28-209,DAL,@,POR,L (-8),0,5:11,1,2,.500,1,2,.500,0,0,,1,2,3,0,0,0,0,2,3,2.5,+8,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
72,33,2019-03-21,28-210,DAL,@,SAC,L (-16),0,16:49,4,6,.667,4,6,.667,1,2,.500,0,2,2,1,0,0,1,1,13,9.9,0,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
73,34,2019-03-23,28-212,DAL,@,GSW,W (+35),0,24:32,6,8,.750,2,4,.500,3,3,1.000,1,4,5,2,1,0,1,2,17,16.3,+19,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
74,35,2019-03-26,28-215,DAL,,SAC,L (-4),0,29:12,3,5,.600,3,5,.600,2,2,1.000,0,1,1,0,0,0,0,4,11,7.4,+15,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
75,36,2019-03-28,28-217,DAL,@,MIA,L (-6),0,14:39,3,6,.500,3,6,.500,0,0,,0,1,1,0,0,1,2,1,9,4.6,-2,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
76,37,2019-03-31,28-220,DAL,@,OKC,W (+3),0,24:04,1,2,.500,1,2,.500,2,2,1.000,0,5,5,1,0,0,0,2,5,5.4,-7,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
77,38,2019-04-01,28-221,DAL,,PHI,W (+20),0,16:22,3,7,.429,0,1,.000,1,2,.500,0,5,5,0,0,0,0,0,7,4.4,-1,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
78,,2019-04-03,28-223,DAL,,MIN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
79,39,2019-04-05,28-225,DAL,,MEM,L (-10),0,24:20,3,6,.500,1,3,.333,2,4,.500,2,4,6,1,0,0,1,2,9,6.7,-17,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
80,40,2019-04-07,28-227,DAL,@,MEM,W (+2),0,16:30,2,5,.400,2,4,.500,2,2,1.000,1,2,3,2,0,0,0,0,8,8.0,+12,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
81,41,2019-04-09,28-229,DAL,,PHO,W (+11),0,14:47,0,3,.000,0,2,.000,0,0,,0,1,1,0,1,0,4,0,0,-4.8,+4,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
82,42,2019-04-10,28-230,DAL,@,SAS,L (-11),0,13:42,1,3,.333,1,3,.333,0,0,,0,0,0,0,1,0,0,3,3,1.1,-2,2019,broekry01,https://www.basketball-reference.com/players/b/broekry01/gamelog/2019
