Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,27-180,DAL,,WAS,W (+8),1,21:28,1,2,.500,1,1,1.000,2,2,1.000,0,4,4,3,1,0,0,1,5,7.9,+1,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
2,2,2019-10-25,27-182,DAL,@,NOP,W (+7),0,31:56,8,12,.667,0,1,.000,4,4,1.000,2,5,7,3,5,0,0,3,20,23.6,+11,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
3,3,2019-10-27,27-184,DAL,,POR,L (-2),1,22:58,3,4,.750,2,2,1.000,0,0,,0,2,2,5,0,0,2,1,8,8.1,-9,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
4,4,2019-10-29,27-186,DAL,@,DEN,W (+3),0,24:07,5,8,.625,0,1,.000,2,3,.667,0,3,3,6,1,0,0,1,12,13.7,+14,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
5,5,2019-11-01,27-189,DAL,,LAL,L (-9),0,24:39,5,10,.500,2,4,.500,0,0,,0,1,1,2,1,0,1,0,12,8.7,+1,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
6,6,2019-11-03,27-191,DAL,@,CLE,W (+20),0,28:05,3,5,.600,1,1,1.000,1,1,1.000,0,4,4,6,2,0,1,2,8,11.3,+15,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
7,7,2019-11-06,27-194,DAL,,ORL,W (+1),0,12:32,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,0,2,0,-0.8,-10,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
8,8,2019-11-08,27-196,DAL,,NYK,L (-4),0,25:45,1,5,.200,0,2,.000,0,0,,1,3,4,2,0,1,1,1,2,1.2,-12,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
9,9,2019-11-09,27-197,DAL,@,MEM,W (+16),0,23:40,3,8,.375,0,3,.000,0,0,,1,6,7,6,0,0,1,1,6,6.9,+20,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
10,10,2019-11-11,27-199,DAL,@,BOS,L (-10),0,21:11,3,5,.600,0,1,.000,3,4,.750,1,3,4,2,1,1,0,0,9,11.0,-3,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
11,11,2019-11-14,27-202,DAL,@,NYK,L (-3),0,22:22,1,2,.500,0,1,.000,2,2,1.000,0,2,2,2,2,1,2,1,4,5.3,-7,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
12,12,2019-11-16,27-204,DAL,,TOR,W (+8),0,19:07,6,8,.750,1,3,.333,2,2,1.000,1,3,4,1,3,0,1,0,15,16.1,+2,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
13,13,2019-11-18,27-206,DAL,,SAS,W (+7),0,24:53,1,4,.250,0,1,.000,2,2,1.000,1,4,5,1,1,2,0,2,4,5.8,-10,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
14,14,2019-11-20,27-208,DAL,,GSW,W (+48),0,15:43,2,5,.400,0,1,.000,2,5,.400,0,0,0,3,1,0,0,2,6,4.4,+14,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
15,15,2019-11-22,27-210,DAL,,CLE,W (+42),0,19:34,4,9,.444,1,2,.500,1,2,.500,3,1,4,2,1,1,0,2,10,9.6,+33,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
16,16,2019-11-24,27-212,DAL,@,HOU,W (+14),0,22:26,4,11,.364,0,2,.000,1,1,1.000,2,2,4,5,0,0,1,1,9,7.0,-5,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
17,17,2019-11-26,27-214,DAL,,LAC,L (-15),0,17:54,1,3,.333,0,1,.000,2,2,1.000,2,2,4,1,0,0,3,0,4,2.0,-7,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
18,18,2019-11-29,27-217,DAL,@,PHO,W (+7),0,14:49,1,4,.250,1,1,1.000,2,2,1.000,1,3,4,4,1,0,1,1,5,6.6,+20,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
19,19,2019-12-01,27-219,DAL,@,LAL,W (+14),0,27:33,7,12,.583,3,6,.500,0,0,,1,4,5,9,4,0,0,3,17,22.4,+16,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
20,20,2019-12-03,27-221,DAL,@,NOP,W (+21),0,24:15,1,6,.167,1,3,.333,2,2,1.000,1,3,4,5,1,1,1,1,5,6.6,+13,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
21,21,2019-12-04,27-222,DAL,,MIN,W (+7),0,16:52,2,4,.500,0,0,,0,0,,0,3,3,4,0,0,0,1,4,5.3,+21,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
22,22,2019-12-07,27-225,DAL,,NOP,W (+46),0,3:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
23,,2019-12-08,27-226,DAL,,SAC,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
24,,2019-12-12,27-230,DAL,@,DET,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
25,23,2019-12-14,27-232,DAL,,MIA,L (-4),0,8:32,0,1,.000,0,0,,0,0,,1,1,2,2,1,0,1,1,0,1.3,-14,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
26,24,2019-12-16,27-234,DAL,@,MIL,W (+4),0,18:41,5,6,.833,1,1,1.000,2,2,1.000,0,3,3,2,4,1,0,1,13,17.4,-12,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
27,25,2019-12-18,27-236,DAL,,BOS,L (-6),0,17:01,2,3,.667,0,0,,2,2,1.000,1,2,3,4,2,0,0,0,6,10.8,+4,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
28,26,2019-12-20,27-238,DAL,@,PHI,W (+19),0,23:22,2,3,.667,0,0,,4,4,1.000,2,5,7,4,4,0,1,1,8,15.0,0,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
29,27,2019-12-22,27-240,DAL,@,TOR,L (-3),0,18:49,1,7,.143,1,4,.250,2,2,1.000,3,2,5,2,1,0,2,5,5,1.6,-17,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
30,28,2019-12-26,27-244,DAL,,SAS,W (+4),0,20:37,5,11,.455,2,5,.400,0,0,,0,5,5,4,3,0,1,0,12,12.6,-4,2020,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2020
