Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2013-10-29,31-081,MIA,,CHI,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
2,,2013-10-30,31-082,MIA,@,PHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
3,1,2013-11-01,31-084,MIA,@,BRK,L (-1),0,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
4,,2013-11-03,31-086,MIA,,WAS,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
5,2,2013-11-05,31-088,MIA,@,TOR,W (+9),0,8:54,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,0.5,+1,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
6,,2013-11-07,31-090,MIA,,LAC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
7,,2013-11-09,31-092,MIA,,BOS,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
8,3,2013-11-12,31-095,MIA,,MIL,W (+23),0,5:26,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.7,-1,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
9,,2013-11-15,31-098,MIA,,DAL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
10,4,2013-11-16,31-099,MIA,@,CHA,W (+16),0,8:34,0,1,.000,0,0,,0,0,,1,0,1,0,0,2,0,1,0,1.0,+2,2014,anthojo01,https://www.basketball-reference.com/players/a/anthojo01/gamelog/2014
