Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,26-048,IND,,DET,L (-9),1,33:32,5,12,.417,0,2,.000,0,2,.000,1,0,1,0,0,1,1,3,10,2.0,+4,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
2,2,2019-10-26,26-051,IND,@,CLE,L (-11),1,36:36,6,15,.400,0,4,.000,0,0,,0,2,2,0,0,0,2,3,12,1.3,-17,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
3,3,2019-10-28,26-053,IND,@,DET,L (-2),1,37:45,9,22,.409,1,3,.333,0,0,,1,4,5,1,5,0,1,3,19,12.6,0,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
4,4,2019-10-30,26-055,IND,@,BRK,W (+10),1,33:55,8,16,.500,0,1,.000,4,4,1.000,1,2,3,1,3,0,1,5,20,14.0,+7,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
5,5,2019-11-01,26-057,IND,,CLE,W (+7),1,27:50,1,8,.125,0,2,.000,1,2,.500,1,2,3,0,0,0,0,3,3,-2.5,-1,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
6,6,2019-11-03,26-059,IND,,CHI,W (+13),1,37:41,10,16,.625,1,4,.250,5,6,.833,1,4,5,3,1,0,1,2,26,21.6,+16,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
7,7,2019-11-05,26-061,IND,@,CHO,L (-2),1,40:56,15,18,.833,2,2,1.000,1,2,.500,0,4,4,3,2,1,2,1,33,29.6,+13,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
8,8,2019-11-06,26-062,IND,,WAS,W (+15),1,31:59,9,15,.600,2,6,.333,1,1,1.000,0,4,4,2,1,0,2,3,21,14.5,+20,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
9,9,2019-11-08,26-064,IND,,DET,W (+6),1,32:22,7,16,.438,0,1,.000,3,3,1.000,2,2,4,0,1,1,2,3,17,9.1,+3,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
10,10,2019-11-10,26-066,IND,@,ORL,W (+7),1,34:47,9,16,.563,1,1,1.000,0,0,,0,2,2,2,1,0,1,1,19,13.0,0,2020,warretj01,https://www.basketball-reference.com/players/w/warretj01/gamelog/2020
