Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2002-10-30,28-077,DET,,NYK,W (+9),0,25:06,3,10,.300,3,8,.375,3,4,.750,0,3,3,4,0,0,1,1,12,8.1,+15,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
2,2,2002-11-01,28-079,DET,,MEM,W (+23),0,24:47,3,8,.375,2,4,.500,2,2,1.000,0,1,1,7,2,0,1,1,10,11.4,+8,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
3,3,2002-11-03,28-081,DET,@,LAC,L (-2),0,23:44,2,6,.333,2,5,.400,0,0,,1,2,3,2,0,0,0,2,6,4.5,+1,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
4,4,2002-11-04,28-082,DET,@,PHO,W (+2),0,30:46,3,10,.300,0,6,.000,3,3,1.000,3,0,3,6,0,0,1,3,9,7.3,+5,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
5,5,2002-11-06,28-084,DET,@,UTA,W (+2),0,22:26,1,8,.125,0,4,.000,0,0,,0,3,3,5,1,0,1,4,2,-0.4,-9,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
6,6,2002-11-07,28-085,DET,@,DEN,W (+26),0,19:19,2,4,.500,1,1,1.000,0,1,.000,0,1,1,3,0,0,3,2,5,1.2,+6,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
7,7,2002-11-09,28-087,DET,@,DAL,L (-39),0,31:23,1,9,.111,0,4,.000,1,2,.500,0,3,3,4,0,0,2,4,3,-3.2,-30,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
8,8,2002-11-12,28-090,DET,,NOH,W (+6),1,45:23,8,13,.615,3,5,.600,1,1,1.000,0,3,3,7,2,0,3,3,20,17.7,+9,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
9,9,2002-11-15,28-093,DET,,UTA,W (+11),0,14:26,1,5,.200,1,4,.250,0,0,,0,1,1,1,0,0,1,1,3,-0.5,-8,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
10,10,2002-11-16,28-094,DET,,DEN,W (+21),0,26:09,2,7,.286,1,4,.250,3,4,.750,0,0,0,3,1,0,3,2,8,2.8,+16,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
11,11,2002-11-18,28-096,DET,@,NYK,L (-3),0,40:39,5,13,.385,0,1,.000,4,4,1.000,1,3,4,8,1,1,4,0,14,11.8,+10,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
12,12,2002-11-20,28-098,DET,,MIA,W (+11),1,40:09,8,15,.533,5,8,.625,0,0,,0,2,2,2,0,0,1,1,21,14.3,+18,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
13,13,2002-11-22,28-100,DET,@,MIA,W (+3),1,34:28,2,6,.333,1,2,.500,0,0,,0,1,1,4,0,0,3,2,5,0.9,0,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
14,14,2002-11-23,28-101,DET,@,IND,W (+15),1,39:12,6,14,.429,1,3,.333,2,3,.667,1,2,3,8,0,0,2,2,15,11.3,+23,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
15,15,2002-11-27,28-105,DET,,DAL,L (-20),1,26:20,3,9,.333,0,2,.000,1,2,.500,1,1,2,3,0,0,3,3,7,0.4,-23,2003,atkinch01,https://www.basketball-reference.com/players/a/atkinch01/gamelog/2003
