Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-24,31-224,GSW,,LAC,L (-19),1,29:48,8,20,.400,2,11,.182,5,5,1.000,1,3,4,4,1,0,8,3,23,8.4,-19,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
2,2,2019-10-27,31-227,GSW,@,OKC,L (-28),1,30:08,7,18,.389,2,9,.222,7,7,1.000,2,6,8,5,0,0,2,0,23,17.9,-30,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
3,3,2019-10-28,31-228,GSW,@,NOP,W (+11),1,31:00,9,17,.529,4,10,.400,4,4,1.000,1,2,3,11,3,0,1,5,26,26.7,+32,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
4,4,2019-10-30,31-230,GSW,,PHO,L (-11),1,21:09,3,11,.273,1,7,.143,2,2,1.000,0,5,5,6,1,2,4,2,9,5.8,-13,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
5,,2019-11-01,31-232,GSW,,SAS,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
6,,2019-11-02,31-233,GSW,,CHO,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
7,,2019-11-04,31-235,GSW,,POR,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
8,,2019-11-06,31-237,GSW,@,HOU,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
9,,2019-11-08,31-239,GSW,@,MIN,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
10,,2019-11-09,31-240,GSW,@,OKC,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2020
