Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,26-095,OKC,@,UTA,L (-5),1,27:42,1,8,.125,0,0,,1,6,.167,3,8,11,2,1,0,2,4,3,-0.9,-1,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
2,2,2019-10-25,26-097,OKC,,WAS,L (-12),1,29:10,3,9,.333,0,0,,1,2,.500,4,10,14,0,1,1,1,1,7,7.6,-2,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
3,3,2019-10-27,26-099,OKC,,GSW,W (+28),1,25:24,4,8,.500,0,0,,0,2,.000,5,5,10,3,0,0,1,2,8,8.5,+26,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
4,4,2019-10-28,26-100,OKC,@,HOU,L (-4),1,26:48,2,7,.286,0,0,,2,4,.500,2,10,12,1,0,2,1,3,6,5.4,-4,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
5,,2019-10-30,26-102,OKC,,POR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
6,,2019-11-02,26-105,OKC,,NOP,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
7,5,2019-11-05,26-108,OKC,,ORL,W (+8),1,25:46,5,7,.714,0,0,,1,2,.500,4,7,11,3,0,1,1,1,11,14.0,+10,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
8,6,2019-11-07,26-110,OKC,@,SAS,L (-9),1,27:23,5,6,.833,0,0,,0,4,.000,2,3,5,3,0,0,3,2,10,6.8,-6,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
9,7,2019-11-09,26-112,OKC,,GSW,W (+6),1,25:08,6,7,.857,0,0,,1,3,.333,4,4,8,2,1,2,1,0,13,16.5,-1,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
10,,2019-11-10,26-113,OKC,,MIL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
11,8,2019-11-12,26-115,OKC,@,IND,L (-26),1,19:04,5,8,.625,0,0,,0,0,,1,5,6,1,0,0,0,0,10,9.3,-4,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
12,9,2019-11-15,26-118,OKC,,PHI,W (+8),1,31:09,3,6,.500,0,0,,1,2,.500,4,3,7,4,1,2,1,2,7,10.7,+8,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
13,10,2019-11-18,26-121,OKC,@,LAC,L (-2),1,27:02,4,8,.500,0,0,,1,2,.500,0,10,10,6,2,0,2,2,9,11.0,0,2020,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2020
