Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,26-074,DET,@,IND,W (+9),1,40:48,12,18,.667,0,1,.000,8,10,.800,7,16,23,2,3,4,2,4,32,36.7,+4,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
2,2,2019-10-24,26-075,DET,,ATL,L (-17),1,36:45,8,12,.667,0,0,,5,6,.833,1,11,12,2,4,1,4,4,21,19.9,-15,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
3,3,2019-10-26,26-077,DET,,PHI,L (-6),1,24:38,5,10,.500,0,0,,3,10,.300,3,9,12,1,0,2,2,6,13,7.7,-1,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
4,4,2019-10-28,26-079,DET,,IND,W (+2),1,38:18,8,15,.533,0,1,.000,2,3,.667,4,14,18,1,0,2,6,3,18,12.2,+3,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
5,5,2019-10-30,26-081,DET,@,TOR,L (-12),1,35:20,10,17,.588,0,0,,1,2,.500,8,14,22,3,0,1,5,4,21,18.7,-22,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
6,6,2019-11-01,26-083,DET,@,CHI,L (-6),1,35:06,11,17,.647,0,2,.000,3,5,.600,6,18,24,2,2,3,5,4,25,25.2,-8,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
7,7,2019-11-02,26-084,DET,,BRK,W (+4),1,38:51,10,16,.625,0,1,.000,5,6,.833,3,17,20,6,3,5,4,4,25,29.7,+8,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
8,8,2019-11-04,26-086,DET,@,WAS,L (-16),1,38:49,6,20,.300,0,1,.000,3,3,1.000,8,16,24,4,2,2,4,5,15,14.0,-5,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
9,9,2019-11-06,26-088,DET,,NYK,W (+20),1,34:54,12,16,.750,0,0,,3,4,.750,4,8,12,7,1,0,4,1,27,26.9,+24,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
10,10,2019-11-08,26-090,DET,@,IND,L (-6),1,33:36,6,14,.429,0,2,.000,3,4,.750,1,12,13,8,0,1,4,5,15,11.8,+9,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
11,11,2019-11-11,26-093,DET,,MIN,L (-6),1,29:00,4,12,.333,0,0,,3,3,1.000,8,4,12,1,4,3,3,5,11,12.8,+8,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
12,12,2019-11-12,26-094,DET,@,MIA,L (-9),1,27:39,6,9,.667,0,0,,4,6,.667,4,5,9,0,2,2,5,6,16,11.6,-9,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
13,13,2019-11-15,26-097,DET,@,CHO,L (-3),1,38:09,8,16,.500,0,0,,0,0,,3,17,20,2,0,0,4,3,16,11.4,+2,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
14,14,2019-11-20,26-102,DET,@,CHI,L (-20),1,33:31,3,10,.300,0,1,.000,0,0,,2,12,14,4,2,3,3,6,6,6.7,-7,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
15,15,2019-11-22,26-104,DET,,ATL,W (+25),1,27:33,10,16,.625,0,1,.000,3,4,.750,8,7,15,2,2,1,4,4,23,21.6,+11,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
16,16,2019-11-23,26-105,DET,@,MIL,L (-14),1,36:47,5,10,.500,0,0,,2,4,.500,3,14,17,4,2,0,5,4,12,10.7,-18,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
17,17,2019-11-25,26-107,DET,,ORL,W (+15),1,30:19,3,6,.500,0,0,,1,2,.500,3,15,18,1,0,1,3,3,7,7.4,+11,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
18,18,2019-11-27,26-109,DET,@,CHO,L (-1),1,37:56,6,11,.545,0,0,,2,5,.400,3,18,21,7,1,0,4,5,14,14.9,-5,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
19,19,2019-11-29,26-111,DET,,CHO,L (-3),1,37:38,7,12,.583,0,0,,1,4,.250,8,11,19,3,1,2,4,4,15,16.0,-3,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
20,20,2019-12-01,26-113,DET,,SAS,W (+34),1,25:59,4,8,.500,0,0,,1,4,.250,6,10,16,2,1,3,4,0,9,11.5,+2,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
21,21,2019-12-03,26-115,DET,@,CLE,W (+33),1,30:52,7,15,.467,0,0,,3,4,.750,4,10,14,4,5,4,3,0,17,22.3,+19,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
22,22,2019-12-04,26-116,DET,,MIL,L (-24),1,32:54,11,17,.647,0,1,.000,1,4,.250,5,9,14,5,2,3,3,3,23,23.9,-7,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
23,23,2019-12-06,26-118,DET,,IND,W (+7),1,40:51,9,17,.529,0,1,.000,7,9,.778,7,15,22,1,3,2,1,5,25,27.4,+17,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
24,24,2019-12-09,26-121,DET,@,NOP,W (+2),1,24:32,4,11,.364,0,0,,5,6,.833,4,6,10,0,0,0,1,4,13,8.5,+2,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
25,25,2019-12-12,26-124,DET,,DAL,L (-11),1,34:25,10,14,.714,0,1,.000,3,6,.500,2,13,15,1,3,1,2,4,23,22.1,-15,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
26,,2019-12-14,26-126,DET,@,HOU,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
27,,2019-12-16,26-128,DET,,WAS,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
28,26,2019-12-18,26-130,DET,,TOR,L (-13),1,37:14,9,16,.563,0,0,,4,7,.571,6,12,18,0,2,2,4,2,22,19.6,-14,2020,drumman01,https://www.basketball-reference.com/players/d/drumman01/gamelog/2020
