Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,24-015,MEM,@,MIA,L (-19),0,20:48,2,6,.333,1,5,.200,0,0,,0,1,1,2,0,0,2,3,5,0.1,-17,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
2,2,2019-10-25,24-017,MEM,,CHI,L (-8),0,18:21,1,5,.200,1,3,.333,3,4,.750,0,1,1,3,0,0,0,2,6,4.1,-3,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
3,3,2019-10-27,24-019,MEM,,BRK,W (+1),0,13:50,2,7,.286,1,3,.333,1,2,.500,0,2,2,1,0,0,0,2,6,2.0,+11,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
4,4,2019-10-29,24-021,MEM,@,LAL,L (-29),0,21:13,4,14,.286,1,6,.167,4,4,1.000,1,4,5,1,2,0,4,1,13,5.0,-36,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
5,5,2019-11-02,24-025,MEM,,PHO,L (-9),0,10:08,2,3,.667,1,2,.500,2,2,1.000,0,1,1,1,0,0,1,2,7,4.9,-5,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
6,,2019-11-04,24-027,MEM,,HOU,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
7,,2019-11-06,24-029,MEM,,MIN,W (+16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
8,,2019-11-08,24-031,MEM,@,ORL,L (-32),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
9,,2019-11-09,24-032,MEM,,DAL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
10,,2019-11-11,24-034,MEM,@,SAS,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2020,allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2020
