Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-22,28-099,LAL,@,LAC,L (-10),0,16:14,2,6,.333,1,5,.200,1,1,1.000,0,0,0,1,0,0,1,1,6,1.9,-13,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
2,2,2019-10-25,28-102,LAL,,UTA,W (+9),0,21:22,5,9,.556,4,8,.500,1,1,1.000,0,3,3,0,1,0,1,0,15,11.6,+9,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
3,3,2019-10-27,28-104,LAL,,CHO,W (+19),0,12:09,2,6,.333,1,5,.200,0,0,,0,0,0,0,1,0,0,1,5,2.2,+2,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
4,4,2019-10-29,28-106,LAL,,MEM,W (+29),0,20:04,2,7,.286,1,5,.200,0,0,,0,3,3,1,0,0,1,0,5,1.5,+7,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
5,5,2019-11-01,28-109,LAL,@,DAL,W (+9),0,8:48,0,4,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-2.1,-4,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
6,6,2019-11-03,28-111,LAL,@,SAS,W (+7),0,14:47,0,2,.000,0,1,.000,1,1,1.000,0,0,0,0,1,0,0,0,1,0.6,-4,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
7,7,2019-11-05,28-113,LAL,@,CHI,W (+6),0,13:36,1,5,.200,1,4,.250,0,0,,1,1,2,3,0,0,0,1,3,2.6,-6,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
8,8,2019-11-08,28-116,LAL,,MIA,W (+15),0,13:07,1,3,.333,1,3,.333,0,0,,0,2,2,0,0,0,0,0,3,1.9,-1,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
9,9,2019-11-10,28-118,LAL,,TOR,L (-9),0,17:19,4,7,.571,3,5,.600,0,0,,0,4,4,0,0,1,0,1,11,9.2,-2,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
10,,2019-11-12,28-120,LAL,@,PHO,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,danietr01,https://www.basketball-reference.com/players/d/danietr01/gamelog/2020
