Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2015-10-28,27-029,OKC,,SAS,W (+6),1,34:30,6,19,.316,2,6,.333,8,8,1.000,0,6,6,0,0,0,1,2,22,11.1,0,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
2,2,2015-10-30,27-031,OKC,@,ORL,W (+3),1,53:32,15,30,.500,3,9,.333,10,11,.909,1,11,12,2,1,2,2,4,43,31.8,+3,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
3,3,2015-11-01,27-033,OKC,,DEN,W (+24),1,27:44,8,11,.727,3,5,.600,6,6,1.000,0,2,2,5,0,1,2,2,25,22.5,+17,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
4,4,2015-11-02,27-034,OKC,@,HOU,L (-5),1,35:00,9,19,.474,4,9,.444,7,9,.778,1,3,4,0,0,2,5,0,29,16.5,-4,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
5,5,2015-11-04,27-036,OKC,,TOR,L (-5),1,37:40,10,18,.556,2,5,.400,5,6,.833,0,7,7,4,2,3,1,1,27,25.6,+3,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
6,6,2015-11-05,27-037,OKC,@,CHI,L (-6),1,40:48,13,29,.448,3,6,.500,4,5,.800,0,6,6,5,0,2,3,2,33,20.4,+1,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
7,7,2015-11-08,27-040,OKC,,PHO,W (+21),1,31:31,12,19,.632,2,5,.400,6,7,.857,0,11,11,4,3,0,2,2,32,29.4,+32,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
8,8,2015-11-10,27-042,OKC,@,WAS,W (+24),1,16:45,4,8,.500,2,2,1.000,4,4,1.000,0,10,10,4,0,0,2,0,14,13.8,+15,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
9,,2015-11-13,27-045,OKC,,PHI,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
10,,2015-11-15,27-047,OKC,,BOS,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
11,,2015-11-16,27-048,OKC,@,MEM,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
12,,2015-11-18,27-050,OKC,,NOP,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
13,,2015-11-20,27-052,OKC,,NYK,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
14,,2015-11-22,27-054,OKC,,DAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
15,9,2015-11-23,27-055,OKC,@,UTA,W (+22),1,30:10,10,13,.769,3,6,.500,4,4,1.000,0,6,6,1,4,1,4,2,27,24.3,+13,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
16,10,2015-11-25,27-057,OKC,,BRK,W (+11),1,37:11,11,18,.611,5,8,.625,3,4,.750,0,6,6,5,0,3,3,0,30,25.8,+18,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
17,11,2015-11-27,27-059,OKC,,DET,W (+16),1,37:51,10,22,.455,4,9,.444,10,10,1.000,1,12,13,5,0,3,3,0,34,29.5,+13,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
18,12,2015-11-30,27-062,OKC,@,ATL,L (-6),1,39:39,9,18,.500,2,4,.500,5,5,1.000,0,6,6,6,1,4,2,0,25,23.8,0,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
19,13,2015-12-03,27-065,OKC,@,MIA,L (-2),1,34:17,9,21,.429,2,7,.286,5,7,.714,0,9,9,6,1,0,5,2,25,15.2,-7,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
20,14,2015-12-06,27-068,OKC,,SAC,W (+3),1,38:41,7,13,.538,1,6,.167,5,7,.714,0,10,10,4,1,0,10,1,20,9.3,+6,2016,duranke01,https://www.basketball-reference.com/players/d/duranke01/gamelog/2016
