Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2007-11-01,22-017,DET,@,MIA,W (+11),1,14:11,1,3,.333,1,2,.500,0,0,,0,1,1,1,1,0,0,2,3,2.5,-9,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
2,2,2007-11-02,22-018,DET,@,ORL,W (+24),1,25:45,2,3,.667,0,0,,4,4,1.000,0,1,1,1,0,0,3,1,8,4.3,+9,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
3,3,2007-11-04,22-020,DET,,ATL,W (+1),0,5:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-2,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
4,4,2007-11-08,22-024,DET,@,CHI,L (-4),0,3:41,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-2,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
5,5,2007-11-09,22-025,DET,,LAC,W (+24),0,17:30,2,5,.400,0,2,.000,0,0,,0,5,5,1,0,0,2,0,4,1.5,-11,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
6,,2007-11-11,22-027,DET,@,SEA,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
7,6,2007-11-13,22-029,DET,@,POR,L (-8),0,4:45,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
8,7,2007-11-14,22-030,DET,@,GSW,W (+7),0,9:01,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,3.3,+1,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
9,8,2007-11-16,22-032,DET,@,LAL,L (-12),0,11:30,2,4,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,4,3.3,+4,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
10,9,2007-11-18,22-034,DET,@,SAC,L (-10),0,8:35,2,4,.500,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,1,5,3.3,+3,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
11,10,2007-11-21,22-037,DET,,NYK,W (+12),0,15:37,2,7,.286,0,3,.000,1,2,.500,2,1,3,0,0,0,0,2,5,1.4,-6,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
12,11,2007-11-23,22-039,DET,,PHI,W (+5),0,18:58,4,8,.500,0,2,.000,0,0,,0,0,0,2,1,0,0,2,8,5.6,+10,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
13,12,2007-11-25,22-041,DET,,UTA,L (-10),0,3:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
14,13,2007-11-28,22-044,DET,,CLE,W (+35),0,8:01,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,5,4.7,+14,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
15,14,2007-12-01,22-047,DET,@,MIL,W (+26),0,21:54,2,3,.667,0,0,,0,0,,0,3,3,1,0,0,1,2,4,2.5,+17,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
16,15,2007-12-02,22-048,DET,,NJN,W (+23),0,13:46,1,2,.500,0,1,.000,2,2,1.000,1,0,1,0,0,0,0,1,4,3.3,+2,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
17,16,2007-12-04,22-050,DET,@,ATL,W (+11),0,11:56,1,1,1.000,0,0,,0,0,,0,3,3,2,0,0,0,2,2,3.2,-18,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
18,,2007-12-05,22-051,DET,@,NOH,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
19,17,2007-12-07,22-053,DET,,CHI,L (-7),0,5:36,1,3,.333,1,1,1.000,0,0,,1,2,3,0,0,0,0,0,3,2.6,+2,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
20,18,2007-12-09,22-055,DET,,CHA,W (+19),0,16:09,1,2,.500,0,1,.000,3,3,1.000,0,1,1,1,1,0,1,0,5,5.0,+3,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
21,19,2007-12-11,22-057,DET,@,MEM,W (+10),0,6:50,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,4,4.7,+11,2008,afflaar01,https://www.basketball-reference.com/players/a/afflaar01/gamelog/2008
