Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2011-12-25,23-304,DAL,,MIA,L (-11),0,8:26,0,4,.000,0,2,.000,0,0,,1,2,3,3,0,0,0,1,0,0.2,+12,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
2,2,2011-12-26,23-305,DAL,,DEN,L (-22),0,14:43,3,5,.600,2,2,1.000,2,2,1.000,1,1,2,1,2,0,2,4,10,7.8,+13,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
3,,2011-12-29,23-308,DAL,@,OKC,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
4,3,2011-12-30,23-309,DAL,,TOR,W (+13),0,17:21,2,6,.333,1,3,.333,2,2,1.000,0,2,2,1,3,0,3,1,7,4.5,+12,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
5,4,2012-01-01,23-311,DAL,@,MIN,L (-17),0,8:40,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,1,0,1,2,1.6,-5,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
6,5,2012-01-02,23-312,DAL,,OKC,W (+13),0,1:25,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,0,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
7,6,2012-01-04,23-314,DAL,,PHO,W (+9),0,9:21,2,6,.333,0,1,.000,0,0,,1,2,3,2,1,0,0,1,4,3.9,-4,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
8,7,2012-01-05,23-315,DAL,@,SAS,L (-22),0,21:16,1,8,.125,0,3,.000,2,2,1.000,0,5,5,1,1,3,2,0,4,2.1,+7,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
9,8,2012-01-07,23-317,DAL,,NOH,W (+15),0,16:24,4,10,.400,3,5,.600,0,0,,0,2,2,2,2,0,2,2,11,6.8,+2,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
10,9,2012-01-10,23-320,DAL,@,DET,W (+14),0,17:39,1,5,.200,0,1,.000,0,0,,1,2,3,3,2,0,1,1,2,2.9,-14,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
11,10,2012-01-11,23-321,DAL,@,BOS,W (+5),0,8:45,1,3,.333,0,0,,1,2,.500,0,1,1,2,1,0,0,1,3,3.2,-3,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
12,11,2012-01-13,23-323,DAL,,MIL,W (+26),0,23:32,7,12,.583,1,3,.333,0,0,,2,4,6,2,0,0,2,2,15,10.6,+13,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
13,12,2012-01-14,23-324,DAL,,SAC,W (+39),0,15:38,3,5,.600,0,1,.000,0,1,.000,0,3,3,1,1,0,0,2,6,5.1,+18,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
14,,2012-01-16,23-326,DAL,@,LAL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
15,13,2012-01-18,23-328,DAL,@,LAC,L (-2),0,6:30,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,+5,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
16,14,2012-01-19,23-329,DAL,@,UTA,W (+3),0,18:09,6,9,.667,2,4,.500,3,4,.750,0,2,2,2,0,2,1,2,17,14.3,-6,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
17,15,2012-01-21,23-331,DAL,@,NOH,W (+2),0,16:56,3,8,.375,1,3,.333,0,0,,1,2,3,0,3,1,0,2,7,6.8,-12,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
18,16,2012-01-23,23-333,DAL,,PHO,W (+6),0,17:57,0,5,.000,0,2,.000,4,4,1.000,0,3,3,1,2,1,2,2,4,2.0,0,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
19,17,2012-01-25,23-335,DAL,,MIN,L (-15),0,20:01,5,11,.455,1,4,.250,0,0,,1,2,3,5,0,3,1,3,11,10.0,-2,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
20,18,2012-01-27,23-337,DAL,,UTA,W (+15),1,35:35,9,15,.600,3,5,.600,1,1,1.000,0,6,6,7,1,4,2,3,22,22.4,-4,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
21,19,2012-01-29,23-339,DAL,,SAS,W (+1),1,36:00,7,16,.438,0,3,.000,0,0,,0,3,3,7,0,3,1,2,14,11.7,+4,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
22,20,2012-01-30,23-340,DAL,@,PHO,W (+23),1,24:09,4,8,.500,0,2,.000,0,0,,0,2,2,7,1,1,1,2,8,9.4,+12,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
23,21,2012-02-01,23-342,DAL,,OKC,L (-9),1,32:16,3,13,.231,1,3,.333,2,2,1.000,0,4,4,4,2,0,0,4,9,5.5,-5,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
24,22,2012-02-03,23-344,DAL,,IND,L (-11),1,20:38,2,8,.250,0,1,.000,0,0,,0,3,3,1,0,0,1,2,4,-1.0,-8,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
25,23,2012-02-04,23-345,DAL,@,CLE,L (-3),0,20:16,0,2,.000,0,0,,0,0,,0,2,2,5,2,1,2,0,0,3.4,+5,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
26,24,2012-02-08,23-349,DAL,@,DEN,W (+10),0,19:30,5,7,.714,2,3,.667,1,1,1.000,1,2,3,2,0,1,2,3,13,10.3,+6,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
27,,2012-02-10,23-351,DAL,@,MIN,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
28,,2012-02-11,23-352,DAL,,POR,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
29,,2012-02-13,23-354,DAL,,LAC,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
30,,2012-02-15,23-356,DAL,,DEN,W (+18),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
31,,2012-02-17,23-358,DAL,@,PHI,W (+7),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
32,,2012-02-19,23-360,DAL,@,NYK,L (-7),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
33,,2012-02-20,23-361,DAL,,BOS,W (+16),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
34,,2012-02-22,23-363,DAL,,LAL,L (-5),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
35,25,2012-02-28,24-004,DAL,,NJN,L (-1),0,24:09,3,10,.300,1,3,.333,4,4,1.000,1,2,3,2,3,0,2,1,11,8.5,-13,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
36,26,2012-02-29,24-005,DAL,@,MEM,L (-11),0,37:48,7,16,.438,0,4,.000,2,2,1.000,1,1,2,3,1,0,4,3,16,6.5,-3,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
37,27,2012-03-02,24-007,DAL,@,NOH,L (-5),1,31:00,11,17,.647,2,4,.500,1,1,1.000,0,2,2,3,4,0,1,3,25,22.0,-1,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
38,28,2012-03-03,24-008,DAL,,UTA,W (+6),0,20:10,1,4,.250,1,2,.500,0,0,,0,1,1,2,0,0,1,3,3,0.1,+8,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
39,29,2012-03-05,24-010,DAL,@,OKC,L (-4),0,21:19,3,9,.333,1,2,.500,2,2,1.000,0,1,1,1,3,2,2,4,9,5.7,-3,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
40,30,2012-03-06,24-011,DAL,,NYK,W (+10),0,19:32,6,11,.545,2,6,.333,4,6,.667,1,1,2,1,1,0,1,0,18,13.6,-4,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
41,31,2012-03-08,24-013,DAL,@,PHO,L (-2),0,22:09,2,9,.222,1,4,.250,0,0,,0,2,2,2,0,0,1,2,5,-0.3,-5,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
42,32,2012-03-09,24-014,DAL,@,SAC,L (-13),0,25:19,1,6,.167,0,1,.000,3,4,.750,0,4,4,4,1,0,0,2,5,5.0,+15,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
43,33,2012-03-10,24-015,DAL,@,GSW,L (-24),0,34:25,3,5,.600,2,3,.667,4,4,1.000,0,4,4,3,2,0,2,4,12,11.4,-12,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
44,34,2012-03-13,24-018,DAL,,WAS,W (+9),0,27:57,8,14,.571,0,3,.000,3,4,.750,2,4,6,4,2,1,0,4,19,18.5,+10,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
45,35,2012-03-15,24-020,DAL,,CHA,W (+5),0,25:12,7,9,.778,0,0,,0,0,,0,4,4,3,2,0,2,1,14,13.4,-8,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
46,36,2012-03-17,24-022,DAL,,SAS,W (+7),1,35:18,8,16,.500,0,4,.000,0,0,,0,8,8,1,1,0,3,2,16,8.3,-4,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
47,37,2012-03-19,24-024,DAL,@,DEN,W (+17),1,36:01,6,14,.429,2,4,.500,0,0,,0,3,3,6,1,0,3,2,14,8.9,+14,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
48,38,2012-03-21,24-026,DAL,,LAL,L (-16),1,28:53,3,12,.250,0,4,.000,0,0,,0,3,3,5,2,0,1,1,6,3.8,-4,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
49,39,2012-03-23,24-028,DAL,@,SAS,L (-17),1,27:46,3,6,.500,1,1,1.000,3,3,1.000,0,4,4,5,1,0,3,1,10,9.3,-14,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
50,40,2012-03-24,24-029,DAL,@,HOU,W (+2),0,25:44,2,8,.250,0,4,.000,2,2,1.000,0,1,1,3,1,1,0,3,6,4.1,+8,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
51,41,2012-03-27,24-032,DAL,,HOU,W (+9),0,27:01,5,9,.556,1,2,.500,3,5,.600,1,2,3,5,1,0,3,3,14,10.5,+6,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
52,42,2012-03-29,24-034,DAL,@,MIA,L (-21),0,14:43,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,2,1,0,-2.1,-1,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
53,,2012-03-30,24-035,DAL,@,ORL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
54,43,2012-04-02,24-038,DAL,,LAC,L (-19),0,16:21,3,8,.375,1,6,.167,0,0,,0,1,1,2,0,0,3,2,7,0.5,-11,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
55,44,2012-04-04,24-040,DAL,,MEM,W (+10),0,21:54,3,7,.429,0,1,.000,2,3,.667,0,2,2,5,1,2,1,1,8,9.0,+9,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
56,45,2012-04-06,24-042,DAL,,POR,L (-2),0,25:07,5,14,.357,0,5,.000,0,1,.000,1,0,1,5,0,0,0,3,10,4.8,-1,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
57,46,2012-04-07,24-043,DAL,@,MEM,L (-5),0,23:24,4,10,.400,1,2,.500,0,0,,0,3,3,4,0,0,1,3,9,5.1,-5,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
58,47,2012-04-10,24-046,DAL,,SAC,W (+10),0,21:10,5,13,.385,0,0,,5,5,1.000,1,4,5,2,0,0,0,1,15,10.8,+6,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
59,48,2012-04-12,24-048,DAL,@,GSW,W (+9),0,20:40,5,9,.556,1,2,.500,0,0,,0,2,2,5,1,0,1,1,11,10.4,+7,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
60,49,2012-04-13,24-049,DAL,@,POR,W (+3),0,11:58,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.0,-8,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
61,,2012-04-15,24-051,DAL,@,LAL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
62,,2012-04-16,24-052,DAL,@,UTA,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
63,50,2012-04-18,24-054,DAL,,HOU,W (+7),0,9:38,1,2,.500,0,1,.000,0,0,,0,4,4,1,0,0,1,2,2,1.1,+5,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
64,51,2012-04-20,24-056,DAL,,GSW,W (+10),0,13:44,0,4,.000,0,1,.000,0,0,,0,3,3,2,1,0,0,0,0,0.5,+6,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
65,52,2012-04-21,24-057,DAL,@,CHI,L (-10),1,37:38,7,15,.467,2,5,.400,0,0,,1,5,6,5,1,0,2,2,16,12.2,+4,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
66,53,2012-04-26,24-062,DAL,@,ATL,L (-17),1,33:34,5,12,.417,1,3,.333,2,2,1.000,1,4,5,6,0,1,4,1,13,9.0,-11,2012,beaubro01,https://www.basketball-reference.com/players/b/beaubro01/gamelog/2012
