Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,32-021,UTA,,OKC,W (+5),0,32:39,3,8,.375,1,4,.250,0,0,,0,4,4,1,0,0,1,2,7,2.7,+8,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
2,2,2019-10-25,32-023,UTA,@,LAL,L (-9),1,28:23,1,2,.500,0,1,.000,0,0,,0,3,3,4,0,0,2,3,2,1.5,-9,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
3,3,2019-10-26,32-024,UTA,,SAC,W (+32),0,25:27,2,5,.400,2,5,.400,2,2,1.000,0,4,4,3,3,0,1,1,8,10.2,+10,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
4,4,2019-10-28,32-026,UTA,@,PHO,W (+1),0,25:37,1,6,.167,1,5,.200,0,0,,1,8,9,5,1,0,3,3,3,2.6,-3,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
5,5,2019-10-30,32-028,UTA,,LAC,W (+14),0,31:03,4,8,.500,2,4,.500,0,0,,0,2,2,7,2,0,1,3,10,11.3,+27,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
6,6,2019-11-01,32-030,UTA,@,SAC,L (-1),0,29:46,2,6,.333,2,5,.400,0,0,,0,2,2,3,0,0,1,2,6,3.5,+11,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
7,7,2019-11-03,32-032,UTA,@,LAC,L (-11),0,28:03,3,9,.333,3,9,.333,0,0,,0,5,5,2,1,1,1,4,9,5.9,-12,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
8,8,2019-11-06,32-035,UTA,,PHI,W (+2),0,29:14,6,11,.545,2,5,.400,2,2,1.000,1,1,2,2,0,0,0,3,16,11.9,-8,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
9,9,2019-11-08,32-037,UTA,,MIL,W (+3),0,20:47,0,5,.000,0,3,.000,1,2,.500,0,5,5,3,0,0,2,3,1,-2.5,+10,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
10,10,2019-11-11,32-040,UTA,@,GSW,W (+14),0,27:00,3,8,.375,1,5,.200,4,4,1.000,0,3,3,7,1,0,2,1,11,11.0,-3,2020,inglejo01,https://www.basketball-reference.com/players/i/inglejo01/gamelog/2020
