Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2015-10-28,28-017,MEM,,CLE,L (-30),1,29:26,2,8,.250,0,2,.000,4,4,1.000,0,4,4,6,0,0,1,1,8,7.2,-18,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
2,2,2015-10-29,28-018,MEM,@,IND,W (+9),1,30:16,5,11,.455,1,1,1.000,2,2,1.000,2,2,4,10,2,0,4,4,13,12.7,+3,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
3,3,2015-10-31,28-020,MEM,,BRK,W (+10),1,32:26,7,12,.583,4,7,.571,4,4,1.000,0,2,2,8,1,0,1,0,22,22.6,+6,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
4,4,2015-11-02,28-022,MEM,@,GSW,L (-50),1,26:27,2,8,.250,0,2,.000,6,7,.857,0,2,2,5,1,0,0,1,10,9.5,-41,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
5,5,2015-11-03,28-023,MEM,@,SAC,W (+14),1,25:12,5,9,.556,1,4,.250,3,3,1.000,1,2,3,6,1,0,1,2,14,14.4,+9,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
6,6,2015-11-05,28-025,MEM,@,POR,L (-19),1,31:10,2,8,.250,0,2,.000,3,4,.750,0,2,2,3,0,0,2,0,7,2.5,-19,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
7,7,2015-11-07,28-027,MEM,@,UTA,L (-10),1,39:38,8,25,.320,3,10,.300,1,1,1.000,0,4,4,5,1,0,4,4,20,5.8,-2,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
8,8,2015-11-09,28-029,MEM,@,LAC,L (-2),1,35:02,6,15,.400,1,5,.200,3,4,.750,3,3,6,5,1,0,2,0,16,13.0,+8,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
9,9,2015-11-11,28-031,MEM,,GSW,L (-16),1,33:07,1,12,.083,0,4,.000,2,2,1.000,0,2,2,9,3,0,4,5,4,-0.1,-3,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
10,10,2015-11-13,28-033,MEM,,POR,W (+1),1,33:20,4,13,.308,1,4,.250,2,3,.667,1,0,1,9,0,0,1,2,11,8.3,0,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
11,11,2015-11-15,28-035,MEM,@,MIN,W (+8),1,32:49,7,14,.500,4,6,.667,2,4,.500,0,0,0,7,2,0,1,0,20,18.1,+5,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
12,12,2015-11-16,28-036,MEM,,OKC,W (+8),1,31:23,8,13,.615,4,5,.800,2,3,.667,1,3,4,9,2,0,0,1,22,25.2,-4,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
13,13,2015-11-20,28-040,MEM,,HOU,W (+12),1,33:56,10,17,.588,3,6,.500,3,4,.750,0,3,3,5,3,0,2,5,26,21.1,+9,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
14,14,2015-11-21,28-041,MEM,@,SAS,L (-10),1,32:01,5,12,.417,0,1,.000,6,6,1.000,0,3,3,5,2,1,1,2,16,14.9,-6,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
15,15,2015-11-24,28-044,MEM,,DAL,W (+14),1,29:59,8,17,.471,1,4,.250,4,4,1.000,2,1,3,6,1,0,0,3,21,18.0,+14,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
16,16,2015-11-25,28-045,MEM,@,HOU,W (+9),1,33:17,7,9,.778,1,2,.500,4,4,1.000,0,1,1,5,0,0,2,2,19,16.5,+1,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
17,17,2015-11-27,28-047,MEM,,ATL,L (-15),1,38:06,4,13,.308,2,6,.333,6,6,1.000,0,1,1,9,0,0,3,1,16,11.7,-17,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
18,18,2015-11-29,28-049,MEM,,PHI,W (+8),1,36:49,6,14,.429,1,2,.500,7,8,.875,0,4,4,5,1,2,5,2,20,13.5,+9,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
19,19,2015-12-01,28-051,MEM,@,NOP,W (+9),1,24:23,5,10,.500,1,3,.333,0,0,,0,2,2,3,0,0,2,0,11,6.7,-13,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
20,20,2015-12-03,28-053,MEM,,SAS,L (-20),1,28:15,5,13,.385,0,2,.000,5,5,1.000,1,4,5,4,0,2,1,1,15,12.6,-8,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
21,21,2015-12-06,28-056,MEM,,PHO,W (+2),1,34:28,4,14,.286,2,5,.400,2,4,.500,0,1,1,6,3,1,1,3,12,9.0,+2,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
22,22,2015-12-08,28-058,MEM,,OKC,L (-37),1,21:48,0,7,.000,0,3,.000,0,0,,0,0,0,6,1,0,1,1,0,-1.1,-22,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
23,23,2015-12-09,28-059,MEM,@,DET,W (+1),1,29:11,4,13,.308,1,6,.167,2,3,.667,1,0,1,8,0,0,2,1,11,7.0,-5,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
24,24,2015-12-11,28-061,MEM,,CHO,L (-24),1,30:26,4,8,.500,2,4,.500,6,7,.857,1,2,3,4,0,2,0,2,16,16.3,-16,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
25,25,2015-12-13,28-063,MEM,@,MIA,L (-3),1,26:00,4,11,.364,1,3,.333,0,0,,0,1,1,4,4,1,2,4,9,7.1,+3,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
26,26,2015-12-14,28-064,MEM,,WAS,W (+17),1,37:25,7,14,.500,2,4,.500,2,2,1.000,1,3,4,11,2,0,2,1,18,19.9,+16,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
27,27,2015-12-16,28-066,MEM,@,CHI,L (-13),1,34:08,3,14,.214,1,8,.125,1,2,.500,1,6,7,2,1,1,1,2,8,2.8,-7,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
28,28,2015-12-18,28-068,MEM,@,DAL,L (-9),1,34:56,6,12,.500,1,2,.500,7,7,1.000,1,3,4,2,1,0,2,2,20,15.2,-9,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
29,29,2015-12-19,28-069,MEM,,IND,W (+12),1,33:16,6,16,.375,1,3,.333,7,8,.875,0,4,4,8,4,0,1,1,20,20.2,+18,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
30,30,2015-12-22,28-072,MEM,@,PHI,W (+14),1,32:17,6,13,.462,1,3,.333,5,6,.833,0,1,1,6,1,0,2,2,18,13.6,+5,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
31,31,2015-12-23,28-073,MEM,@,WAS,L (-9),1,39:51,9,16,.563,2,3,.667,1,1,1.000,0,3,3,3,1,0,0,0,21,17.4,+1,2016,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2016
