Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2004-11-03,32-308,SAS,,SAC,W (+16),0,31:16,6,9,.667,3,6,.500,1,2,.500,1,1,2,3,1,2,0,0,16,17.2,+15,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
2,2,2004-11-05,32-310,SAS,@,LAL,W (+9),0,30:57,3,8,.375,2,6,.333,5,6,.833,0,3,3,5,2,0,0,2,13,13.8,+3,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
3,3,2004-11-07,32-312,SAS,@,SEA,L (-19),0,24:31,2,4,.500,2,4,.500,2,2,1.000,2,1,3,1,0,0,2,2,8,5.6,-12,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
4,4,2004-11-10,32-315,SAS,,GSW,W (+20),0,24:08,2,4,.500,1,2,.500,0,0,,0,4,4,3,0,1,1,1,5,5.6,+1,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
5,5,2004-11-12,32-317,SAS,,MIA,W (+9),0,21:26,3,8,.375,2,6,.333,0,0,,0,2,2,3,0,1,1,0,8,6.0,-9,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
6,6,2004-11-13,32-318,SAS,@,ATL,W (+15),0,21:46,4,9,.444,2,6,.333,3,3,1.000,0,2,2,3,0,0,0,4,13,9.4,-1,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
7,7,2004-11-16,32-321,SAS,,NYK,W (+18),0,25:02,3,6,.500,3,5,.600,3,3,1.000,0,4,4,1,1,0,1,1,12,10.5,+19,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
8,8,2004-11-18,32-323,SAS,@,PHI,W (+8),0,25:28,2,8,.250,0,5,.000,1,1,1.000,0,3,3,4,0,0,2,1,5,1.5,-9,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
9,9,2004-11-19,32-324,SAS,@,BOS,W (+8),0,18:59,2,6,.333,2,5,.400,1,2,.500,0,2,2,6,0,1,0,2,7,7.9,+5,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
10,10,2004-11-21,32-326,SAS,@,TOR,L (-5),0,27:55,2,9,.222,2,9,.222,2,3,.667,1,5,6,3,0,0,0,0,8,6.4,-5,2005,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/2005
