Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,27-293,IND,,DET,L (-9),0,11:00,2,4,.500,2,3,.667,0,0,,0,0,0,1,0,0,1,0,6,3.7,-4,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
2,2,2019-10-26,27-296,IND,@,CLE,L (-11),0,12:17,1,5,.200,1,3,.333,0,0,,0,2,2,0,0,1,1,1,3,-0.2,+4,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
3,3,2019-10-28,27-298,IND,@,DET,L (-2),0,13:53,0,2,.000,0,1,.000,0,0,,0,0,0,3,0,0,1,2,0,-1.1,0,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
4,4,2019-10-30,27-300,IND,@,BRK,W (+10),0,32:07,2,4,.500,2,3,.667,0,0,,0,4,4,0,0,0,0,4,6,3.6,+1,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
5,5,2019-11-01,27-302,IND,,CLE,W (+7),0,19:24,4,12,.333,0,4,.000,0,0,,0,2,2,1,1,0,1,3,8,1.3,+12,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
6,6,2019-11-03,27-304,IND,,CHI,W (+13),0,16:53,2,7,.286,1,4,.250,2,3,.667,1,2,3,3,0,0,2,4,7,2.3,+5,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
7,7,2019-11-05,27-306,IND,@,CHO,L (-2),0,19:05,3,7,.429,2,4,.500,0,0,,0,2,2,1,0,0,2,3,8,2.4,-18,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
8,8,2019-11-06,27-307,IND,,WAS,W (+15),0,30:31,6,10,.600,4,6,.667,3,3,1.000,2,5,7,4,1,0,1,3,19,18.9,-1,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
9,9,2019-11-08,27-309,IND,,DET,W (+6),0,19:23,6,11,.545,2,3,.667,0,0,,0,0,0,1,0,0,1,1,14,8.0,-3,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
10,10,2019-11-10,27-311,IND,@,ORL,W (+7),0,25:47,7,13,.538,3,7,.429,1,1,1.000,2,4,6,1,0,0,0,1,18,14.6,+9,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
11,11,2019-11-12,27-313,IND,,OKC,W (+26),0,26:25,4,11,.364,1,6,.167,0,0,,0,3,3,1,0,0,2,0,9,2.5,+8,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
12,12,2019-11-15,27-316,IND,@,HOU,L (-9),0,32:07,7,15,.467,3,6,.500,1,1,1.000,0,5,5,0,0,0,2,2,18,9.0,+1,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
13,13,2019-11-16,27-317,IND,,MIL,L (-19),0,19:57,1,6,.167,1,2,.500,0,0,,0,2,2,1,0,1,1,2,3,-0.6,-20,2020,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01/gamelog/2020
