Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2002-10-30,24-270,MIL,@,PHI,L (-2),1,24:35,0,1,.000,0,0,,2,2,1.000,3,3,6,1,0,2,2,2,2,3.6,-11,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
2,2,2002-11-02,24-273,MIL,,ORL,L (-10),1,18:21,1,1,1.000,0,0,,2,2,1.000,1,3,4,2,3,4,3,2,4,8.7,+15,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
3,3,2002-11-04,24-275,MIL,@,NYK,W (+9),1,22:59,4,5,.800,0,0,,0,1,.000,3,7,10,0,1,3,2,3,8,9.8,+3,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
4,4,2002-11-06,24-277,MIL,,NJN,W (+6),1,21:26,5,8,.625,0,0,,0,0,,3,7,10,0,0,0,2,3,10,7.4,0,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
5,5,2002-11-07,24-278,MIL,@,MIN,L (-4),1,22:17,2,4,.500,0,0,,0,2,.000,2,2,4,0,0,0,0,5,4,1.2,+1,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
6,6,2002-11-09,24-280,MIL,,PHI,W (+5),1,16:31,0,1,.000,0,0,,0,0,,0,3,3,0,0,2,0,2,0,0.8,-1,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
7,7,2002-11-13,24-284,MIL,,CHI,W (+7),1,14:00,4,7,.571,0,0,,1,2,.500,2,4,6,0,0,1,0,4,9,7.0,-6,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
8,8,2002-11-15,24-286,MIL,@,IND,L (-3),1,17:42,1,4,.250,0,0,,2,4,.500,1,2,3,1,0,2,0,3,4,3.0,-7,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
9,9,2002-11-16,24-287,MIL,,BOS,W (+19),1,18:54,3,5,.600,0,0,,2,4,.500,3,6,9,0,1,3,0,2,8,11.1,+12,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
10,10,2002-11-19,24-290,MIL,,MIA,L (-4),1,14:00,1,4,.250,0,0,,1,2,.500,0,4,4,1,0,0,0,3,3,0.9,-8,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
11,11,2002-11-22,24-293,MIL,@,GSW,W (+4),1,16:49,2,3,.667,0,0,,1,2,.500,2,5,7,0,1,2,1,6,5,5.2,+9,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
12,12,2002-11-24,24-295,MIL,@,LAL,L (-12),0,26:10,4,7,.571,0,0,,1,3,.333,4,2,6,0,3,0,0,6,9,8.9,-7,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
13,13,2002-11-25,24-296,MIL,@,PHO,L (-5),1,24:19,0,0,,0,0,,0,0,,0,2,2,1,0,3,1,1,0,2.0,-4,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
14,14,2002-11-27,24-298,MIL,,CLE,W (+32),1,11:55,0,1,.000,0,0,,0,0,,0,0,0,0,1,1,1,6,0,-2.4,-1,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
15,15,2002-11-29,24-300,MIL,@,DET,L (-5),1,29:36,4,6,.667,0,0,,4,5,.800,3,6,9,0,0,2,0,1,12,13.9,+2,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
16,16,2002-11-30,24-301,MIL,,DET,W (+23),1,26:04,6,6,1.000,0,0,,0,2,.000,3,4,7,0,0,2,0,5,12,12.1,+12,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
17,17,2002-12-03,24-304,MIL,@,WAS,L (-25),1,19:54,3,6,.500,0,0,,1,2,.500,3,6,9,0,1,0,0,4,7,6.9,-14,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
18,18,2002-12-05,24-306,MIL,@,ATL,L (-18),1,21:50,0,0,,0,0,,0,0,,0,4,4,0,0,2,2,3,0,-0.6,-7,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
19,,2002-12-07,24-308,MIL,,NOH,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
20,19,2002-12-09,24-310,MIL,@,CLE,W (+7),0,11:08,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,3,1,2,-1.4,0,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
21,20,2002-12-11,24-312,MIL,,IND,L (-7),0,4:19,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,0.6,-8,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
22,21,2002-12-13,24-314,MIL,,POR,W (+22),1,26:55,2,6,.333,0,0,,3,3,1.000,2,9,11,0,2,1,0,2,7,9.6,+18,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
23,22,2002-12-14,24-315,MIL,@,CHI,L (-2),1,22:03,4,7,.571,0,0,,0,0,,1,4,5,0,0,0,1,5,8,3.6,0,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
24,23,2002-12-17,24-318,MIL,,TOR,L (-5),1,22:39,1,3,.333,0,0,,2,4,.500,2,4,6,0,0,1,0,2,4,4.0,+7,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
25,24,2002-12-20,24-321,MIL,@,MEM,L (-11),1,21:38,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,1,3,0,-1.3,+3,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
26,25,2002-12-21,24-322,MIL,,NYK,W (+4),1,18:16,1,3,.333,0,0,,0,0,,2,3,5,0,1,1,1,3,2,2.1,-10,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
27,26,2002-12-23,24-324,MIL,@,ORL,W (+5),1,21:17,1,2,.500,0,0,,2,2,1.000,2,2,4,0,0,2,0,4,4,4.8,-6,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
28,27,2002-12-27,24-328,MIL,@,NJN,L (-20),1,18:06,1,1,1.000,0,0,,0,0,,0,2,2,0,1,1,1,4,2,1.4,-12,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
29,,2002-12-28,24-329,MIL,,NJN,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
30,28,2002-12-30,24-331,MIL,@,DAL,W (+3),0,5:05,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,5,0,-2.7,-8,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
31,29,2002-12-31,24-332,MIL,@,HOU,L (-23),0,11:26,0,1,.000,0,0,,0,0,,0,0,0,0,1,1,0,2,0,0.2,+3,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
32,30,2003-01-03,24-335,MIL,,UTA,L (-3),1,17:57,3,5,.600,0,0,,1,2,.500,2,2,4,0,1,1,1,2,7,6.2,-4,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
33,,2003-01-06,24-338,MIL,@,CLE,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
34,31,2003-01-07,24-339,MIL,,SAC,L (-25),1,13:02,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,0,2,2,1.2,-6,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
35,,2003-01-10,24-342,MIL,,CHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
36,,2003-01-11,24-343,MIL,@,DET,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
37,,2003-01-14,24-346,MIL,,ATL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
38,,2003-01-15,24-347,MIL,@,TOR,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2003,gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01/gamelog/2003
