Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,23-121,DET,@,IND,W (+9),0,28:04,8,13,.615,6,9,.667,8,10,.800,0,3,3,2,0,0,1,3,30,23.4,+12,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
2,2,2019-10-24,23-122,DET,,ATL,L (-17),0,30:31,3,12,.250,3,9,.333,4,4,1.000,1,3,4,3,1,0,1,0,13,9.5,-3,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
3,3,2019-10-26,23-124,DET,,PHI,L (-6),0,32:00,6,11,.545,1,3,.333,3,3,1.000,0,1,1,2,0,0,0,4,16,10.8,-3,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
4,4,2019-10-28,23-126,DET,,IND,W (+2),1,30:55,5,11,.455,3,6,.500,1,1,1.000,0,3,3,4,0,0,1,0,14,11.0,+10,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
5,5,2019-10-30,23-128,DET,@,TOR,L (-12),1,26:38,1,6,.167,1,4,.250,0,0,,0,1,1,7,0,0,1,1,3,3.0,-25,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
6,6,2019-11-01,23-130,DET,@,CHI,L (-6),1,32:48,6,11,.545,3,8,.375,0,0,,0,3,3,4,1,0,2,3,15,11.2,-8,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
7,7,2019-11-02,23-131,DET,,BRK,W (+4),1,37:22,8,19,.421,3,7,.429,5,5,1.000,0,3,3,4,0,0,2,0,24,15.6,+8,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
8,8,2019-11-04,23-133,DET,@,WAS,L (-16),1,34:21,6,12,.500,3,4,.750,9,11,.818,0,4,4,5,0,0,5,2,24,16.1,-28,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
9,9,2019-11-06,23-135,DET,,NYK,W (+20),1,32:19,4,12,.333,1,7,.143,3,4,.750,1,8,9,7,0,0,3,3,12,8.6,+12,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
10,10,2019-11-08,23-137,DET,@,IND,L (-6),1,41:18,11,21,.524,4,9,.444,3,3,1.000,1,5,6,5,0,0,1,4,29,21.8,-2,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
11,11,2019-11-11,23-140,DET,,MIN,L (-6),1,39:43,8,17,.471,4,9,.444,5,5,1.000,1,6,7,2,1,0,1,3,25,19.0,0,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
12,12,2019-11-12,23-141,DET,@,MIA,L (-9),1,37:57,8,18,.444,4,12,.333,2,3,.667,0,1,1,5,2,0,1,3,22,15.8,0,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
13,13,2019-11-15,23-144,DET,@,CHO,L (-3),1,37:29,2,5,.400,1,4,.250,0,0,,0,5,5,5,0,1,0,3,5,6.8,+18,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
14,14,2019-11-20,23-149,DET,@,CHI,L (-20),1,38:26,4,15,.267,2,7,.286,4,4,1.000,0,1,1,4,1,0,2,2,14,6.4,-13,2020,kennalu01,https://www.basketball-reference.com/players/k/kennalu01/gamelog/2020
