Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2018-10-17,25-122,UTA,@,SAC,W (+6),0,1:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
2,2,2018-10-19,25-124,UTA,,GSW,L (-1),0,8:41,3,7,.429,2,5,.400,0,0,,1,2,3,1,0,1,0,0,8,7.0,-5,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
3,3,2018-10-22,25-127,UTA,,MEM,L (-8),0,7:58,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1.9,-5,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
4,4,2018-10-24,25-129,UTA,@,HOU,W (+11),0,4:05,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,1,2,1.2,+3,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
5,5,2018-10-27,25-132,UTA,@,NOP,W (+21),0,11:27,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,1,1,0,2,2,5,4.2,+6,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
6,6,2018-10-28,25-133,UTA,@,DAL,W (+9),0,13:29,4,5,.800,2,3,.667,3,3,1.000,0,1,1,0,0,0,0,3,13,10.2,+5,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
7,7,2018-10-31,25-136,UTA,@,MIN,L (-3),0,7:31,2,3,.667,2,3,.667,0,0,,0,1,1,1,1,0,1,0,6,5.7,+5,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
8,8,2018-11-02,25-138,UTA,,MEM,L (-10),0,12:02,1,3,.333,1,2,.500,0,0,,1,4,5,0,1,0,0,0,3,4.2,-9,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
9,9,2018-11-03,25-139,UTA,@,DEN,L (-15),0,4:47,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,2,0,-0.8,-2,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
10,10,2018-11-05,25-141,UTA,,TOR,L (-13),0,10:19,2,4,.500,1,3,.333,0,0,,0,3,3,1,0,0,0,0,5,4.6,-5,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
11,11,2018-11-07,25-143,UTA,,DAL,W (+15),0,7:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,0,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
12,12,2018-11-09,25-145,UTA,,BOS,W (+8),0,8:13,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-1.4,-3,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
13,13,2018-11-12,25-148,UTA,@,MEM,W (+8),0,7:31,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,0.2,-10,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
14,14,2018-11-14,25-150,UTA,@,DAL,L (-50),0,5:45,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-13,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
15,,2018-11-16,25-152,UTA,@,PHI,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
16,15,2018-11-17,25-153,UTA,@,BOS,W (+12),0,7:34,0,3,.000,0,2,.000,1,2,.500,0,0,0,1,0,0,0,0,1,-0.8,-16,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
17,,2018-11-19,25-155,UTA,@,IND,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
18,,2018-11-21,25-157,UTA,,SAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
19,,2018-11-23,25-159,UTA,@,LAL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
20,16,2018-11-25,25-161,UTA,@,SAC,W (+21),0,2:57,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.7,-2,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
21,17,2018-11-26,25-162,UTA,,IND,L (-33),0,7:43,2,4,.500,1,3,.333,0,0,,0,0,0,1,0,0,0,1,5,3.3,-4,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
22,18,2018-11-28,25-164,UTA,@,BRK,W (+10),0,3:20,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-2.9,-5,2019,niangge01,https://www.basketball-reference.com/players/n/niangge01/gamelog/2019
