Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2017-10-18,24-112,WAS,,PHI,W (+5),1,35:37,6,17,.353,1,4,.250,12,16,.750,2,4,6,4,3,1,2,2,25,20.2,+12,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
2,2,2017-10-20,24-114,WAS,,DET,W (+4),1,34:52,9,18,.500,1,3,.333,6,7,.857,0,4,4,4,0,3,2,4,25,18.1,+15,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
3,3,2017-10-23,24-117,WAS,@,DEN,W (+5),1,35:14,8,17,.471,1,5,.200,3,3,1.000,1,4,5,2,1,0,2,1,20,13.2,+5,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
4,4,2017-10-25,24-119,WAS,@,LAL,L (-3),1,43:31,11,23,.478,2,7,.286,4,6,.667,1,5,6,2,3,1,4,1,28,18.4,-8,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
5,5,2017-10-27,24-121,WAS,@,GSW,L (-3),1,15:21,2,7,.286,0,2,.000,0,0,,2,1,3,2,1,0,1,1,4,2.6,+16,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
6,6,2017-10-29,24-123,WAS,@,SAC,W (+27),1,29:07,6,11,.545,1,3,.333,2,2,1.000,1,2,3,4,0,0,1,1,15,12.4,+24,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
7,7,2017-11-01,24-126,WAS,,PHO,L (-6),1,37:54,12,25,.480,6,12,.500,10,11,.909,2,4,6,2,0,0,1,3,40,28.7,+6,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
8,8,2017-11-03,24-128,WAS,,CLE,L (-8),1,36:51,12,19,.632,1,5,.200,11,13,.846,2,2,4,4,1,0,4,1,36,28.1,-1,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
9,9,2017-11-05,24-130,WAS,@,TOR,W (+11),1,39:41,16,26,.615,4,6,.667,2,3,.667,1,4,5,4,1,0,4,1,38,27.1,+14,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
10,10,2017-11-07,24-132,WAS,,DAL,L (-14),1,37:28,8,20,.400,3,8,.375,4,5,.800,0,4,4,2,1,0,5,3,23,9.2,-15,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
11,11,2017-11-09,24-134,WAS,,LAL,W (+16),1,37:29,8,16,.500,2,5,.400,4,5,.800,0,5,5,5,1,0,4,4,22,14.0,+21,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
12,12,2017-11-11,24-136,WAS,,ATL,W (+19),1,27:38,7,13,.538,2,4,.500,3,4,.750,1,3,4,4,3,0,3,0,19,16.7,+19,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
13,13,2017-11-13,24-138,WAS,,SAC,W (+18),1,33:09,5,11,.455,1,6,.167,3,3,1.000,0,7,7,7,1,0,3,2,14,12.5,+15,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
14,14,2017-11-15,24-140,WAS,@,MIA,W (+9),1,39:21,6,19,.316,1,6,.167,13,14,.929,3,4,7,1,2,0,2,1,26,18.3,+8,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
15,15,2017-11-17,24-142,WAS,,MIA,L (-3),1,39:32,9,22,.409,5,12,.417,3,4,.750,0,10,10,4,1,0,1,4,26,18.0,+6,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
16,16,2017-11-19,24-144,WAS,@,TOR,L (-9),1,36:42,11,23,.478,5,9,.556,0,0,,1,3,4,1,0,1,5,0,27,13.3,-3,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
17,17,2017-11-20,24-145,WAS,@,MIL,W (+11),1,36:43,10,16,.625,2,5,.400,1,2,.500,0,0,0,5,1,1,4,1,23,16.2,+3,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
18,18,2017-11-22,24-147,WAS,@,CHO,L (-5),1,40:56,7,22,.318,3,8,.375,5,7,.714,1,3,4,2,2,1,3,2,22,10.5,-12,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
19,19,2017-11-25,24-150,WAS,,POR,L (-3),1,35:09,10,24,.417,3,10,.300,3,4,.750,0,1,1,7,2,2,3,0,26,18.4,-20,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
20,20,2017-11-28,24-153,WAS,@,MIN,W (+3),1,34:21,2,11,.182,0,1,.000,4,6,.667,0,2,2,6,0,1,1,1,8,4.4,-6,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
21,21,2017-11-29,24-154,WAS,@,PHI,L (-5),1,22:57,6,12,.500,4,5,.800,5,5,1.000,0,4,4,1,1,0,0,6,21,15.5,-9,2018,bealbr01,https://www.basketball-reference.com/players/b/bealbr01/gamelog/2018
