Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-22,21-360,NOP,@,TOR,L (-8),1,24:50,2,7,.286,2,3,.667,2,2,1.000,0,5,5,5,0,0,1,2,8,7.1,-7,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
2,2,2019-10-25,21-363,NOP,,DAL,L (-7),1,33:13,6,16,.375,3,12,.250,0,2,.000,1,7,8,5,2,0,2,3,15,10.5,-14,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
3,3,2019-10-26,21-364,NOP,@,HOU,L (-3),1,35:39,6,13,.462,4,9,.444,2,2,1.000,0,2,2,10,3,0,0,2,18,21.1,0,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
4,4,2019-10-28,22-001,NOP,,GSW,L (-11),1,31:05,4,10,.400,2,6,.333,2,2,1.000,1,3,4,9,2,0,2,1,12,14.1,-2,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
5,5,2019-10-31,22-004,NOP,,DEN,W (+15),1,31:39,4,7,.571,1,2,.500,0,0,,0,3,3,8,1,1,3,2,9,10.1,+17,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
6,6,2019-11-02,22-006,NOP,@,OKC,L (-11),1,32:31,4,11,.364,2,5,.400,0,2,.000,2,6,8,7,3,0,5,3,10,8.0,+4,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
7,7,2019-11-04,22-008,NOP,@,BRK,L (-10),1,20:52,6,10,.600,3,7,.429,0,0,,1,1,2,3,0,0,2,1,15,11.1,-16,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
8,8,2019-11-08,22-012,NOP,,TOR,L (-18),1,22:31,2,8,.250,1,5,.200,0,0,,1,3,4,2,2,0,4,0,5,1.2,-9,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
9,,2019-11-09,22-013,NOP,@,CHO,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
10,,2019-11-11,22-015,NOP,,HOU,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
11,,2019-11-14,22-018,NOP,,LAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
12,,2019-11-16,22-020,NOP,@,MIA,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
13,,2019-11-17,22-021,NOP,,GSW,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
14,,2019-11-19,22-023,NOP,,POR,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
15,9,2019-11-21,22-025,NOP,@,PHO,W (+3),0,19:27,3,9,.333,2,7,.286,0,0,,0,1,1,5,0,0,3,3,8,2.5,-11,2020,balllo01,https://www.basketball-reference.com/players/b/balllo01/gamelog/2020
