Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,21-147,ORL,,CLE,W (+9),0,23:26,6,12,.500,0,3,.000,0,0,,0,0,0,6,2,0,3,1,12,8.8,+3,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
2,2,2019-10-26,21-150,ORL,@,ATL,L (-4),0,24:19,4,11,.364,2,6,.333,2,2,1.000,2,1,3,3,0,0,0,4,12,8.1,+10,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
3,3,2019-10-28,21-152,ORL,@,TOR,L (-9),0,26:40,6,11,.545,1,4,.250,0,0,,1,1,2,5,0,0,3,3,13,8.0,0,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
4,4,2019-10-30,21-154,ORL,,NYK,W (+12),0,20:08,3,6,.500,0,1,.000,1,2,.500,0,1,1,1,1,0,2,3,7,2.4,-5,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
5,5,2019-11-01,21-156,ORL,,MIL,L (-32),0,19:19,2,6,.333,0,1,.000,1,2,.500,1,3,4,3,0,0,1,1,5,3.5,-13,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
6,6,2019-11-02,21-157,ORL,,DEN,L (-4),1,24:55,4,7,.571,0,1,.000,1,1,1.000,0,1,1,2,3,0,1,2,9,8.6,0,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
7,7,2019-11-05,21-160,ORL,@,OKC,L (-8),1,23:53,5,10,.500,1,2,.500,2,2,1.000,2,1,3,4,1,0,2,3,13,10.3,-14,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
8,8,2019-11-06,21-161,ORL,@,DAL,L (-1),1,24:23,5,10,.500,0,2,.000,1,1,1.000,0,2,2,2,3,0,2,5,11,7.0,+9,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
9,9,2019-11-08,21-163,ORL,,MEM,W (+32),1,23:22,2,7,.286,0,1,.000,3,4,.750,0,2,2,1,2,2,3,0,7,4.2,+23,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
10,10,2019-11-10,21-165,ORL,,IND,L (-7),1,24:24,4,7,.571,0,1,.000,0,0,,0,2,2,4,1,0,0,0,8,9.1,+5,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
11,11,2019-11-13,21-168,ORL,,PHI,W (+15),1,21:06,2,6,.333,0,2,.000,4,6,.667,1,3,4,3,1,0,0,2,8,7.7,-4,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
12,12,2019-11-15,21-170,ORL,,SAS,W (+2),1,24:39,3,8,.375,0,1,.000,7,7,1.000,0,2,2,4,2,0,0,0,13,14.0,+11,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
13,13,2019-11-17,21-172,ORL,,WAS,W (+4),1,25:54,8,10,.800,2,3,.667,1,1,1.000,0,3,3,2,1,0,4,4,19,12.9,+3,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
14,14,2019-11-20,21-175,ORL,@,TOR,L (-16),1,25:33,6,14,.429,0,1,.000,0,0,,0,0,0,4,2,0,0,2,12,8.6,+11,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
15,15,2019-11-23,21-178,ORL,@,IND,L (-5),1,28:59,6,11,.545,0,1,.000,1,1,1.000,0,2,2,9,1,0,2,2,13,12.8,+8,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
16,16,2019-11-25,21-180,ORL,@,DET,L (-15),1,29:31,7,12,.583,0,2,.000,2,3,.667,0,4,4,3,3,0,1,3,16,14.1,-13,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
17,17,2019-11-27,21-182,ORL,@,CLE,W (+12),1,28:23,7,12,.583,1,1,1.000,0,0,,1,2,3,4,0,0,3,4,15,8.9,+11,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
18,18,2019-11-29,21-184,ORL,,TOR,L (-7),1,29:48,5,12,.417,1,3,.333,4,5,.800,1,3,4,3,1,1,5,2,15,7.8,-4,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
19,19,2019-12-01,21-186,ORL,,GSW,W (+4),1,30:00,6,12,.500,0,1,.000,2,3,.667,1,3,4,9,1,0,0,2,14,15.7,+9,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
20,20,2019-12-03,21-188,ORL,@,WAS,W (+7),1,31:13,9,17,.529,0,0,,2,4,.500,0,3,3,6,2,0,4,1,20,13.6,-9,2020,fultzma01,https://www.basketball-reference.com/players/f/fultzma01/gamelog/2020
