Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2008-10-29,24-275,PHI,,TOR,L (-11),1,41:19,5,17,.294,0,5,.000,5,8,.625,1,2,3,6,1,0,3,0,15,7.4,-3,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
2,2,2008-10-31,24-277,PHI,,NYK,W (+29),1,37:01,3,7,.429,0,1,.000,1,2,.500,1,5,6,7,1,0,1,0,7,10.0,+26,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
3,3,2008-11-01,24-278,PHI,@,ATL,L (-7),1,43:48,6,13,.462,2,6,.333,2,2,1.000,0,4,4,4,3,1,6,2,16,10.2,-3,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
4,4,2008-11-03,24-280,PHI,,SAC,W (+34),1,23:37,4,5,.800,0,0,,2,3,.667,1,4,5,3,2,1,2,3,10,11.2,+21,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
5,5,2008-11-05,24-282,PHI,@,MIA,L (-23),1,22:46,1,7,.143,0,1,.000,0,0,,0,3,3,1,2,1,4,3,2,-3.4,-3,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
6,6,2008-11-06,24-283,PHI,@,ORL,L (-10),1,39:23,4,12,.333,1,3,.333,7,7,1.000,1,10,11,8,0,0,5,4,16,11.9,-2,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
7,7,2008-11-11,24-288,PHI,,UTA,L (-13),1,42:35,5,11,.455,1,2,.500,4,6,.667,2,8,10,5,2,1,4,1,15,14.1,-5,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
8,8,2008-11-12,24-289,PHI,@,TOR,W (+10),1,38:25,5,13,.385,1,3,.333,7,8,.875,0,9,9,10,0,0,1,1,18,18.8,+8,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
9,9,2008-11-14,24-291,PHI,@,IND,W (+2),1,38:00,2,12,.167,0,1,.000,6,8,.750,1,9,10,2,0,3,1,0,10,7.5,+3,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
10,10,2008-11-15,24-292,PHI,,OKC,W (+25),1,29:40,7,14,.500,1,2,.500,0,0,,1,4,5,5,1,0,0,0,15,14.4,+19,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
11,11,2008-11-19,24-296,PHI,@,MIN,L (-6),1,39:23,6,15,.400,1,6,.167,4,9,.444,4,5,9,6,1,0,3,3,17,12.2,-1,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
12,12,2008-11-21,24-298,PHI,,LAC,W (+1),1,36:30,5,12,.417,0,1,.000,4,7,.571,0,6,6,12,4,1,5,2,14,15.5,+12,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
13,13,2008-11-23,24-300,PHI,,GSW,W (+8),1,29:28,6,14,.429,2,3,.667,1,2,.500,1,4,5,3,0,1,2,5,15,7.9,+12,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
14,14,2008-11-24,24-301,PHI,@,CHA,L (-9),1,38:45,7,14,.500,1,3,.333,2,2,1.000,1,4,5,2,5,0,0,1,17,17.9,-1,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
15,15,2008-11-26,24-303,PHI,,ORL,L (-2),1,39:20,5,13,.385,1,4,.250,6,7,.857,1,5,6,7,2,0,4,3,17,13.4,0,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
16,16,2008-11-28,24-305,PHI,@,BOS,L (-24),1,33:32,4,8,.500,0,1,.000,1,4,.250,2,4,6,2,2,1,4,3,9,5.3,-24,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
17,17,2008-11-30,24-307,PHI,,CHI,L (-11),1,34:10,3,9,.333,0,1,.000,2,3,.667,1,2,3,6,0,0,4,4,8,2.4,-1,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
18,18,2008-12-02,24-309,PHI,@,CHI,W (+8),1,47:16,11,19,.579,0,1,.000,3,5,.600,2,7,9,5,1,1,5,2,25,18.2,+10,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
19,19,2008-12-03,24-310,PHI,,LAL,L (-12),1,42:03,9,16,.563,0,3,.000,1,3,.333,1,4,5,5,2,0,2,3,19,14.8,-5,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
20,20,2008-12-05,24-312,PHI,@,DET,W (+5),1,36:50,5,11,.455,1,2,.500,3,3,1.000,2,6,8,5,0,2,3,2,14,12.6,-4,2009,iguodan01,https://www.basketball-reference.com/players/i/iguodan01/gamelog/2009
