Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2015-10-28,24-304,MIL,,NYK,L (-25),0,10:06,2,5,.400,0,0,,0,0,,1,0,1,1,0,1,1,2,4,1.6,-1,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
2,,2015-10-30,24-306,MIL,,WAS,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
3,,2015-11-01,24-308,MIL,@,TOR,L (-19),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
4,,2015-11-02,24-309,MIL,@,BRK,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
5,,2015-11-04,24-311,MIL,,PHI,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
6,2,2015-11-06,24-313,MIL,@,NYK,W (+7),0,23:15,8,12,.667,0,0,,6,7,.857,4,1,5,1,1,3,1,1,22,21.9,+9,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
7,3,2015-11-07,24-314,MIL,,BRK,W (+8),0,8:44,2,5,.400,0,0,,0,0,,2,2,4,1,0,1,1,3,4,2.5,+4,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
8,4,2015-11-10,24-317,MIL,,BOS,L (-16),0,9:58,1,3,.333,0,0,,0,2,.000,2,1,3,0,1,0,2,1,2,-0.2,-22,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
9,5,2015-11-11,24-318,MIL,@,DEN,L (-1),0,15:24,2,5,.400,0,0,,0,0,,0,2,2,1,0,1,1,2,4,1.5,-7,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
10,6,2015-11-14,24-321,MIL,,CLE,W (+3),0,21:17,3,5,.600,0,0,,0,2,.000,4,2,6,1,1,3,1,3,6,7.9,-8,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
11,7,2015-11-17,24-324,MIL,@,WAS,L (-29),0,16:03,3,3,1.000,0,0,,4,6,.667,2,4,6,1,0,1,1,4,10,9.7,+2,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
12,8,2015-11-19,24-326,MIL,@,CLE,L (-15),0,10:58,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.1,-15,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
13,9,2015-11-21,24-328,MIL,@,IND,L (-37),0,12:09,2,3,.667,0,0,,2,2,1.000,0,3,3,1,0,0,1,3,6,4.1,-8,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
14,10,2015-11-23,24-330,MIL,,DET,W (+21),0,8:02,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,2,4,2,-3.0,-5,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
15,11,2015-11-25,24-332,MIL,,SAC,L (-11),0,19:17,6,8,.750,0,0,,3,5,.600,6,5,11,0,0,1,1,1,15,16.0,-5,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
16,12,2015-11-27,24-334,MIL,@,ORL,L (-24),0,19:56,1,2,.500,0,0,,6,6,1.000,0,3,3,0,1,1,3,2,8,5.8,-7,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
17,13,2015-11-29,24-336,MIL,@,CHO,L (-5),0,17:46,1,3,.333,0,0,,0,0,,4,1,5,0,0,1,3,2,2,0.3,-10,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
18,14,2015-11-30,24-337,MIL,,DEN,W (+18),0,23:18,4,7,.571,0,0,,0,4,.000,2,5,7,2,1,3,1,2,8,8.7,+15,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
19,15,2015-12-02,24-339,MIL,@,SAS,L (-25),0,13:11,2,2,1.000,0,0,,2,2,1.000,0,2,2,0,0,2,0,2,6,6.6,-7,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
20,16,2015-12-04,24-341,MIL,@,DET,L (-7),0,14:36,4,5,.800,0,0,,0,0,,3,0,3,0,1,3,2,3,8,8.1,-4,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
21,17,2015-12-05,24-342,MIL,,NYK,W (+15),0,14:46,1,6,.167,0,0,,2,6,.333,4,3,7,2,0,1,1,4,4,1.8,-5,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
22,18,2015-12-07,24-344,MIL,,POR,W (+2),0,20:51,3,3,1.000,0,0,,2,4,.500,1,6,7,1,0,4,0,0,8,12.3,-11,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
23,19,2015-12-09,24-346,MIL,,LAC,L (-14),0,11:40,4,7,.571,0,0,,0,0,,1,1,2,1,0,0,0,5,8,4.4,+11,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
24,20,2015-12-11,24-348,MIL,@,TOR,L (-7),0,15:01,3,4,.750,0,0,,0,0,,3,2,5,0,0,1,1,1,6,6.4,-4,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
25,21,2015-12-12,24-349,MIL,,GSW,W (+13),0,12:28,3,8,.375,0,0,,0,0,,0,2,2,2,0,0,1,5,6,0.6,-4,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
26,22,2015-12-15,24-352,MIL,@,LAL,L (-18),1,23:45,3,5,.600,0,0,,0,2,.000,1,3,4,1,0,4,2,3,6,4.8,-15,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
27,23,2015-12-16,24-353,MIL,@,LAC,L (-13),0,20:55,5,8,.625,0,0,,0,0,,4,4,8,0,0,3,1,0,10,11.5,+7,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
28,24,2015-12-18,24-355,MIL,@,GSW,L (-9),0,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,-4,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
29,25,2015-12-20,24-357,MIL,@,PHO,W (+6),0,22:02,3,4,.750,0,0,,2,4,.500,2,4,6,2,1,4,0,2,8,12.6,0,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
30,26,2015-12-23,24-360,MIL,,PHI,W (+13),0,21:08,1,4,.250,0,0,,0,0,,1,3,4,3,1,6,0,4,2,6.9,-2,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
31,27,2015-12-26,24-363,MIL,,TOR,L (-21),0,14:56,5,7,.714,0,0,,1,2,.500,0,1,1,0,0,3,1,0,11,9.1,-22,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
32,,2015-12-28,25-000,MIL,@,DAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
33,28,2015-12-29,25-001,MIL,@,OKC,L (-8),0,25:08,4,6,.667,0,0,,0,0,,1,5,6,3,0,5,1,3,8,11.0,+6,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
34,29,2015-12-31,25-003,MIL,@,IND,W (+4),0,13:34,2,4,.500,0,0,,0,2,.000,1,2,3,1,1,1,2,2,4,2.1,+11,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
35,30,2016-01-02,25-005,MIL,@,MIN,W (+10),0,21:01,6,7,.857,0,0,,3,6,.500,2,2,4,1,0,1,1,1,15,13.3,+8,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
36,31,2016-01-04,25-007,MIL,,SAS,L (-25),0,14:03,4,5,.800,0,0,,0,1,.000,0,4,4,1,0,1,1,3,8,6.1,-10,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
37,32,2016-01-05,25-008,MIL,@,CHI,L (-11),0,19:24,3,5,.600,0,0,,0,0,,4,0,4,1,0,2,1,3,6,6.4,-7,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
38,33,2016-01-08,25-011,MIL,,DAL,W (+1),0,20:17,8,9,.889,0,0,,0,0,,0,3,3,1,1,1,1,0,16,15.2,+8,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
39,34,2016-01-10,25-013,MIL,@,NYK,L (-12),0,8:47,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.8,-19,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
40,35,2016-01-12,25-015,MIL,,CHI,W (+5),0,21:55,4,8,.500,0,0,,0,2,.000,1,2,3,3,0,5,2,3,8,6.9,-12,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
41,36,2016-01-13,25-016,MIL,@,WAS,L (-5),0,17:00,2,4,.500,0,0,,0,0,,0,2,2,0,0,1,4,2,4,-1.5,-3,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
42,37,2016-01-15,25-018,MIL,,ATL,W (+7),0,31:13,3,6,.500,0,0,,4,8,.500,2,5,7,1,0,6,3,3,10,9.0,+16,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
43,38,2016-01-16,25-019,MIL,@,CHO,W (+13),0,18:39,2,4,.500,0,0,,2,4,.500,0,7,7,0,1,3,0,0,6,8.4,+5,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
44,39,2016-01-19,25-022,MIL,@,MIA,W (+12),0,15:10,4,5,.800,0,0,,1,1,1.000,1,0,1,0,0,2,2,4,9,5.6,+14,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
45,40,2016-01-22,25-025,MIL,@,HOU,L (-4),0,18:14,2,4,.500,0,0,,4,4,1.000,2,4,6,2,0,2,1,3,8,9.2,-3,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
46,41,2016-01-23,25-026,MIL,@,NOP,L (-17),0,14:48,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,1,2,4,2.2,-16,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
47,42,2016-01-26,25-029,MIL,,ORL,W (+7),0,16:39,1,3,.333,0,0,,0,0,,0,3,3,4,0,4,0,6,2,4.4,+10,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
48,,2016-01-28,25-031,MIL,@,MEM,L (-20),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
49,,2016-01-29,25-032,MIL,,MIA,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
50,,2016-02-01,25-035,MIL,@,SAC,L (-7),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
51,,2016-02-02,25-036,MIL,@,POR,L (-12),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
52,,2016-02-05,25-039,MIL,@,UTA,L (-3),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,hensojo01,https://www.basketball-reference.com/players/h/hensojo01/gamelog/2016
