Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2003-10-29,25-169,SAC,,CLE,W (+14),1,36:19,8,15,.533,0,0,,3,4,.750,1,1,2,7,0,0,1,0,19,16.2,+15,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
2,2,2003-10-31,25-171,SAC,,PHI,W (+11),1,40:13,7,17,.412,0,2,.000,2,2,1.000,0,2,2,5,3,1,2,1,16,12.3,+14,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
3,3,2003-11-01,25-172,SAC,@,DEN,L (-21),1,31:51,6,15,.400,0,1,.000,3,4,.750,2,1,3,10,2,0,0,2,15,16.4,-8,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
4,4,2003-11-05,25-176,SAC,@,MIN,W (+4),1,44:20,9,18,.500,2,3,.667,2,2,1.000,0,4,4,4,0,0,1,0,22,16.0,0,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
5,5,2003-11-07,25-178,SAC,@,NYK,L (-3),1,33:35,7,14,.500,3,5,.600,2,3,.667,1,1,2,3,0,0,1,1,19,13.3,+3,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
6,6,2003-11-09,25-180,SAC,@,BOS,L (-9),1,35:00,5,14,.357,3,7,.429,1,2,.500,2,3,5,11,0,0,1,1,14,14.4,-9,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
7,7,2003-11-11,25-182,SAC,,DET,W (+6),1,39:23,8,15,.533,1,2,.500,6,7,.857,1,1,2,5,1,0,3,2,23,17.0,+9,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
8,8,2003-11-13,25-184,SAC,@,POR,L (-2),1,45:20,10,22,.455,4,7,.571,2,2,1.000,1,5,6,15,3,1,2,1,26,28.6,-7,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
9,9,2003-11-14,25-185,SAC,,TOR,W (+30),1,22:38,4,9,.444,0,2,.000,0,0,,1,3,4,4,0,0,2,0,8,5.7,+12,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
10,10,2003-11-16,25-187,SAC,,GSW,W (+2),1,29:53,5,11,.455,3,4,.750,0,0,,2,1,3,4,2,1,1,0,13,13.5,+9,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
11,11,2003-11-19,25-190,SAC,@,UTA,W (+8),1,34:16,7,17,.412,2,8,.250,2,3,.667,2,0,2,4,0,0,3,2,18,8.9,+3,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
12,12,2003-11-21,25-192,SAC,,ORL,W (+30),1,27:05,7,10,.700,5,7,.714,2,2,1.000,0,2,2,5,0,0,1,2,21,19.1,+21,2004,bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01/gamelog/2004
