Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2007-10-30,21-211,GSW,,UTA,L (-21),1,26:50,1,4,.250,0,0,,2,2,1.000,3,6,9,1,1,2,5,6,4,1.2,-9,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
2,2,2007-11-02,21-214,GSW,@,LAC,L (-6),1,35:16,6,10,.600,0,0,,0,0,,3,4,7,1,0,3,2,4,12,9.9,-5,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
3,3,2007-11-03,21-215,GSW,@,UTA,L (-23),1,38:42,6,10,.600,0,0,,2,2,1.000,5,4,9,2,0,2,4,3,14,11.7,-16,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
4,4,2007-11-06,21-218,GSW,,CLE,L (-4),1,40:55,5,6,.833,0,0,,2,4,.500,1,10,11,4,0,0,4,3,12,10.3,-6,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
5,5,2007-11-08,21-220,GSW,,DAL,L (-5),1,42:56,4,6,.667,0,0,,1,4,.250,2,8,10,2,1,5,1,3,9,12.7,-13,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
6,6,2007-11-14,21-226,GSW,,DET,L (-7),1,37:08,6,13,.462,0,0,,6,6,1.000,8,3,11,2,0,1,1,5,18,16.9,-12,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
7,7,2007-11-16,21-228,GSW,,LAC,W (+17),1,33:41,9,12,.750,0,0,,5,6,.833,4,14,18,1,1,2,1,5,23,24.9,+15,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
8,8,2007-11-18,21-230,GSW,@,TOR,W (+6),1,34:01,6,9,.667,0,0,,3,6,.500,5,9,14,2,0,0,2,2,15,14.7,+2,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
9,9,2007-11-20,21-232,GSW,@,NYK,W (+26),1,24:12,3,5,.600,0,0,,0,2,.000,1,3,4,0,3,0,0,4,6,5.9,+16,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
10,10,2007-11-21,21-233,GSW,@,BOS,L (-23),1,19:31,2,4,.500,0,0,,0,0,,1,3,4,0,0,0,0,2,4,2.8,-8,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
11,11,2007-11-23,21-235,GSW,@,WAS,W (+8),1,32:14,5,7,.714,0,0,,0,0,,4,5,9,4,1,0,2,3,10,12.0,+14,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
12,12,2007-11-24,21-236,GSW,@,PHI,W (+2),1,37:32,5,9,.556,0,0,,1,1,1.000,5,9,14,1,1,3,2,5,11,12.7,-7,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
13,13,2007-11-26,21-238,GSW,,PHO,W (+15),0,13:20,1,2,.500,0,0,,0,0,,2,1,3,1,1,1,0,2,2,4.3,-1,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
14,14,2007-11-28,21-240,GSW,@,SAC,W (+7),0,30:56,6,7,.857,0,0,,1,2,.500,4,9,13,3,0,4,0,4,13,18.9,-1,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
15,15,2007-11-29,21-241,GSW,,HOU,W (+19),1,22:30,3,6,.500,0,0,,3,6,.500,2,8,10,2,0,1,0,3,9,9.5,+8,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
16,16,2007-12-02,21-244,GSW,@,SEA,W (+13),1,27:50,9,12,.750,0,0,,0,1,.000,5,11,16,1,0,3,0,5,18,20.4,+23,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
17,17,2007-12-03,21-245,GSW,,ORL,L (-6),0,29:37,4,6,.667,0,0,,3,3,1.000,3,12,15,1,0,1,0,3,11,14.3,+2,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
18,18,2007-12-05,21-247,GSW,,MIL,W (+30),1,21:21,4,8,.500,0,0,,0,0,,3,2,5,0,1,0,1,5,8,4.7,+11,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
19,19,2007-12-07,21-249,GSW,,MIA,W (+7),1,23:04,6,8,.750,0,0,,2,2,1.000,6,6,12,2,2,1,1,2,14,19.1,+5,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
20,20,2007-12-09,21-251,GSW,@,LAL,L (-10),1,12:58,2,4,.500,0,0,,3,4,.750,1,5,6,0,0,0,1,3,7,4.6,-2,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
21,21,2007-12-11,21-253,GSW,,SAS,W (+12),0,18:06,6,8,.750,0,0,,2,4,.500,3,4,7,1,0,1,1,1,14,13.3,+18,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
22,22,2007-12-12,21-254,GSW,@,POR,L (-10),0,23:55,3,6,.500,0,0,,0,0,,3,0,3,0,0,0,1,3,6,2.9,-13,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
23,23,2007-12-14,21-256,GSW,,LAL,W (+2),1,30:28,5,8,.625,0,0,,0,0,,5,6,11,1,3,2,3,2,10,13.0,+10,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
24,24,2007-12-16,21-258,GSW,@,DET,L (-22),1,22:37,4,6,.667,0,0,,1,3,.333,2,4,6,2,1,0,0,2,9,9.8,-4,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
25,25,2007-12-17,21-259,GSW,@,MEM,W (+8),1,13:19,5,6,.833,0,0,,2,4,.500,2,5,7,0,1,0,1,1,12,11.5,+1,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
26,26,2007-12-19,21-261,GSW,@,MIN,W (+13),1,36:08,4,8,.500,0,0,,0,0,,3,12,15,2,1,3,2,4,8,10.6,+8,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
27,27,2007-12-22,21-264,GSW,@,NJN,L (-5),1,30:12,7,11,.636,0,0,,2,2,1.000,6,4,10,1,0,0,1,3,16,15.0,-9,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
28,28,2007-12-23,21-265,GSW,@,CLE,W (+9),1,35:52,4,8,.500,0,0,,1,2,.500,1,11,12,1,2,2,4,4,9,7.1,+23,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
29,29,2007-12-26,21-268,GSW,,MIN,W (+4),1,29:01,3,5,.600,0,0,,0,0,,3,8,11,1,0,3,1,5,6,8.0,+7,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
30,30,2007-12-28,21-270,GSW,,DEN,L (-4),1,28:16,7,10,.700,0,0,,0,0,,4,8,12,0,0,2,1,4,14,13.8,-6,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
31,31,2007-12-30,21-272,GSW,@,DEN,W (+10),1,23:39,4,4,1.000,0,0,,0,2,.000,1,13,14,0,2,1,0,3,8,12.1,+4,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
32,32,2007-12-31,21-273,GSW,@,HOU,W (+17),1,25:20,3,4,.750,0,0,,0,0,,2,6,8,0,2,1,1,3,6,8.1,-1,2008,biedran01,https://www.basketball-reference.com/players/b/biedran01/gamelog/2008
