Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,,2018-11-05,24-232,CHI,@,NYK,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
12,,2018-11-07,24-234,CHI,@,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
13,,2018-11-10,24-237,CHI,,CLE,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
14,,2018-11-12,24-239,CHI,,DAL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
15,,2018-11-14,24-241,CHI,@,BOS,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
16,,2018-11-16,24-243,CHI,@,MIL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
17,,2018-11-17,24-244,CHI,,TOR,L (-39),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
18,,2018-11-21,24-248,CHI,,PHO,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
19,,2018-11-23,24-250,CHI,,MIA,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
20,,2018-11-24,24-251,CHI,@,MIN,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
21,,2018-11-26,24-253,CHI,,SAS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
22,,2018-11-28,24-255,CHI,@,MIL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
23,,2018-11-30,24-257,CHI,@,DET,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
24,,2018-12-01,24-258,CHI,@,HOU,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
25,,2018-12-04,24-261,CHI,@,IND,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
26,,2018-12-07,24-264,CHI,,OKC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
27,,2018-12-08,24-265,CHI,,BOS,L (-56),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
28,2,2018-12-10,24-267,CHI,,SAC,L (-19),0,20:04,3,5,.600,0,2,.000,3,3,1.000,1,2,3,6,0,0,2,4,9,8.6,-9,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
29,3,2018-12-13,24-270,CHI,@,ORL,L (-6),0,25:50,2,5,.400,1,1,1.000,0,0,,0,4,4,2,1,0,4,4,5,0.3,-2,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
30,4,2018-12-15,24-272,CHI,@,SAS,W (+5),1,35:45,11,19,.579,0,2,.000,2,2,1.000,0,7,7,3,2,0,1,5,24,18.3,+3,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
31,5,2018-12-17,24-274,CHI,@,OKC,L (-25),1,25:44,5,8,.625,0,0,,2,2,1.000,0,2,2,7,1,0,4,3,12,9.7,-17,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
32,6,2018-12-19,24-276,CHI,,BRK,L (-3),1,34:19,11,21,.524,1,3,.333,1,2,.500,0,4,4,6,2,0,3,5,24,15.7,+1,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
33,7,2018-12-21,24-278,CHI,,ORL,W (+10),1,35:50,4,14,.286,0,1,.000,4,6,.667,0,8,8,7,2,0,2,3,12,9.1,-4,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
34,8,2018-12-23,24-280,CHI,@,CLE,W (+20),1,28:41,8,11,.727,0,0,,1,1,1.000,0,8,8,7,1,1,1,5,17,18.5,+21,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
35,9,2018-12-26,24-283,CHI,,MIN,L (-25),1,30:17,4,11,.364,0,0,,1,3,.333,0,8,8,7,2,0,2,6,9,7.0,-23,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
36,10,2018-12-28,24-285,CHI,@,WAS,W (+9),1,32:05,5,12,.417,1,2,.500,2,2,1.000,0,4,4,8,2,0,1,1,13,14.0,+1,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
37,11,2018-12-30,24-287,CHI,@,TOR,L (-6),1,31:18,6,15,.400,0,1,.000,2,2,1.000,0,3,3,8,0,2,4,3,14,8.6,+9,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
38,12,2019-01-02,24-290,CHI,,ORL,L (-28),1,27:44,6,12,.500,1,2,.500,1,1,1.000,0,3,3,4,3,0,2,2,14,11.9,-19,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
39,13,2019-01-04,24-292,CHI,,IND,L (-3),1,40:16,6,9,.667,2,2,1.000,2,3,.667,0,5,5,17,0,0,2,4,16,21.5,+6,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
40,14,2019-01-06,24-294,CHI,,BRK,L (-17),1,33:31,8,15,.533,0,2,.000,0,0,,0,4,4,7,2,0,3,2,16,13.0,-17,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
41,15,2019-01-09,24-297,CHI,@,POR,L (-12),1,29:43,7,14,.500,1,2,.500,0,0,,0,5,5,7,2,0,3,4,15,11.8,-8,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
42,16,2019-01-11,24-299,CHI,@,GSW,L (-37),1,24:34,2,9,.222,1,1,1.000,1,2,.500,0,0,0,5,2,0,1,5,6,2.6,-45,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
43,17,2019-01-12,24-300,CHI,@,UTA,L (-8),1,30:22,4,11,.364,0,1,.000,2,2,1.000,1,4,5,8,3,2,2,6,10,11.4,-9,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
44,18,2019-01-15,24-303,CHI,@,LAL,L (-7),1,31:09,2,7,.286,0,1,.000,2,2,1.000,0,5,5,4,1,2,5,3,6,2.4,-25,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
45,19,2019-01-17,24-305,CHI,@,DEN,L (-30),1,29:52,3,8,.375,0,0,,0,0,,1,0,1,3,0,0,1,2,6,2.6,-26,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
46,20,2019-01-19,24-307,CHI,,MIA,L (-14),1,32:59,3,14,.214,0,1,.000,0,0,,1,3,4,5,2,0,2,1,6,2.1,-17,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
47,21,2019-01-21,24-309,CHI,@,CLE,W (+16),1,31:13,5,10,.500,1,1,1.000,2,2,1.000,0,4,4,9,2,0,3,4,13,12.9,+18,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
48,22,2019-01-23,24-311,CHI,,ATL,L (-20),1,26:46,5,11,.455,1,2,.500,5,6,.833,1,3,4,3,2,2,1,2,16,15.2,-20,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
49,23,2019-01-25,24-313,CHI,,LAC,L (-5),1,36:27,4,14,.286,1,5,.200,0,0,,0,4,4,10,4,0,3,5,9,8.0,0,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
50,24,2019-01-27,24-315,CHI,,CLE,L (-3),1,34:38,2,8,.250,0,3,.000,2,2,1.000,0,2,2,7,2,2,2,5,6,6.1,+8,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
51,25,2019-01-29,24-317,CHI,@,BRK,L (-5),1,31:14,6,10,.600,2,3,.667,1,1,1.000,0,3,3,0,0,2,6,4,15,5.1,-1,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
52,26,2019-01-30,24-318,CHI,@,MIA,W (+16),1,34:23,6,14,.429,1,1,1.000,1,3,.333,1,4,5,8,2,0,3,3,14,11.1,+9,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
53,27,2019-02-02,24-321,CHI,@,CHO,L (-7),1,31:38,3,11,.273,1,2,.500,0,0,,1,4,5,4,0,1,1,4,7,3.3,-8,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
54,28,2019-02-06,24-325,CHI,,NOP,L (-5),1,37:31,8,13,.615,2,4,.500,0,0,,1,3,4,8,2,1,2,3,18,18.8,-8,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
55,29,2019-02-08,24-327,CHI,@,BRK,W (+19),1,30:22,5,11,.455,1,5,.200,3,4,.750,0,5,5,9,0,1,3,4,14,11.8,+12,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
56,30,2019-02-09,24-328,CHI,,WAS,L (-9),1,32:33,3,6,.500,0,1,.000,0,0,,1,3,4,8,3,0,4,1,6,8.8,-10,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
57,31,2019-02-11,24-330,CHI,,MIL,L (-13),1,32:46,1,9,.111,0,1,.000,0,0,,0,4,4,6,1,0,2,4,2,-1.1,+1,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
58,,2019-02-13,24-332,CHI,,MEM,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
59,32,2019-02-22,24-341,CHI,@,ORL,W (+1),1,29:15,4,9,.444,0,2,.000,0,0,,0,3,3,2,1,0,2,1,8,4.2,-1,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
60,33,2019-02-23,24-342,CHI,,BOS,W (+10),1,24:33,2,7,.286,0,2,.000,0,0,,1,0,1,5,0,0,1,3,4,1.9,-2,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
61,,2019-02-25,24-344,CHI,,MIL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
62,34,2019-02-27,24-346,CHI,@,MEM,W (+2),1,30:35,3,8,.375,1,1,1.000,2,2,1.000,1,3,4,4,3,0,0,5,9,10.0,+8,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
63,35,2019-03-01,24-348,CHI,@,ATL,W (+7),1,31:46,5,11,.455,3,5,.600,1,2,.500,0,1,1,6,0,1,1,6,14,9.7,-12,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
64,36,2019-03-03,24-350,CHI,,ATL,L (-5),1,27:15,6,12,.500,2,5,.400,0,0,,1,3,4,6,2,0,3,3,14,11.6,-4,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
65,37,2019-03-05,24-352,CHI,@,IND,L (-9),1,31:08,2,9,.222,0,2,.000,1,1,1.000,1,6,7,5,2,0,1,5,5,4.5,-2,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
66,38,2019-03-06,24-353,CHI,,PHI,W (+1),1,25:50,2,6,.333,0,2,.000,0,0,,1,4,5,4,2,1,0,2,4,7.2,+3,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
67,39,2019-03-08,24-355,CHI,,DET,L (-8),1,28:23,3,6,.500,1,2,.500,0,0,,1,6,7,3,2,1,2,3,7,8.1,+5,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
68,40,2019-03-10,24-357,CHI,@,DET,L (-23),1,22:07,3,7,.429,1,2,.500,0,0,,0,0,0,4,2,0,2,3,7,4.9,-13,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
69,41,2019-03-12,24-359,CHI,,LAL,L (-16),1,32:57,8,16,.500,2,3,.667,0,0,,2,5,7,9,2,0,4,4,18,15.6,-5,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
70,42,2019-03-15,24-362,CHI,@,LAC,L (-7),1,27:56,5,12,.417,1,2,.500,3,3,1.000,1,4,5,3,0,1,4,6,14,5.9,-5,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
71,43,2019-03-17,24-364,CHI,@,SAC,L (-27),1,19:58,4,11,.364,0,3,.000,0,0,,0,1,1,5,1,0,2,1,8,4.3,-19,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
72,44,2019-03-18,25-000,CHI,@,PHO,W (+15),1,27:05,5,10,.500,1,2,.500,3,3,1.000,0,2,2,3,2,1,1,4,14,11.8,+13,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
73,45,2019-03-20,25-002,CHI,,WAS,W (+6),1,39:18,10,24,.417,3,7,.429,3,5,.600,0,6,6,13,2,0,2,5,26,21.3,+9,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
74,46,2019-03-23,25-005,CHI,,UTA,L (-31),1,21:26,1,8,.125,0,0,,2,2,1.000,1,2,3,5,1,0,0,2,4,3.8,-17,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
75,,2019-03-26,25-008,CHI,@,TOR,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
76,,2019-03-27,25-009,CHI,,POR,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
77,,2019-03-30,25-012,CHI,,TOR,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
78,,2019-04-01,25-014,CHI,@,NYK,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
79,,2019-04-03,25-016,CHI,@,WAS,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
80,,2019-04-06,25-019,CHI,,PHI,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
81,,2019-04-09,25-022,CHI,,NYK,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
82,,2019-04-10,25-023,CHI,@,PHI,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2019,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2019
