Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
11,11,1993-11-23,21-361,LAL,@,ATL,L (-9),1,41:00,10,20,.500,2,7,.286,0,2,.000,1,0,1,5,0,0,4,0,22,11.4,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
12,12,1993-11-24,21-362,LAL,@,CHH,L (-17),1,23:00,5,8,.625,3,4,.750,0,0,,0,1,1,5,1,0,1,3,13,12.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
13,13,1993-11-26,21-364,LAL,@,IND,W (+2),1,26:00,4,8,.500,0,3,.000,0,0,,0,1,1,4,0,0,0,4,8,5.5,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
14,14,1993-11-27,22-000,LAL,@,MIN,W (+4),1,27:00,4,8,.500,0,3,.000,0,0,,0,3,3,5,1,0,2,1,8,7.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
15,15,1993-12-01,22-004,LAL,,DAL,W (+33),1,32:00,5,9,.556,3,5,.600,0,0,,0,0,0,11,1,0,3,1,13,14.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
16,16,1993-12-04,22-007,LAL,@,LAC,W (+7),1,21:00,2,6,.333,0,4,.000,0,0,,0,6,6,7,0,0,0,1,4,6.9,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
17,17,1993-12-05,22-008,LAL,,MIN,L (-2),1,25:00,2,7,.286,0,2,.000,2,4,.500,1,2,3,7,0,0,0,3,6,6.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
18,18,1993-12-07,22-010,LAL,,NYK,L (-14),1,41:00,3,9,.333,0,1,.000,3,5,.600,0,3,3,5,0,0,1,3,9,5.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
19,19,1993-12-10,22-013,LAL,@,POR,L (-18),1,35:00,2,15,.133,0,4,.000,2,2,1.000,3,2,5,3,1,0,2,3,6,-1.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
20,20,1993-12-12,22-015,LAL,,GSW,L (-3),1,41:00,6,14,.429,0,3,.000,4,4,1.000,0,1,1,6,0,0,2,2,16,10.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
21,21,1993-12-14,22-017,LAL,@,DET,W (+6),1,34:00,6,13,.462,2,4,.500,2,2,1.000,0,5,5,3,2,0,0,3,16,13.7,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
22,22,1993-12-16,22-019,LAL,@,NYK,L (-23),1,37:00,5,16,.313,1,5,.200,2,2,1.000,1,2,3,7,0,0,1,2,13,8.2,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
23,23,1993-12-17,22-020,LAL,@,PHI,L (-11),1,30:00,3,13,.231,0,3,.000,1,1,1.000,1,1,2,8,1,0,2,1,7,4.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
24,24,1993-12-19,22-022,LAL,@,CLE,L (-30),1,40:00,6,12,.500,1,2,.500,3,4,.750,1,1,2,8,2,0,1,1,16,16.8,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
25,25,1993-12-21,22-024,LAL,@,ORL,W (+7),1,27:00,2,6,.333,1,3,.333,0,0,,1,1,2,5,2,0,0,1,5,7.7,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
26,26,1993-12-23,22-026,LAL,@,MIA,L (-17),1,27:00,6,12,.500,0,0,,4,5,.800,0,1,1,4,2,0,0,1,16,14.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
27,27,1993-12-26,22-029,LAL,,HOU,L (-25),1,25:00,4,7,.571,2,4,.500,0,0,,0,2,2,3,1,0,1,3,10,8.2,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
28,28,1993-12-29,22-032,LAL,,SEA,L (-7),1,18:00,1,7,.143,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-1.5,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
29,29,1994-01-02,22-036,LAL,@,SAS,L (-2),1,19:00,0,4,.000,0,0,,0,0,,1,0,1,1,0,0,2,2,0,-4.2,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
30,30,1994-01-04,22-038,LAL,@,DEN,W (+1),1,23:00,6,10,.600,2,3,.667,5,6,.833,0,0,0,1,0,0,1,2,19,12.9,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
31,31,1994-01-05,22-039,LAL,@,SAC,L (-8),1,26:00,3,7,.429,1,2,.500,0,0,,0,2,2,3,1,0,2,1,7,4.6,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
32,32,1994-01-07,22-041,LAL,,LAC,W (+3),1,22:00,4,11,.364,1,3,.333,4,4,1.000,0,2,2,4,0,0,1,0,13,9.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
33,33,1994-01-09,22-043,LAL,,SAS,L (-6),1,27:00,6,13,.462,3,6,.500,4,6,.667,0,1,1,0,0,0,2,1,19,9.4,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
34,34,1994-01-11,22-045,LAL,,GSW,L (-5),1,37:00,9,15,.600,5,7,.714,5,6,.833,0,0,0,7,1,1,3,4,28,22.7,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
35,35,1994-01-14,22-048,LAL,,CHH,L (-8),1,34:00,12,21,.571,5,8,.625,0,0,,1,1,2,6,2,0,3,1,29,22.9,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
36,36,1994-01-18,22-052,LAL,@,SEA,L (-15),1,33:00,8,19,.421,3,8,.375,3,5,.600,0,1,1,2,0,1,3,1,22,10.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
37,37,1994-01-20,22-054,LAL,,PHO,W (+5),1,32:00,4,10,.400,3,6,.500,0,2,.000,0,3,3,6,1,0,2,1,11,8.5,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
38,38,1994-01-21,22-055,LAL,@,POR,L (-18),1,42:00,6,15,.400,1,6,.167,0,0,,0,3,3,10,1,1,3,3,13,10.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
39,39,1994-01-26,22-060,LAL,,IND,W (+4),1,33:00,6,15,.400,3,6,.500,1,2,.500,0,2,2,5,0,0,2,2,16,8.8,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
40,40,1994-01-28,22-062,LAL,,DET,W (+8),1,41:00,7,14,.500,2,7,.286,0,0,,0,5,5,8,3,0,2,2,16,16.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
41,41,1994-02-01,22-066,LAL,@,SAS,L (-15),1,36:00,9,18,.500,2,7,.286,4,4,1.000,1,4,5,4,1,0,1,2,24,18.9,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
42,42,1994-02-03,22-068,LAL,@,HOU,L (-11),1,34:00,3,18,.167,0,6,.000,4,4,1.000,1,1,2,2,0,0,0,5,10,-1.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
43,43,1994-02-04,22-069,LAL,@,DAL,W (+8),1,42:00,5,18,.278,1,4,.250,1,1,1.000,0,4,4,4,2,0,2,3,12,4.2,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
44,44,1994-02-06,22-071,LAL,,UTA,W (+17),1,4:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,4,0,-2.6,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
45,45,1994-02-08,22-073,LAL,,PHO,W (+3),1,20:00,2,7,.286,1,3,.333,3,4,.750,0,1,1,4,0,0,1,0,8,5.6,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
46,46,1994-02-09,22-074,LAL,@,UTA,W (+7),1,37:00,2,10,.200,0,4,.000,6,6,1.000,0,4,4,6,1,0,3,2,10,6.4,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
47,47,1994-02-10,22-075,LAL,,SAC,L (-19),1,44:00,6,19,.316,0,6,.000,5,6,.833,2,1,3,5,1,0,4,2,17,7.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
48,48,1994-02-15,22-080,LAL,,LAC,L (-11),1,35:00,3,7,.429,0,0,,0,2,.000,1,4,5,8,2,0,4,0,6,7.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
49,49,1994-02-18,22-083,LAL,@,PHO,L (-17),1,37:00,7,14,.500,0,2,.000,1,2,.500,0,2,2,4,0,0,4,3,15,5.8,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
50,50,1994-02-20,22-085,LAL,,PHI,W (+12),1,32:00,8,20,.400,0,8,.000,3,3,1.000,0,7,7,6,4,0,1,0,19,17.5,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
51,51,1994-02-24,22-089,LAL,@,SAC,L (-12),1,40:00,4,16,.250,0,3,.000,2,2,1.000,0,1,1,5,1,0,3,0,10,2.2,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
52,52,1994-02-25,22-090,LAL,,SAS,L (-16),1,42:00,7,20,.350,2,5,.400,2,2,1.000,0,0,0,7,2,0,0,3,18,12.5,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
53,53,1994-02-27,22-092,LAL,,BOS,W (+3),1,35:00,4,12,.333,1,2,.500,0,0,,1,3,4,12,1,0,1,2,9,11.4,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
54,54,1994-03-02,22-095,LAL,@,CHI,W (+8),1,41:00,7,18,.389,5,7,.714,3,4,.750,1,3,4,4,0,0,1,1,22,14.8,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
55,55,1994-03-04,22-097,LAL,@,BOS,L (-10),1,38:00,9,18,.500,6,9,.667,2,3,.667,2,4,6,5,2,0,3,2,26,20.9,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
56,56,1994-03-05,22-098,LAL,@,WSB,L (-6),1,42:00,7,18,.389,2,7,.286,3,4,.750,0,3,3,7,3,0,3,3,19,13.4,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
57,57,1994-03-07,22-100,LAL,@,MIL,W (+22),1,34:00,5,11,.455,1,5,.200,5,5,1.000,1,4,5,5,2,0,0,1,16,17.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
58,58,1994-03-10,22-103,LAL,,DAL,W (+5),1,34:00,6,11,.545,4,5,.800,1,2,.500,0,3,3,7,1,0,2,0,17,16.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
59,59,1994-03-13,22-106,LAL,@,MIN,W (+2),1,27:00,3,7,.429,1,1,1.000,3,4,.750,0,1,1,4,2,0,1,0,10,10.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
60,60,1994-03-14,22-107,LAL,@,UTA,L (-1),1,36:00,7,15,.467,5,10,.500,3,4,.750,0,2,2,0,0,0,2,1,22,12.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
61,61,1994-03-16,22-109,LAL,,WSB,W (+35),1,34:00,6,13,.462,3,6,.500,6,6,1.000,2,3,5,11,0,0,2,0,21,22.3,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
62,62,1994-03-18,22-111,LAL,,NJN,L (-12),1,34:00,4,15,.267,0,6,.000,0,0,,0,3,3,10,0,0,0,2,8,6.2,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
63,63,1994-03-20,22-113,LAL,,ORL,W (+6),1,44:00,8,19,.421,1,6,.167,2,4,.500,1,9,10,7,1,0,1,4,19,14.8,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
64,64,1994-03-21,22-114,LAL,,MIA,W (+3),1,37:00,1,11,.091,0,3,.000,0,0,,1,4,5,6,0,0,4,2,2,-4.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
65,65,1994-03-23,22-116,LAL,@,DAL,W (+3),1,37:00,10,14,.714,6,8,.750,2,3,.667,1,1,2,6,0,0,2,1,28,24.6,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
66,66,1994-03-24,22-117,LAL,@,HOU,L (-6),1,34:00,8,21,.381,1,5,.200,0,0,,2,3,5,6,0,0,1,3,17,9.8,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
67,67,1994-03-27,22-120,LAL,,MIL,W (+9),1,33:00,2,11,.182,2,6,.333,3,6,.500,0,1,1,8,2,1,2,2,9,6.7,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
68,68,1994-03-29,22-122,LAL,,MIN,W (+2),1,33:00,5,14,.357,1,3,.333,2,4,.500,2,2,4,8,3,0,3,2,13,11.2,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
69,69,1994-03-31,22-124,LAL,@,SEA,L (-3),1,33:00,5,9,.556,3,4,.750,0,0,,0,2,2,4,0,0,3,6,13,6.7,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
70,70,1994-04-01,22-125,LAL,,HOU,W (+13),1,39:00,11,21,.524,5,9,.556,4,4,1.000,0,3,3,4,1,1,2,4,31,22.5,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
71,71,1994-04-03,22-127,LAL,,ATL,W (+13),1,37:00,6,14,.429,4,7,.571,0,0,,1,3,4,10,3,0,3,1,16,16.8,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
72,72,1994-04-06,22-130,LAL,,SAC,W (+5),1,34:00,5,14,.357,1,7,.143,0,0,,0,2,2,8,0,0,0,2,11,8.6,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
73,73,1994-04-08,22-132,LAL,,DEN,L (-13),1,41:00,5,15,.333,0,6,.000,0,0,,1,2,3,10,3,0,4,2,10,8.0,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
74,74,1994-04-09,22-133,LAL,@,POR,L (-8),1,26:00,2,8,.250,0,1,.000,1,2,.500,1,2,3,4,0,0,2,1,5,1.5,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
75,75,1994-04-12,22-136,LAL,,GSW,L (-11),1,39:00,7,20,.350,1,6,.167,0,0,,0,0,0,11,1,2,2,5,15,9.9,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
76,76,1994-04-13,22-137,LAL,@,PHO,L (-29),1,28:00,4,8,.500,1,2,.500,2,2,1.000,0,1,1,8,2,0,1,2,11,13.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
77,77,1994-04-15,22-139,LAL,,POR,L (-5),1,44:00,6,12,.500,2,5,.400,2,2,1.000,1,4,5,10,2,0,3,2,16,17.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
78,78,1994-04-16,22-140,LAL,@,LAC,L (-5),1,36:00,10,23,.435,5,10,.500,3,3,1.000,0,3,3,5,2,1,1,1,28,21.6,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
79,79,1994-04-20,22-144,LAL,,SEA,L (-22),0,6:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,3,1,0,-4.1,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
80,80,1994-04-23,22-147,LAL,@,GSW,L (-35),1,24:00,1,8,.125,0,3,.000,0,0,,0,3,3,5,0,0,1,2,2,-0.6,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
81,81,1994-04-24,22-148,LAL,,UTA,L (-6),1,41:00,7,22,.318,3,16,.188,4,5,.800,1,3,4,9,2,0,6,3,21,10.7,1994,vanexni01,https://www.basketball-reference.com/players/v/vanexni01/gamelog/1994
