Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2014-10-29,31-253,CHO,,MIL,W (+2),0,12:31,2,5,.400,0,0,,0,0,,1,1,2,0,0,1,0,2,4,2.2,-3,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
2,2,2014-11-01,31-256,CHO,,MEM,L (-2),0,10:20,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,3,2,0,-4.2,-7,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
3,3,2014-11-02,31-257,CHO,@,NYK,L (-3),0,14:31,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,4,2,1.1,+5,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
4,4,2014-11-04,31-259,CHO,@,NOP,L (-9),0,13:45,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,0,1,1,5,2.2,+8,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
5,5,2014-11-05,31-260,CHO,,MIA,W (+7),0,16:01,2,5,.400,0,0,,0,0,,0,1,1,0,1,1,0,2,4,2.5,+6,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
6,6,2014-11-07,31-262,CHO,,ATL,W (+3),0,15:53,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,3,4,1.8,-1,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
7,7,2014-11-09,31-264,CHO,@,LAL,L (-15),0,11:32,2,3,.667,0,0,,0,0,,1,1,2,0,1,0,0,1,4,4.3,+6,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
8,8,2014-11-11,31-266,CHO,@,POR,L (-2),0,12:11,0,1,.000,0,0,,0,0,,1,0,1,0,0,1,1,1,0,-0.7,+2,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
9,,2014-11-14,31-269,CHO,@,PHO,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
10,9,2014-11-15,31-270,CHO,@,GSW,L (-25),0,14:04,0,2,.000,0,0,,0,2,.000,1,1,2,0,0,0,0,1,0,-1.6,-2,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
11,10,2014-11-17,31-272,CHO,,DAL,L (-27),0,6:30,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
12,11,2014-11-19,31-274,CHO,@,IND,L (-2),0,13:32,4,6,.667,0,0,,0,0,,4,2,6,0,0,1,0,1,8,9.1,-5,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
13,12,2014-11-21,31-276,CHO,,ORL,L (-5),0,3:53,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-8,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
14,,2014-11-23,31-278,CHO,@,MIA,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
15,,2014-11-24,31-279,CHO,,LAC,L (-21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
16,13,2014-11-26,31-281,CHO,,POR,L (-8),0,7:41,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-7,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
17,14,2014-11-28,31-283,CHO,,GSW,L (-5),0,15:11,1,4,.250,0,0,,0,0,,1,1,2,1,1,0,0,0,2,2.3,-1,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
18,15,2014-11-29,31-284,CHO,@,ATL,L (-30),0,18:01,1,7,.143,0,0,,0,0,,0,3,3,0,0,0,0,0,2,-1.6,0,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
19,,2014-12-03,31-288,CHO,,CHI,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
20,,2014-12-05,31-290,CHO,,NYK,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
21,,2014-12-10,31-295,CHO,,BOS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
22,,2014-12-12,31-297,CHO,@,MEM,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
23,,2014-12-13,31-298,CHO,,BRK,L (-27),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
24,,2014-12-15,31-300,CHO,@,CLE,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
25,,2014-12-17,31-302,CHO,,PHO,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,maxieja01,https://www.basketball-reference.com/players/m/maxieja01/gamelog/2015
