Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,25-219,CHI,@,CHO,L (-1),0,23:50,5,7,.714,0,2,.000,1,2,.500,1,1,2,2,4,0,0,3,11,12.9,-8,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
2,2,2019-10-25,25-221,CHI,@,MEM,W (+8),0,26:03,3,9,.333,0,2,.000,0,0,,0,2,2,4,3,2,1,3,6,6.5,0,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
3,3,2019-10-26,25-222,CHI,,TOR,L (-24),0,18:50,0,5,.000,0,2,.000,1,2,.500,0,5,5,1,1,0,1,4,1,-2.3,-4,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
4,4,2019-10-28,25-224,CHI,@,NYK,L (-7),0,17:46,1,6,.167,0,1,.000,1,2,.500,0,1,1,1,1,0,0,2,3,0.0,+2,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
5,5,2019-10-30,25-226,CHI,@,CLE,L (-6),0,20:45,4,7,.571,0,2,.000,0,0,,1,0,1,4,2,0,0,4,8,8.6,-11,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
6,6,2019-11-01,25-228,CHI,,DET,W (+6),0,18:59,1,4,.250,0,1,.000,0,0,,1,3,4,3,0,0,0,3,2,2.1,+1,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
7,7,2019-11-03,25-230,CHI,@,IND,L (-13),0,19:02,1,4,.250,0,1,.000,0,0,,0,2,2,6,1,0,2,1,2,3.0,-2,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
8,8,2019-11-05,25-232,CHI,,LAL,L (-6),0,17:16,4,5,.800,1,1,1.000,0,0,,1,1,2,2,3,0,1,5,9,9.5,-7,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
9,9,2019-11-06,25-233,CHI,@,ATL,W (+20),0,20:10,6,8,.750,0,0,,1,1,1.000,1,2,3,1,5,0,2,3,13,13.6,+7,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
10,10,2019-11-09,25-236,CHI,,HOU,L (-23),0,21:41,3,9,.333,1,3,.333,0,0,,1,2,3,4,2,0,0,1,7,7.6,-5,2020,dunnkr01,https://www.basketball-reference.com/players/d/dunnkr01/gamelog/2020
