Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2008-10-29,32-040,PHO,@,SAS,W (+5),1,31:08,1,4,.250,0,2,.000,2,2,1.000,0,0,0,1,1,0,0,2,4,2.5,+17,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
2,2,2008-10-30,32-041,PHO,,NOH,L (-13),1,27:02,5,9,.556,3,4,.750,0,0,,0,1,1,0,0,0,1,4,13,6.4,-12,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
3,3,2008-11-01,32-043,PHO,,POR,W (+11),1,32:30,6,12,.500,1,3,.333,0,0,,0,0,0,0,2,0,2,3,13,5.8,+21,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
4,4,2008-11-04,32-046,PHO,@,NJN,W (+28),1,27:55,7,9,.778,6,6,1.000,2,3,.667,0,2,2,2,0,1,1,0,22,19.8,+11,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
5,5,2008-11-05,32-047,PHO,@,IND,W (+10),1,37:25,4,8,.500,1,4,.250,1,2,.500,0,3,3,3,1,0,1,3,10,7.4,+5,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
6,6,2008-11-07,32-049,PHO,@,CHI,L (-17),1,29:40,3,6,.500,2,2,1.000,1,2,.500,0,5,5,0,0,0,1,3,9,4.9,-6,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
7,7,2008-11-08,32-050,PHO,@,MIL,W (+8),1,29:23,2,8,.250,2,7,.286,2,2,1.000,0,1,1,1,0,0,4,2,8,-0.6,+10,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
8,8,2008-11-10,32-052,PHO,,MEM,W (+5),1,34:03,4,8,.500,2,5,.400,0,0,,0,4,4,1,0,0,1,0,10,6.9,+12,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
9,9,2008-11-12,32-054,PHO,,HOU,L (-12),1,23:16,0,6,.000,0,2,.000,0,0,,0,3,3,1,0,0,0,0,0,-2.6,-10,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
10,10,2008-11-14,32-056,PHO,@,SAC,W (+2),1,48:45,5,12,.417,3,7,.429,1,2,.500,2,5,7,3,1,0,1,4,14,10.6,+2,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
11,11,2008-11-16,32-058,PHO,,DET,W (+18),1,35:29,2,6,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,4,5,1.0,+16,2009,bellra01,https://www.basketball-reference.com/players/b/bellra01/gamelog/2009
