Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2017-10-18,24-311,MIL,@,BOS,W (+8),1,41:26,6,10,.600,3,5,.600,4,4,1.000,0,1,1,4,0,0,2,2,19,14.7,+10,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
2,2,2017-10-20,24-313,MIL,,CLE,L (-19),1,33:37,6,12,.500,4,9,.444,0,0,,0,2,2,1,2,0,2,2,16,10.5,-15,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
3,3,2017-10-21,24-314,MIL,,POR,W (+3),1,30:59,5,14,.357,0,0,,3,4,.750,1,0,1,6,4,0,2,2,13,10.9,+5,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
4,,2017-10-23,24-316,MIL,,CHO,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
5,4,2017-10-26,24-319,MIL,,BOS,L (-7),1,35:43,6,12,.500,2,4,.500,1,3,.333,0,6,6,5,0,1,2,3,15,11.0,+3,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
6,5,2017-10-29,24-322,MIL,@,ATL,W (+11),1,30:30,5,11,.455,2,5,.400,4,4,1.000,0,1,1,4,2,0,2,4,16,11.8,+6,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
7,6,2017-10-31,24-324,MIL,,OKC,L (-19),1,20:30,1,4,.250,0,3,.000,2,2,1.000,0,1,1,4,1,0,0,3,4,4.5,-7,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
8,7,2017-11-01,24-325,MIL,@,CHO,L (-5),1,37:28,9,16,.563,2,4,.500,0,1,.000,0,1,1,4,0,0,1,5,20,12.1,-16,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
9,8,2017-11-03,24-327,MIL,@,DET,L (-9),1,34:30,8,13,.615,3,5,.600,2,2,1.000,0,2,2,10,0,0,3,3,21,18.5,+4,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
10,9,2017-11-07,24-331,MIL,@,CLE,L (-5),1,37:22,9,17,.529,4,6,.667,0,0,,1,4,5,6,0,1,2,3,22,17.3,+1,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
11,10,2017-11-10,24-334,MIL,@,SAS,W (+7),0,33:38,4,8,.500,1,2,.500,0,0,,0,7,7,1,2,0,2,1,9,7.4,-2,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
12,11,2017-11-11,24-335,MIL,,LAL,W (+8),0,33:02,5,11,.455,2,4,.500,4,4,1.000,0,3,3,3,3,0,2,3,16,13.1,+23,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
13,12,2017-11-13,24-337,MIL,,MEM,W (+7),0,19:28,4,11,.364,2,4,.500,0,0,,0,1,1,1,0,0,1,3,10,2.7,-7,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
14,13,2017-11-15,24-339,MIL,,DET,W (+4),0,26:25,4,9,.444,2,3,.667,2,2,1.000,0,6,6,3,1,1,4,0,12,8.9,-9,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
15,14,2017-11-18,24-342,MIL,@,DAL,L (-32),0,32:25,2,9,.222,0,3,.000,0,0,,0,1,1,1,1,0,1,2,4,-1.3,-22,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
16,15,2017-11-20,24-344,MIL,,WAS,L (-11),0,17:42,0,4,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-1.5,-12,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
17,16,2017-11-22,24-346,MIL,@,PHO,W (+6),1,41:15,6,14,.429,1,5,.200,1,1,1.000,0,3,3,3,2,0,1,4,14,9.0,+5,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
18,17,2017-11-25,24-349,MIL,@,UTA,L (-13),0,26:47,7,9,.778,4,5,.800,1,1,1.000,0,4,4,2,0,1,2,1,19,16.4,-20,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
19,18,2017-11-28,24-352,MIL,@,SAC,W (+25),0,19:48,4,7,.571,0,1,.000,1,2,.500,0,6,6,5,1,0,1,0,9,10.6,+3,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
20,19,2017-11-30,24-354,MIL,@,POR,W (+12),0,22:04,5,10,.500,0,3,.000,0,0,,0,1,1,4,0,0,1,4,10,5.5,-1,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
21,20,2017-12-02,24-356,MIL,,SAC,W (+5),0,25:16,5,12,.417,0,2,.000,3,3,1.000,1,0,1,5,0,0,0,1,13,10.4,-11,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
22,21,2017-12-04,24-358,MIL,@,BOS,L (-11),0,31:58,4,13,.308,2,6,.333,0,0,,0,2,2,3,0,0,1,2,10,3.4,-9,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
23,22,2017-12-06,24-360,MIL,,DET,W (+4),0,25:34,5,10,.500,0,0,,0,0,,2,3,5,4,1,0,0,2,10,10.3,+2,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
24,23,2017-12-08,24-362,MIL,,DAL,W (+7),0,40:42,6,10,.600,1,4,.250,1,1,1.000,0,3,3,6,1,0,1,4,14,12.9,+6,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
25,24,2017-12-09,24-363,MIL,,UTA,W (+17),0,26:35,6,13,.462,0,3,.000,4,5,.800,0,2,2,2,2,0,1,2,16,11.1,0,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
26,25,2017-12-13,25-002,MIL,@,NOP,L (-7),0,27:48,5,12,.417,1,4,.250,0,0,,2,1,3,2,1,0,1,2,11,6.9,-15,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
27,26,2017-12-15,25-004,MIL,,CHI,L (-6),0,32:16,3,12,.250,0,4,.000,0,0,,1,2,3,2,0,0,1,4,6,-1.1,-10,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
28,27,2017-12-16,25-005,MIL,@,HOU,L (-4),0,36:27,7,12,.583,3,5,.600,3,3,1.000,0,4,4,2,1,2,2,5,20,15.4,+9,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
29,28,2017-12-19,25-008,MIL,,CLE,W (+3),0,30:00,5,10,.500,4,7,.571,2,2,1.000,1,2,3,1,1,0,1,1,16,12.6,+3,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
30,29,2017-12-22,25-011,MIL,,CHO,W (+5),0,30:35,5,11,.455,2,3,.667,2,2,1.000,0,6,6,4,1,1,1,2,14,12.8,+7,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
31,30,2017-12-23,25-012,MIL,@,CHO,L (-5),0,32:37,5,12,.417,0,1,.000,0,0,,0,0,0,4,1,0,2,5,10,3.4,-19,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
32,31,2017-12-26,25-015,MIL,,CHI,L (-9),0,29:56,7,11,.636,0,3,.000,4,4,1.000,1,5,6,2,0,2,1,4,18,15.5,-11,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
33,32,2017-12-28,25-017,MIL,,MIN,W (+6),0,25:42,5,9,.556,1,2,.500,2,2,1.000,2,3,5,3,1,0,2,2,13,11.3,+20,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
34,33,2017-12-29,25-018,MIL,@,OKC,W (+2),0,21:02,3,6,.500,0,2,.000,1,1,1.000,0,2,2,3,3,0,1,2,7,7.9,-4,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
35,34,2018-01-01,25-021,MIL,@,TOR,L (-4),0,39:13,7,13,.538,1,2,.500,0,0,,3,3,6,2,1,0,3,4,15,9.5,+9,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
36,35,2018-01-03,25-023,MIL,,IND,W (+21),0,31:40,5,9,.556,0,2,.000,7,7,1.000,0,2,2,5,0,0,2,3,17,13.6,+14,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
37,36,2018-01-05,25-025,MIL,,TOR,L (-19),0,29:43,7,13,.538,3,3,1.000,2,3,.667,0,2,2,3,0,0,1,4,19,12.4,-4,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
38,37,2018-01-06,25-026,MIL,@,WAS,W (+7),1,31:44,5,14,.357,0,4,.000,0,0,,2,7,9,0,2,0,2,2,10,4.9,-7,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
39,38,2018-01-08,25-028,MIL,@,IND,L (-13),1,37:35,6,11,.545,0,1,.000,0,1,.000,1,4,5,4,0,0,0,6,12,8.6,+2,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
40,39,2018-01-10,25-030,MIL,,ORL,W (+7),1,36:32,6,10,.600,1,3,.333,1,2,.500,1,8,9,7,0,2,0,3,14,17.2,+20,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
41,40,2018-01-12,25-032,MIL,,GSW,L (-14),1,39:56,7,14,.500,2,5,.400,1,1,1.000,0,2,2,4,1,0,1,4,17,11.8,-17,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
42,41,2018-01-14,25-034,MIL,@,MIA,L (-18),1,34:06,7,12,.583,1,3,.333,0,0,,1,4,5,1,1,0,1,5,15,10.0,-21,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
43,42,2018-01-15,25-035,MIL,@,WAS,W (+9),1,37:17,5,11,.455,2,5,.400,4,4,1.000,2,1,3,4,0,0,1,4,16,12.2,+19,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
44,43,2018-01-17,25-037,MIL,,MIA,L (-5),1,28:55,2,7,.286,0,2,.000,4,4,1.000,0,3,3,1,1,0,1,3,8,4.3,0,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
45,,2018-01-20,25-040,MIL,@,PHI,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
46,44,2018-01-22,25-042,MIL,,PHO,W (+4),1,34:42,11,14,.786,3,4,.750,7,8,.875,0,4,4,2,3,1,5,4,32,25.9,+16,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
47,,2018-01-26,25-046,MIL,,BRK,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
48,,2018-01-28,25-048,MIL,@,CHI,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
49,45,2018-01-29,25-049,MIL,,PHI,W (+12),1,21:46,1,4,.250,0,3,.000,2,2,1.000,1,3,4,4,0,1,2,1,4,4.3,-3,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
50,46,2018-02-01,25-052,MIL,@,MIN,L (-19),1,9:33,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,2.3,-2,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
51,,2018-02-02,25-053,MIL,,NYK,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
52,,2018-02-04,25-055,MIL,@,BRK,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
53,,2018-02-06,25-057,MIL,@,NYK,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
54,,2018-02-09,25-060,MIL,@,MIA,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
55,,2018-02-10,25-061,MIL,@,ORL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
56,,2018-02-13,25-064,MIL,,ATL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
57,,2018-02-15,25-066,MIL,,DEN,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
58,,2018-02-23,25-074,MIL,@,TOR,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
59,,2018-02-25,25-076,MIL,,NOP,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
60,,2018-02-27,25-078,MIL,,WAS,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
61,,2018-02-28,25-079,MIL,@,DET,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
62,,2018-03-02,25-081,MIL,,IND,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
63,,2018-03-04,25-083,MIL,,PHI,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
64,,2018-03-05,25-084,MIL,@,IND,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
65,,2018-03-07,25-086,MIL,,HOU,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
66,,2018-03-09,25-088,MIL,,NYK,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
67,,2018-03-12,25-091,MIL,@,MEM,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
68,,2018-03-14,25-093,MIL,@,ORL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
69,,2018-03-17,25-096,MIL,,ATL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
70,,2018-03-19,25-098,MIL,@,CLE,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
71,,2018-03-21,25-100,MIL,,LAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
72,,2018-03-23,25-102,MIL,@,CHI,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
73,,2018-03-25,25-104,MIL,,SAS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
74,,2018-03-27,25-106,MIL,@,LAC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
75,,2018-03-29,25-108,MIL,@,GSW,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
76,,2018-03-30,25-109,MIL,@,LAL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
77,,2018-04-01,25-111,MIL,@,DEN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
78,,2018-04-03,25-113,MIL,,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
79,,2018-04-05,25-115,MIL,,BRK,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
80,,2018-04-07,25-117,MIL,@,NYK,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2018,brogdma01,https://www.basketball-reference.com/players/b/brogdma01/gamelog/2018
