Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,30-114,NOP,,DEN,L (-5),1,16:32,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,2,2,0.5,+3,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
2,2,2016-10-28,30-116,NOP,,GSW,L (-8),1,7:46,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,0,2,1.6,-7,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
3,3,2016-10-29,30-117,NOP,@,SAS,L (-19),1,15:01,0,0,,0,0,,0,0,,1,6,7,1,0,0,0,1,0,2.8,-10,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
4,4,2016-11-01,30-120,NOP,,MIL,L (-4),0,13:13,1,3,.333,0,0,,3,6,.500,2,5,7,1,1,1,1,1,5,6.0,+6,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
5,5,2016-11-02,30-121,NOP,@,MEM,L (-6),0,35:29,0,2,.000,0,0,,0,0,,2,9,11,2,0,0,2,2,0,1.3,+7,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
6,6,2016-11-04,30-123,NOP,,PHO,L (-1),0,24:56,0,2,.000,0,0,,0,0,,2,10,12,1,0,2,1,4,0,2.5,+6,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
7,7,2016-11-07,30-126,NOP,@,GSW,L (-10),1,14:19,3,6,.500,0,0,,2,3,.667,3,3,6,0,0,0,0,0,8,7.6,+17,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
8,8,2016-11-08,30-127,NOP,@,SAC,L (-8),1,25:46,1,4,.250,0,0,,3,4,.750,4,5,9,0,0,1,1,3,5,5.0,-11,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
9,9,2016-11-10,30-129,NOP,@,MIL,W (+6),0,19:11,4,5,.800,0,0,,2,4,.500,3,3,6,0,0,0,0,3,10,9.1,+1,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
10,10,2016-11-12,30-131,NOP,,LAL,L (-27),1,13:20,1,3,.333,0,0,,0,0,,2,3,5,0,0,0,1,2,2,0.8,-2,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
11,11,2016-11-14,30-133,NOP,,BOS,W (+1),1,12:28,2,2,1.000,0,0,,0,0,,1,3,4,0,0,0,0,0,4,5.0,-2,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
12,12,2016-11-16,30-135,NOP,@,ORL,L (-7),1,19:37,0,1,.000,0,0,,0,2,.000,2,8,10,0,0,1,1,0,0,2.0,+3,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
13,13,2016-11-18,30-137,NOP,,POR,W (+12),1,17:28,1,2,.500,0,0,,0,0,,1,4,5,2,0,2,0,4,2,4.1,+3,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
14,14,2016-11-19,30-138,NOP,,CHO,W (+5),1,13:11,0,0,,0,0,,0,0,,2,3,5,1,1,0,1,1,0,2.6,-14,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
15,15,2016-11-22,30-141,NOP,@,ATL,W (+18),1,21:45,2,3,.667,0,0,,2,2,1.000,1,5,6,1,0,0,0,2,6,6.8,+26,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
16,16,2016-11-23,30-142,NOP,,MIN,W (+21),1,27:32,2,3,.667,0,0,,2,4,.500,1,8,9,0,0,0,0,1,6,6.6,+7,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
17,17,2016-11-25,30-144,NOP,@,POR,L (-15),1,17:32,2,2,1.000,0,0,,2,2,1.000,0,4,4,0,0,0,0,2,6,5.8,-19,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
18,18,2016-11-27,30-146,NOP,@,DAL,L (-10),1,6:51,1,1,1.000,0,0,,0,0,,2,2,4,0,0,0,0,0,2,3.7,0,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
19,19,2016-11-29,30-148,NOP,,LAL,W (+17),1,26:14,4,6,.667,0,0,,2,2,1.000,4,7,11,1,1,1,1,0,10,13.7,+13,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
20,20,2016-12-02,30-151,NOP,,LAC,L (-18),1,17:37,2,3,.667,0,0,,0,0,,2,3,5,0,0,0,1,2,4,3.2,-20,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
21,21,2016-12-04,30-153,NOP,@,OKC,L (-9),1,16:20,0,1,.000,0,0,,0,2,.000,0,3,3,0,1,0,0,4,0,-1.2,-7,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
22,22,2016-12-05,30-154,NOP,,MEM,L (-2),1,13:23,0,3,.000,0,0,,1,2,.500,0,3,3,0,0,0,0,1,1,-1.0,-12,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
23,23,2016-12-08,30-157,NOP,,PHI,L (-11),0,19:50,3,4,.750,0,0,,2,3,.667,5,4,9,2,1,0,0,3,8,11.9,-5,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
24,24,2016-12-10,30-159,NOP,@,LAC,L (-28),0,17:31,0,1,.000,0,0,,0,1,.000,2,2,4,1,0,1,1,0,0,1.3,-17,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
25,25,2016-12-11,30-160,NOP,@,PHO,W (+1),0,4:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
26,,2016-12-13,30-162,NOP,,GSW,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
27,26,2016-12-15,30-164,NOP,,IND,W (+7),0,6:30,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,1,0,0.5,-7,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
28,,2016-12-16,30-165,NOP,@,HOU,L (-22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
29,,2016-12-18,30-167,NOP,@,SAS,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
30,27,2016-12-20,30-169,NOP,@,PHI,W (+15),0,15:32,0,2,.000,0,0,,2,2,1.000,4,2,6,0,0,1,0,2,2,3.9,+5,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
31,28,2016-12-21,30-170,NOP,,OKC,L (-11),0,8:49,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,0.6,-11,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
32,,2016-12-23,30-172,NOP,,MIA,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
33,,2016-12-26,30-175,NOP,,DAL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
34,,2016-12-28,30-177,NOP,,LAC,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
35,,2016-12-30,30-179,NOP,,NYK,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,asikom01,https://www.basketball-reference.com/players/a/asikom01/gamelog/2017
