Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,24-242,MIN,@,BRK,W (+1),1,36:13,10,27,.370,0,4,.000,1,2,.500,5,3,8,0,0,0,1,4,21,7.5,-26,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
2,2,2019-10-25,24-244,MIN,@,CHO,W (+22),1,32:40,6,13,.462,0,3,.000,4,5,.800,2,2,4,2,1,1,1,1,16,12.6,+19,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
3,3,2019-10-27,24-246,MIN,,MIA,W (+7),1,35:27,9,18,.500,4,10,.400,3,4,.750,1,5,6,0,0,0,3,3,25,13.6,+15,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
4,4,2019-10-30,24-249,MIN,@,PHI,L (-22),1,33:00,6,16,.375,1,6,.167,6,6,1.000,1,4,5,2,1,1,1,1,19,13.8,-27,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
5,5,2019-11-02,24-252,MIN,@,WAS,W (+22),1,26:25,7,16,.438,4,9,.444,3,4,.750,0,5,5,6,0,1,1,0,21,17.6,+19,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
6,6,2019-11-04,24-254,MIN,,MIL,L (-28),1,30:38,10,21,.476,4,7,.571,1,2,.500,1,2,3,0,0,2,2,3,25,13.4,-17,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
7,7,2019-11-06,24-256,MIN,@,MEM,L (-16),1,34:20,11,21,.524,3,8,.375,5,8,.625,1,1,2,6,2,1,3,5,30,21.4,-11,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
8,8,2019-11-08,24-258,MIN,,GSW,W (+6),1,44:37,17,33,.515,2,7,.286,4,8,.500,1,4,5,7,0,3,0,4,40,29.4,+13,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
9,9,2019-11-10,24-260,MIN,,DEN,L (-2),1,40:28,10,22,.455,1,6,.167,4,4,1.000,0,4,4,5,1,1,1,1,25,18.6,-1,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
10,10,2019-11-11,24-261,MIN,@,DET,W (+6),1,35:57,12,20,.600,3,5,.600,6,8,.750,0,6,6,5,1,1,2,0,33,28.0,+7,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
11,11,2019-11-13,24-263,MIN,,SAS,W (+15),1,31:45,12,23,.522,4,7,.571,2,2,1.000,2,6,8,7,2,1,2,1,30,27.1,+24,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
12,,2019-11-15,24-265,MIN,,WAS,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
13,,2019-11-16,24-266,MIN,,HOU,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
14,,2019-11-18,24-268,MIN,@,UTA,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
15,12,2019-11-20,24-270,MIN,,UTA,L (-8),1,34:09,10,24,.417,1,10,.100,1,3,.333,2,5,7,3,0,0,3,3,22,9.2,+1,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
16,13,2019-11-23,24-273,MIN,,PHO,L (-2),1,36:28,9,21,.429,2,6,.333,1,3,.333,1,3,4,3,0,3,4,6,21,8.5,-1,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
17,14,2019-11-25,24-275,MIN,@,ATL,W (+12),1,36:28,9,19,.474,3,6,.500,4,6,.667,0,6,6,1,2,0,2,2,25,16.2,+13,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
18,15,2019-11-27,24-277,MIN,@,SAS,W (+12),1,35:49,7,16,.438,3,5,.600,9,14,.643,1,7,8,2,0,2,1,2,26,19.4,+26,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
19,16,2019-12-01,24-281,MIN,,MEM,L (-8),1,35:02,6,17,.353,1,6,.167,5,5,1.000,1,5,6,7,1,2,3,1,18,14.6,+3,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
20,17,2019-12-04,24-284,MIN,@,DAL,L (-7),1,31:38,7,24,.292,3,8,.375,9,11,.818,3,2,5,1,0,3,3,4,26,12.1,-8,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
21,,2019-12-06,24-286,MIN,@,OKC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
22,18,2019-12-08,24-288,MIN,@,LAL,L (-17),1,29:25,8,15,.533,1,5,.200,2,3,.667,0,2,2,3,0,0,3,3,19,9.8,-20,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
23,19,2019-12-09,24-289,MIN,@,PHO,L (-16),1,37:20,8,18,.444,1,5,.200,6,7,.857,1,3,4,4,0,2,1,2,23,17.2,-16,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
24,20,2019-12-11,24-291,MIN,,UTA,L (-11),1,37:32,11,23,.478,3,8,.375,1,1,1.000,2,4,6,3,3,0,2,1,26,19.6,-6,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
25,21,2019-12-13,24-293,MIN,,LAC,L (-7),1,39:20,12,20,.600,2,7,.286,8,8,1.000,1,2,3,2,1,0,4,4,34,22.9,-9,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
26,22,2019-12-18,24-298,MIN,,NOP,L (-8),1,41:55,9,23,.391,2,6,.333,7,9,.778,2,5,7,0,2,0,4,3,27,13.4,-4,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
27,23,2019-12-20,24-300,MIN,@,DEN,L (-9),1,37:04,7,18,.389,2,8,.250,3,4,.750,1,2,3,6,1,1,4,2,19,11.2,-3,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
28,24,2019-12-21,24-301,MIN,@,POR,L (-7),1,34:56,13,24,.542,4,6,.667,3,4,.750,1,5,6,1,0,3,5,1,33,20.6,-6,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
29,25,2019-12-23,24-303,MIN,@,GSW,L (-9),1,38:36,10,27,.370,1,8,.125,1,2,.500,1,6,7,2,0,1,5,5,22,4.3,-20,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
30,26,2019-12-26,24-306,MIN,@,SAC,W (+1),1,43:37,4,19,.211,2,9,.222,8,10,.800,1,9,10,7,0,0,3,2,18,10.0,+1,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
31,,2019-12-28,24-308,MIN,,CLE,L (-6),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
32,,2019-12-30,24-310,MIN,,BRK,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
33,,2020-01-01,24-312,MIN,@,MIL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,wiggian01,https://www.basketball-reference.com/players/w/wiggian01/gamelog/2020
