Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1985-10-25,22-104,ATL,,WSB,L (-9),1,29:00,5,7,.714,0,0,,2,2,1.000,0,3,3,10,1,0,3,4,12,13.4,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
2,2,1985-10-26,22-105,ATL,@,MIL,L (-26),1,13:00,1,3,.333,0,0,,3,3,1.000,0,0,0,1,0,0,3,4,5,-0.6,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
3,3,1985-10-29,22-108,ATL,,NYK,W (+15),0,14:00,4,8,.500,0,0,,1,1,1.000,0,1,1,1,1,0,2,1,9,4.6,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
4,4,1985-11-01,22-111,ATL,@,BOS,L (-4),0,19:00,1,7,.143,0,1,.000,6,10,.600,0,1,1,4,1,0,1,1,8,4.6,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
5,5,1985-11-02,22-112,ATL,,PHI,W (+1),0,33:00,4,11,.364,0,0,,2,4,.500,1,3,4,11,1,1,7,4,10,5.5,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
6,6,1985-11-05,22-115,ATL,@,DEN,L (-15),0,20:00,4,8,.500,0,0,,3,6,.500,1,4,5,4,3,0,5,5,11,6.5,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
7,7,1985-11-06,22-116,ATL,@,PHO,W (+8),0,16:00,4,4,1.000,0,0,,3,4,.750,1,2,3,5,2,0,3,2,11,12.4,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
8,8,1985-11-08,22-118,ATL,@,GSW,L (-11),0,17:00,2,7,.286,0,0,,2,3,.667,1,2,3,5,2,1,5,3,6,2.8,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
9,9,1985-11-09,22-119,ATL,@,LAC,W (+3),0,14:00,0,1,.000,0,0,,1,2,.500,0,2,2,3,0,0,1,1,1,1.2,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
10,10,1985-11-13,22-123,ATL,,PHO,W (+7),0,13:00,1,4,.250,0,0,,3,4,.750,0,0,0,0,1,0,2,1,5,0.8,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
11,11,1985-11-15,22-125,ATL,,DET,W (+4),0,10:00,3,4,.750,0,0,,0,1,.000,0,1,1,2,0,0,0,4,6,4.1,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
12,12,1985-11-16,22-126,ATL,@,NYK,L (-7),0,10:00,0,0,,0,0,,5,6,.833,0,0,0,0,1,0,2,2,5,2.8,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
13,13,1985-11-20,22-130,ATL,,CHI,W (+15),0,12:00,0,0,,0,0,,1,2,.500,0,0,0,4,0,0,0,2,1,2.6,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
14,14,1985-11-23,22-133,ATL,,UTA,L (-10),0,10:00,1,2,.500,0,0,,0,0,,1,0,1,3,1,0,0,1,2,4.4,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
15,15,1985-11-24,22-134,ATL,@,CLE,L (-8),0,13:00,0,2,.000,0,0,,1,2,.500,0,2,2,3,1,0,2,1,1,0.5,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
16,16,1985-11-26,22-136,ATL,,NYK,W (+10),0,10:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-0.4,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
17,17,1985-11-27,22-137,ATL,@,MIL,L (-18),0,3:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
18,18,1985-11-29,22-139,ATL,@,NJN,L (-10),0,13:00,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,2,1,0,-1.4,1986,webbsp01,https://www.basketball-reference.com/players/w/webbsp01/gamelog/1986
