Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-01-08,28-094,PHO,,SAC,W (+4),0,8:25,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,4,0,-2.3,-3,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
2,2,2019-01-09,28-095,PHO,@,DAL,L (-10),0,9:02,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-3,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
3,3,2019-01-12,28-098,PHO,,DEN,W (+9),0,8:20,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,1,1,1,-1.5,14,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
4,4,2019-01-15,28-101,PHO,@,IND,L (-34),0,8:55,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,1,0,0,3,0,-1.6,8,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
5,5,2019-01-17,28-103,PHO,@,TOR,L (-2),0,5:23,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,0,0,0.0,3,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
6,6,2019-01-19,28-105,PHO,@,CHO,L (-20),0,9:26,0,1,0.0,0,1,0.0,2,2,1.0,2,3,5,1,0,0,0,2,2,3.5,4,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
7,7,2019-01-20,28-106,PHO,@,MIN,L (-2),0,18:32,2,4,0.5,2,4,0.5,2,2,1.0,0,1,1,4,0,3,0,4,8,9.6,-2,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
8,8,2019-01-22,28-108,PHO,,MIN,L (-27),0,18:00,1,4,0.25,0,3,0.0,0,0,,0,4,4,1,0,0,2,3,2,-1.7,-6,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
9,9,2019-01-24,28-110,PHO,,POR,L (-14),0,20:26,1,4,0.25,0,2,0.0,2,4,0.5,1,3,4,1,0,0,0,4,4,1.5,-7,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
10,10,2019-01-25,28-111,PHO,@,DEN,L (-37),0,16:26,0,0,,0,0,,0,0,,0,10,10,1,0,0,1,2,0,1.9,-4,2019,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2019
