Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-22,33-211,TOR,,NOP,W (+8),1,44:59,4,15,.267,3,11,.273,11,13,.846,1,4,5,6,2,0,4,4,22,14.8,-1,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
2,2,2019-10-25,33-214,TOR,@,BOS,L (-6),1,39:42,11,18,.611,6,10,.600,1,1,1.000,0,4,4,7,1,1,4,5,29,22.6,-7,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
3,3,2019-10-26,33-215,TOR,@,CHI,W (+24),1,34:25,4,11,.364,3,9,.333,0,0,,0,7,7,8,1,1,2,2,11,11.5,+6,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
4,4,2019-10-28,33-217,TOR,,ORL,W (+9),1,38:11,7,18,.389,3,11,.273,9,10,.900,1,4,5,6,0,0,2,2,26,19.1,+13,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
5,5,2019-10-30,33-219,TOR,,DET,W (+12),1,37:47,7,13,.538,2,6,.333,4,5,.800,0,5,5,8,2,0,2,3,20,19.2,+13,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
6,6,2019-11-02,33-222,TOR,@,MIL,L (-10),1,38:02,11,18,.611,5,9,.556,9,9,1.000,0,4,4,6,0,1,6,2,36,27.1,-2,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
7,7,2019-11-06,33-226,TOR,,SAC,W (+4),1,39:54,8,15,.533,5,7,.714,3,4,.750,0,2,2,6,2,0,6,5,24,15.1,-6,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
8,8,2019-11-08,33-228,TOR,@,NOP,W (+18),1,16:12,2,5,.400,2,5,.400,0,0,,0,2,2,5,1,0,1,0,6,7.4,+15,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
9,,2019-11-10,33-230,TOR,@,LAL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
10,,2019-11-11,33-231,TOR,@,LAC,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
11,,2019-11-13,33-233,TOR,@,POR,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
12,,2019-11-16,33-236,TOR,@,DAL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
13,,2019-11-18,33-238,TOR,,CHO,W (+36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
14,,2019-11-20,33-240,TOR,,ORL,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
15,,2019-11-23,33-243,TOR,@,ATL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
16,,2019-11-25,33-245,TOR,,PHI,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
17,,2019-11-27,33-247,TOR,,NYK,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,lowryky01,https://www.basketball-reference.com/players/l/lowryky01/gamelog/2020
