Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2014-10-28,24-037,DAL,@,SAS,L (-1),0,5:29,0,2,.000,0,2,.000,0,0,,1,1,2,0,0,0,1,1,0,-1.8,0,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
2,2,2014-10-30,24-039,DAL,,UTA,W (+18),0,19:30,6,7,.857,1,1,1.000,3,4,.750,2,8,10,1,1,0,1,2,16,16.8,-1,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
3,3,2014-11-01,24-041,DAL,@,NOP,W (+5),0,16:19,1,3,.333,0,1,.000,0,2,.000,1,4,5,0,0,0,0,1,2,1.0,+3,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
4,4,2014-11-03,24-043,DAL,,BOS,W (+5),0,9:36,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,1,0,1,5,4.3,+11,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
5,5,2014-11-06,24-046,DAL,@,POR,L (-21),0,16:25,3,6,.500,1,1,1.000,0,0,,2,3,5,0,2,1,0,1,7,8.6,-5,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
6,6,2014-11-07,24-047,DAL,@,UTA,W (+23),0,18:34,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,0,5,2,1.4,+4,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
7,7,2014-11-09,24-049,DAL,,MIA,L (-9),0,18:15,1,3,.333,0,2,.000,0,0,,0,2,2,1,0,1,0,1,2,1.9,-18,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
8,8,2014-11-11,24-051,DAL,,SAC,W (+8),0,12:42,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,1,3,0,-1.6,-1,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
9,9,2014-11-13,24-053,DAL,,PHI,W (+53),0,15:18,1,6,.167,1,4,.250,0,0,,2,2,4,1,2,2,3,1,3,1.9,+26,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
10,10,2014-11-15,24-055,DAL,,MIN,W (+14),0,22:52,5,7,.714,0,2,.000,0,0,,1,5,6,1,3,2,0,2,10,13.6,+5,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
11,11,2014-11-17,24-057,DAL,@,CHO,W (+27),0,29:52,3,8,.375,1,2,.500,2,2,1.000,1,10,11,0,0,2,0,1,9,9.3,+17,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
12,12,2014-11-19,24-059,DAL,@,WAS,W (+3),0,13:22,1,3,.333,1,2,.500,0,0,,1,3,4,0,0,1,0,1,3,3.2,-1,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
13,13,2014-11-21,24-061,DAL,,LAL,W (+34),0,15:31,5,9,.556,1,3,.333,2,4,.500,1,5,6,1,0,0,1,2,13,9.0,+16,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
14,14,2014-11-22,24-062,DAL,@,HOU,L (-3),0,18:57,1,5,.200,0,3,.000,0,0,,0,1,1,0,1,0,1,2,2,-1.6,-2,2015,aminual01,https://www.basketball-reference.com/players/a/aminual01/gamelog/2015
