Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,11,2015-11-17,28-186,DET,,CLE,W (+5),1,28:42,6,10,.600,4,6,.667,4,4,1.000,1,5,6,2,1,0,0,2,20,19.2,+11,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
12,12,2015-11-20,28-189,DET,@,MIN,W (+10),1,19:28,2,5,.400,1,2,.500,1,2,.500,0,1,1,2,1,1,2,2,6,3.5,+6,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
13,13,2015-11-21,28-190,DET,,WAS,L (-2),1,32:31,7,10,.700,1,2,.500,3,4,.750,2,3,5,2,0,0,1,1,18,15.7,+13,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
14,14,2015-11-23,28-192,DET,@,MIL,L (-21),1,24:07,0,7,.000,0,3,.000,0,0,,3,0,3,2,1,1,2,2,0,-2.5,-19,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
15,15,2015-11-25,28-194,DET,,MIA,W (+23),1,22:55,3,7,.429,3,4,.750,4,4,1.000,1,2,3,3,0,0,0,2,13,11.9,+22,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
16,16,2015-11-27,28-196,DET,@,OKC,L (-16),1,28:22,3,8,.375,1,5,.200,2,2,1.000,2,2,4,0,0,0,1,1,9,5.2,-15,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
17,17,2015-11-29,28-198,DET,@,BRK,L (-4),1,26:03,4,9,.444,0,1,.000,0,0,,2,3,5,0,1,0,1,2,8,4.8,+6,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
18,18,2015-11-30,28-199,DET,,HOU,W (+11),1,24:30,5,11,.455,1,4,.250,2,2,1.000,1,2,3,0,0,1,0,1,13,8.9,+2,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
19,19,2015-12-02,28-201,DET,,PHO,W (+5),1,34:44,8,13,.615,3,6,.500,4,6,.667,1,3,4,1,1,0,4,4,23,14.0,+27,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
20,20,2015-12-04,28-203,DET,,MIL,W (+7),1,24:53,4,10,.400,1,5,.200,4,5,.800,1,7,8,0,0,0,0,1,13,9.6,+10,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
21,21,2015-12-06,28-205,DET,,LAL,W (+20),1,12:36,3,5,.600,1,2,.500,0,0,,1,0,1,0,0,0,3,4,7,0.8,+3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
22,22,2015-12-07,28-206,DET,@,CHO,L (-20),1,27:59,4,14,.286,3,10,.300,4,8,.500,1,12,13,1,1,1,3,2,15,8.1,-19,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
23,23,2015-12-09,28-208,DET,,MEM,L (-1),1,34:13,3,9,.333,1,4,.250,0,1,.000,3,4,7,3,1,3,1,5,7,7.0,-3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
24,24,2015-12-11,28-210,DET,@,PHI,W (+12),1,25:39,6,13,.462,3,7,.429,0,0,,1,7,8,2,2,2,0,3,15,14.7,+34,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
25,25,2015-12-12,28-211,DET,,IND,W (+22),1,28:47,9,13,.692,2,4,.500,0,0,,1,4,5,1,0,2,0,2,20,17.7,+18,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
26,26,2015-12-14,28-213,DET,,LAC,L (-2),1,20:06,3,8,.375,0,2,.000,0,0,,2,1,3,1,1,0,0,1,6,4.6,-12,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
27,27,2015-12-16,28-215,DET,,BOS,W (+3),1,31:22,2,8,.250,2,5,.400,5,6,.833,1,4,5,0,1,2,1,3,11,7.9,-9,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
28,28,2015-12-18,28-217,DET,@,CHI,W (+3),1,53:56,6,17,.353,1,8,.125,5,8,.625,3,6,9,4,0,0,2,5,18,10.0,-3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
29,29,2015-12-22,28-221,DET,@,MIA,W (+1),1,24:00,3,7,.429,0,1,.000,0,0,,4,4,8,0,1,1,2,0,6,6.0,-21,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
30,30,2015-12-23,28-222,DET,@,ATL,L (-7),1,33:01,2,9,.222,1,5,.200,0,0,,2,5,7,1,1,0,1,3,5,1.9,0,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
31,31,2015-12-26,28-225,DET,,BOS,L (-6),1,28:34,3,9,.333,1,3,.333,2,2,1.000,3,4,7,2,2,0,0,3,9,9.4,-18,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
32,32,2015-12-29,28-228,DET,@,NYK,L (-12),1,36:10,8,15,.533,3,6,.500,0,0,,4,2,6,1,3,0,1,1,19,17.4,-5,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
33,33,2015-12-31,28-230,DET,,MIN,W (+25),1,28:32,3,6,.500,3,3,1.000,1,2,.500,0,5,5,0,1,2,1,3,10,8.3,-1,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
34,34,2016-01-02,28-232,DET,@,IND,L (-12),1,31:57,6,16,.375,0,3,.000,0,0,,2,5,7,1,1,0,2,1,12,5.4,-18,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
35,35,2016-01-04,28-234,DET,,ORL,W (+26),1,28:21,4,10,.400,2,5,.400,0,0,,2,2,4,1,2,0,0,1,10,8.9,+11,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
36,36,2016-01-06,28-236,DET,@,BOS,W (+5),1,22:19,2,8,.250,1,5,.200,0,2,.000,3,2,5,3,0,1,2,3,5,1.7,-8,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
37,37,2016-01-09,28-239,DET,,BRK,W (+14),1,29:19,8,18,.444,2,5,.400,1,3,.333,5,8,13,1,1,1,1,2,19,15.3,+4,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
38,38,2016-01-12,28-242,DET,,SAS,L (-10),1,25:33,3,9,.333,0,3,.000,0,0,,0,6,6,0,1,0,3,2,6,-0.1,-15,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
39,39,2016-01-14,28-244,DET,@,MEM,L (-2),1,26:15,6,13,.462,3,5,.600,2,2,1.000,5,4,9,2,1,0,0,3,17,16.2,+3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
40,40,2016-01-16,28-246,DET,,GSW,W (+18),1,29:42,4,8,.500,2,2,1.000,0,0,,4,4,8,1,1,2,0,3,10,11.9,-3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
41,41,2016-01-18,28-248,DET,,CHI,L (-10),1,35:14,8,16,.500,3,8,.375,0,0,,3,8,11,1,1,1,0,2,19,17.1,0,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
42,42,2016-01-20,28-250,DET,@,HOU,W (+9),1,33:29,7,14,.500,2,4,.500,2,2,1.000,3,3,6,2,1,1,0,2,18,16.3,+6,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
43,43,2016-01-21,28-251,DET,@,NOP,L (-16),1,36:31,3,10,.300,0,4,.000,4,5,.800,3,1,4,1,0,0,2,1,10,4.5,-10,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
44,44,2016-01-23,28-253,DET,@,DEN,L (-3),1,27:45,4,10,.400,0,2,.000,1,2,.500,3,6,9,3,1,0,1,3,9,8.0,-10,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
45,45,2016-01-25,28-255,DET,@,UTA,W (+3),1,23:26,5,9,.556,2,4,.500,4,4,1.000,1,7,8,0,0,0,0,4,16,12.9,+13,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
46,46,2016-01-27,28-257,DET,,PHI,W (+13),1,19:39,1,6,.167,0,2,.000,1,2,.500,4,4,8,0,1,0,1,2,3,2.0,-4,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
47,47,2016-01-29,28-259,DET,,CLE,L (-8),1,26:42,4,10,.400,1,4,.250,2,2,1.000,1,3,4,0,1,0,1,4,11,5.6,-5,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
48,,2016-01-30,28-260,DET,@,TOR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
49,48,2016-02-01,28-262,DET,@,BRK,W (+5),1,31:23,5,12,.417,1,5,.200,5,5,1.000,3,3,6,0,2,1,0,0,16,15.3,+16,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
50,49,2016-02-03,28-264,DET,@,BOS,L (-7),1,26:06,6,11,.545,2,3,.667,2,4,.500,0,2,2,0,0,0,3,1,16,7.1,-1,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
51,50,2016-02-04,28-265,DET,,NYK,W (+6),1,30:54,4,9,.444,2,5,.400,2,2,1.000,0,5,5,1,1,0,3,2,12,6.7,-7,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
52,51,2016-02-06,28-267,DET,@,IND,L (-8),1,17:54,1,8,.125,1,5,.200,1,2,.500,0,0,0,0,0,0,1,2,4,-3.4,-18,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
53,52,2016-02-08,28-269,DET,,TOR,L (-14),1,27:49,7,12,.583,2,5,.400,1,2,.500,1,5,6,0,0,0,1,2,17,11.4,-4,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
54,,2016-02-10,28-271,DET,,DEN,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
55,53,2016-02-19,28-280,ORL,,DAL,W (+6),0,23:09,5,11,.455,2,4,.500,4,6,.667,2,3,5,2,1,0,1,6,16,10.8,-4,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
56,54,2016-02-21,28-282,ORL,,IND,L (-3),0,18:23,3,9,.333,1,3,.333,0,0,,3,0,3,0,1,0,1,3,7,2.8,-4,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
57,55,2016-02-23,28-284,ORL,@,PHI,W (+9),0,18:59,2,7,.286,2,3,.667,4,4,1.000,3,5,8,0,0,0,0,3,10,8.3,+6,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
58,56,2016-02-25,28-286,ORL,,GSW,L (-16),0,15:58,1,3,.333,0,0,,6,6,1.000,1,3,4,0,2,0,0,1,8,9.5,-14,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
59,57,2016-02-26,28-287,ORL,@,NYK,L (-13),0,11:35,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,-1.2,-10,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
60,58,2016-02-28,28-289,ORL,,PHI,W (+14),0,12:06,4,5,.800,2,3,.667,0,0,,0,3,3,1,0,0,0,3,10,8.5,-1,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
61,59,2016-03-01,28-291,ORL,@,DAL,L (-13),0,30:55,7,10,.700,2,3,.667,6,7,.857,5,5,10,0,2,0,0,3,22,23.2,-16,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
62,60,2016-03-02,28-292,ORL,,CHI,W (+13),0,12:03,3,8,.375,1,1,1.000,1,3,.333,1,6,7,0,1,0,0,1,8,5.9,+3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
63,61,2016-03-04,28-294,ORL,,PHO,L (-18),0,19:33,2,14,.143,0,3,.000,1,2,.500,7,5,12,0,1,1,0,0,5,3.7,-8,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
64,62,2016-03-07,28-297,ORL,@,GSW,L (-6),0,14:38,2,6,.333,0,1,.000,3,4,.750,1,1,2,0,2,0,0,3,7,5.0,+3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
65,63,2016-03-08,28-298,ORL,@,LAL,L (-9),0,14:07,1,5,.200,0,2,.000,0,0,,0,4,4,1,0,0,0,4,2,-0.8,-9,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
66,64,2016-03-11,28-301,ORL,@,SAC,W (+7),0,20:41,4,5,.800,1,2,.500,1,2,.500,3,3,6,0,0,1,1,5,10,8.4,+3,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
67,65,2016-03-12,28-302,ORL,@,POR,L (-37),0,28:44,1,7,.143,0,1,.000,2,4,.500,4,5,9,1,0,0,2,3,4,0.5,-34,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
68,66,2016-03-15,28-305,ORL,,DEN,W (+6),0,21:17,2,2,1.000,0,0,,2,3,.667,0,4,4,1,1,0,1,1,6,6.5,-8,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
69,,2016-03-16,28-306,ORL,@,CHO,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
70,67,2016-03-18,28-308,ORL,,CLE,L (-6),0,20:15,3,8,.375,0,3,.000,1,2,.500,2,3,5,2,1,0,2,0,7,4.9,-10,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
71,68,2016-03-20,28-310,ORL,@,TOR,L (-5),0,31:56,4,13,.308,1,2,.500,1,2,.500,2,7,9,1,1,0,0,6,10,4.9,+2,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
72,69,2016-03-21,28-311,ORL,@,BOS,L (-11),0,10:28,2,4,.500,1,1,1.000,0,0,,3,2,5,0,0,1,0,0,5,6.4,+1,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
73,70,2016-03-23,28-313,ORL,@,DET,L (-16),0,24:21,3,4,.750,2,3,.667,0,0,,1,2,3,1,0,0,0,1,8,8.0,+6,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
74,,2016-03-25,28-315,ORL,@,MIA,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
75,,2016-03-26,28-316,ORL,,CHI,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
76,,2016-03-29,28-319,ORL,,BRK,W (+34),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
77,,2016-03-31,28-321,ORL,@,IND,W (+20),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
78,,2016-04-01,28-322,ORL,@,MIL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
79,,2016-04-03,28-324,ORL,,MEM,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
80,,2016-04-06,28-327,ORL,,DET,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
81,71,2016-04-08,28-329,ORL,,MIA,W (+3),1,24:00,2,5,.400,0,2,.000,0,0,,1,5,6,0,0,0,0,1,4,3.1,-7,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
82,72,2016-04-10,28-331,ORL,@,MIA,L (-22),1,16:53,0,4,.000,0,2,.000,0,0,,1,1,2,0,0,0,2,1,0,-4.2,-12,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
83,73,2016-04-11,28-332,ORL,,MIL,W (+9),1,37:00,10,13,.769,2,2,1.000,0,0,,3,3,6,1,1,3,0,3,22,22.5,+13,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
84,74,2016-04-13,28-334,ORL,@,CHO,L (-14),1,19:47,3,8,.375,1,2,.500,0,0,,2,5,7,0,0,0,2,1,7,3.1,-11,2016,ilyaser01,https://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016
