Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
12,,2015-11-18,25-186,BRK,@,CHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
13,,2015-11-20,25-188,BRK,@,BOS,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
14,,2015-11-22,25-190,BRK,,BOS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
15,,2015-11-25,25-193,BRK,@,OKC,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
16,,2015-11-28,25-196,BRK,@,CLE,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
17,,2015-11-29,25-197,BRK,,DET,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
18,,2015-12-01,25-199,BRK,,PHO,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
19,1,2015-12-04,25-202,BRK,@,NYK,L (-17),0,10:44,3,4,.750,0,0,,2,4,.500,2,2,4,0,0,1,0,0,8,8.3,+8,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
20,2,2015-12-06,25-204,BRK,,GSW,L (-16),0,9:48,2,3,.667,0,0,,0,2,.000,1,2,3,0,0,1,1,2,4,2.1,+1,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
21,,2015-12-08,25-206,BRK,,HOU,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
22,3,2015-12-10,25-208,BRK,,PHI,W (+9),0,12:39,3,4,.750,0,0,,0,0,,0,3,3,0,0,0,1,1,6,3.9,-7,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
23,4,2015-12-12,25-210,BRK,,LAC,L (-5),0,7:19,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,0.9,-5,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
24,5,2015-12-14,25-212,BRK,,ORL,L (-23),0,4:56,1,4,.250,0,0,,0,0,,2,2,4,0,0,0,0,0,2,1.6,-1,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
25,6,2015-12-16,25-214,BRK,,MIA,L (-6),0,8:08,1,2,.500,0,0,,0,0,,1,3,4,1,0,2,0,0,2,4.7,+7,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
26,7,2015-12-18,25-216,BRK,@,IND,L (-7),0,8:39,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,2,0,-1.1,-5,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
27,8,2015-12-20,25-218,BRK,,MIN,L (-15),0,4:08,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
28,9,2015-12-21,25-219,BRK,@,CHI,W (+3),0,12:50,4,5,.800,0,0,,3,3,1.000,3,2,5,0,0,0,1,2,11,10.0,-3,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
29,10,2015-12-23,25-221,BRK,,DAL,L (-1),0,6:37,2,3,.667,0,0,,1,2,.500,1,1,2,0,0,0,0,2,5,3.5,+5,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
30,11,2015-12-26,25-224,BRK,,WAS,L (-15),0,10:18,3,4,.750,0,0,,1,3,.333,1,2,3,0,0,2,2,3,7,4.1,+10,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
31,12,2015-12-28,25-226,BRK,@,MIA,W (+6),0,12:14,2,3,.667,0,0,,0,2,.000,2,1,3,1,0,2,1,2,4,3.9,+7,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
32,13,2015-12-30,25-228,BRK,@,ORL,L (-7),0,8:47,3,5,.600,0,0,,0,0,,1,0,1,0,0,0,0,2,6,3.6,0,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
33,14,2016-01-02,25-231,BRK,@,BOS,W (+3),0,12:12,3,6,.500,0,0,,0,0,,3,4,7,0,0,0,0,1,6,5.9,-2,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
34,15,2016-01-04,25-233,BRK,,BOS,L (-9),0,7:21,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,0.5,-6,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
35,16,2016-01-06,25-235,BRK,,TOR,L (-17),0,7:43,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,1,0,1,3,2.2,-8,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
36,17,2016-01-08,25-237,BRK,,ORL,L (-6),0,13:28,1,2,.500,0,0,,0,0,,1,3,4,0,0,1,1,1,2,1.9,+5,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
37,18,2016-01-09,25-238,BRK,@,DET,L (-14),0,17:52,3,5,.600,0,0,,0,0,,0,5,5,0,2,0,0,2,6,6.4,-11,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
38,19,2016-01-11,25-240,BRK,,SAS,L (-27),0,7:43,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,2,0,2,-0.3,-9,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
39,20,2016-01-13,25-242,BRK,,NYK,W (+6),0,6:20,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,0,0,2,0.9,+6,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
40,,2016-01-15,25-244,BRK,,POR,L (-12),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
41,21,2016-01-16,25-245,BRK,@,ATL,L (-28),0,12:00,1,2,.500,0,0,,1,4,.250,2,0,2,1,1,0,0,2,3,3.1,-12,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
42,22,2016-01-18,25-247,BRK,@,TOR,L (-12),0,10:24,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,0.5,-3,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
43,23,2016-01-20,25-249,BRK,,CLE,L (-13),0,10:29,2,2,1.000,0,0,,2,2,1.000,1,1,2,0,0,1,1,1,6,5.7,+2,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
44,24,2016-01-22,25-251,BRK,,UTA,L (-22),0,25:25,4,9,.444,0,0,,4,6,.667,2,1,3,2,0,0,0,2,12,8.8,-12,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
45,25,2016-01-24,25-253,BRK,,OKC,W (+10),0,15:12,2,4,.500,0,0,,1,2,.500,2,4,6,0,0,1,1,2,5,4.1,-8,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
46,26,2016-01-26,25-255,BRK,,MIA,L (-4),0,3:16,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-6,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
47,,2016-01-29,25-258,BRK,@,DAL,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
48,,2016-01-30,25-259,BRK,@,NOP,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
49,,2016-02-01,25-261,BRK,,DET,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
50,,2016-02-03,25-263,BRK,,IND,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
51,,2016-02-05,25-265,BRK,,SAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
52,,2016-02-06,25-266,BRK,@,PHI,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
53,,2016-02-08,25-268,BRK,,DEN,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
54,,2016-02-10,25-270,BRK,,MEM,L (-19),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
55,,2016-02-19,25-279,BRK,,NYK,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
56,27,2016-02-21,25-281,BRK,,CHO,L (-8),0,5:51,2,2,1.000,0,0,,0,0,,1,1,2,0,0,1,0,0,4,5.1,+9,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
57,28,2016-02-23,25-283,BRK,@,POR,L (-8),0,7:29,2,3,.667,0,0,,0,0,,1,0,1,0,1,1,1,0,4,4.1,-2,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
58,29,2016-02-25,25-285,BRK,@,PHO,W (+10),0,6:44,0,1,.000,0,0,,1,2,.500,2,2,4,0,0,2,1,2,1,1.5,-4,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
59,30,2016-02-27,25-287,BRK,@,UTA,W (+2),0,9:44,3,4,.750,0,0,,1,1,1.000,1,2,3,0,1,1,0,1,7,8.0,+6,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
60,31,2016-02-29,25-289,BRK,@,LAC,L (-10),0,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
61,32,2016-03-01,25-290,BRK,@,LAL,L (-6),0,12:40,2,6,.333,0,0,,0,4,.000,4,1,5,0,0,2,0,0,4,3.5,-11,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
62,,2016-03-04,25-293,BRK,@,DEN,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
63,33,2016-03-05,25-294,BRK,@,MIN,L (-14),1,31:33,5,11,.455,0,0,,4,5,.800,5,3,8,3,0,4,0,2,14,16.4,-16,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
64,34,2016-03-08,25-297,BRK,@,TOR,L (-5),0,16:05,5,7,.714,0,0,,0,0,,2,2,4,2,1,0,0,0,10,11.5,-5,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
65,,2016-03-11,25-300,BRK,@,PHI,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
66,35,2016-03-13,25-302,BRK,,MIL,L (-9),0,3:52,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+5,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
67,,2016-03-15,25-304,BRK,,PHI,W (+17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
68,,2016-03-17,25-306,BRK,@,CHI,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
69,36,2016-03-19,25-308,BRK,@,DET,L (-12),1,27:38,3,6,.500,0,0,,7,8,.875,0,6,6,0,0,2,1,4,13,10.2,-3,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
70,,2016-03-22,25-311,BRK,,CHO,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
71,,2016-03-24,25-313,BRK,,CLE,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
72,,2016-03-26,25-315,BRK,,IND,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
73,,2016-03-28,25-317,BRK,@,MIA,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
74,37,2016-03-29,25-318,BRK,@,ORL,L (-34),0,12:15,5,6,.833,0,0,,0,1,.000,2,3,5,0,0,1,0,1,10,10.0,+5,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
75,38,2016-03-31,25-320,BRK,@,CLE,L (-20),0,6:44,0,0,,0,0,,0,0,,1,4,5,0,0,2,0,0,0,3.3,+7,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
76,,2016-04-01,25-321,BRK,@,NYK,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
77,39,2016-04-03,25-323,BRK,,NOP,L (-19),0,17:55,2,7,.286,0,0,,1,2,.500,4,3,7,0,0,0,0,3,5,3.0,-21,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
78,,2016-04-06,25-326,BRK,@,WAS,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
79,,2016-04-08,25-328,BRK,@,CHO,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
80,,2016-04-10,25-330,BRK,@,IND,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
81,,2016-04-11,25-331,BRK,,WAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
82,,2016-04-13,25-333,BRK,,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,reedwi02,https://www.basketball-reference.com/players/r/reedwi02/gamelog/2016
