Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2022-10-18,25-228,PHI,@,BOS,L (-9),0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
2,2,2022-10-20,25-230,PHI,,MIL,L (-2),0,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
3,3,2022-10-22,25-232,PHI,,SAS,L (-9),0,3:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
4,4,2022-10-24,25-234,PHI,,IND,W (+14),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
5,,2022-10-26,25-236,PHI,@,TOR,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
6,5,2022-10-28,25-238,PHI,@,TOR,W (+22),0,21:48,2,6,.333,2,5,.400,0,0,,1,2,3,3,1,2,0,0,6,8.4,+1,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
7,6,2022-10-29,25-239,PHI,@,CHI,W (+5),0,20:34,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,3,2,0.8,+2,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
8,7,2022-10-31,25-241,PHI,@,WAS,W (+7),0,16:29,0,1,.000,0,1,.000,1,2,.500,0,5,5,0,2,0,1,2,1,1.6,+5,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
9,8,2022-11-02,25-243,PHI,,WAS,L (-10),1,15:42,1,2,.500,0,0,,0,1,.000,0,0,0,2,1,0,0,2,2,2.2,+4,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
10,9,2022-11-04,25-245,PHI,,NYK,L (-2),0,13:03,2,5,.400,0,2,.000,0,0,,1,2,3,0,1,1,0,4,4,2.7,-10,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
11,10,2022-11-07,25-248,PHI,,PHO,W (+12),0,10:31,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,1,0,1,0,1.0,+4,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
12,11,2022-11-10,25-251,PHI,@,ATL,L (-9),0,8:21,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.8,+6,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
13,12,2022-11-12,25-253,PHI,,ATL,W (+12),1,29:52,1,5,.200,1,4,.250,0,0,,0,2,2,0,1,0,0,2,3,0.7,+15,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
14,13,2022-11-13,25-254,PHI,,UTA,W (+7),1,27:27,1,2,.500,0,1,.000,0,0,,1,5,6,2,5,1,0,2,2,9.5,+18,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
15,14,2022-11-18,25-259,PHI,,MIL,W (+8),0,4:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-7,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
16,15,2022-11-19,25-260,PHI,,MIN,L (-3),0,4:56,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
17,16,2022-11-22,25-263,PHI,,BRK,W (+9),0,3:22,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,1.3,-5,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
18,,2022-11-23,25-264,PHI,@,CHO,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
19,,2022-11-25,25-266,PHI,@,ORL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
20,,2022-11-27,25-268,PHI,@,ORL,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
21,17,2022-11-28,25-269,PHI,,ATL,W (+3),0,7:34,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,0,2,4,3.6,+12,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
22,18,2022-11-30,25-271,PHI,@,CLE,L (-28),0,18:16,1,4,.250,1,2,.500,0,0,,0,2,2,0,1,0,1,2,3,0.4,+4,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
23,19,2022-12-02,25-273,PHI,@,MEM,L (-8),0,13:01,0,2,.000,0,1,.000,0,0,,1,0,1,0,1,0,0,1,0,-0.1,0,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
24,20,2022-12-05,25-276,PHI,@,HOU,L (-9),0,7:10,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-2,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
25,21,2022-12-09,25-280,PHI,,LAL,W (+11),0,13:25,4,7,.571,1,3,.333,0,0,,0,0,0,1,3,0,1,3,9,7.2,+11,2023,thybuma01,https://www.basketball-reference.com/players/t/thybuma01/gamelog/2023
