Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2021-10-20,25-051,PHO,,DEN,L (-12),1,33:31,7,16,.438,2,6,.333,0,2,.000,1,4,5,0,1,1,1,2,16,8.6,-21,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
2,2,2021-10-22,25-053,PHO,@,LAL,W (+10),1,35:09,8,11,.727,2,4,.500,3,4,.750,1,4,5,3,3,1,1,3,21,21.6,+13,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
3,3,2021-10-23,25-054,PHO,@,POR,L (-29),1,25:31,5,9,.556,4,5,.800,0,0,,0,2,2,1,0,0,0,0,14,11.0,-13,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
4,4,2021-10-27,25-058,PHO,,SAC,L (-3),1,33:26,7,12,.583,1,4,.250,0,0,,1,4,5,1,0,2,3,4,15,8.8,+6,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
5,5,2021-10-30,25-061,PHO,,CLE,W (+9),1,30:28,5,9,.556,0,2,.000,0,0,,0,5,5,3,0,0,2,3,10,6.1,+25,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
6,6,2021-11-02,25-064,PHO,,NOP,W (+12),1,41:48,9,15,.600,2,4,.500,2,2,1.000,0,1,1,1,0,0,1,3,22,13.9,+19,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
7,7,2021-11-04,25-066,PHO,,HOU,W (+12),1,30:03,7,11,.636,2,4,.500,0,0,,1,2,3,0,0,1,0,1,16,12.7,+4,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
8,8,2021-11-06,25-068,PHO,,ATL,W (+4),1,30:59,4,8,.500,0,4,.000,0,0,,1,2,3,2,1,1,0,3,8,7.2,+10,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
9,9,2021-11-08,25-070,PHO,@,SAC,W (+5),1,34:46,6,9,.667,1,2,.500,3,3,1.000,1,1,2,1,2,2,0,2,16,16.4,+14,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
10,10,2021-11-10,25-072,PHO,,POR,W (+10),1,38:37,4,10,.400,1,3,.333,1,1,1.000,0,2,2,5,0,1,0,2,10,8.6,+11,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
11,11,2021-11-12,25-074,PHO,@,MEM,W (+25),1,29:10,5,7,.714,3,3,1.000,0,0,,0,2,2,1,2,0,1,4,13,10.8,+15,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
12,12,2021-11-14,25-076,PHO,@,HOU,W (+26),1,30:44,6,13,.462,2,5,.400,0,0,,0,6,6,0,0,0,0,0,14,9.1,+17,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
13,13,2021-11-15,25-077,PHO,@,MIN,W (+3),1,32:49,2,8,.250,0,4,.000,3,4,.750,1,3,4,1,1,0,1,2,7,3.3,+1,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
14,14,2021-11-17,25-079,PHO,,DAL,W (+7),1,36:27,4,11,.364,2,6,.333,0,0,,1,3,4,2,3,1,0,0,10,10.6,+4,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
15,15,2021-11-19,25-081,PHO,,DAL,W (+8),1,36:35,7,7,1.000,3,3,1.000,2,2,1.000,1,3,4,3,1,1,1,4,19,19.7,+9,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
16,16,2021-11-21,25-083,PHO,,DEN,W (+29),1,33:19,3,8,.375,1,4,.250,1,1,1.000,0,6,6,4,1,0,0,0,8,9.2,+21,2022,bridgmi01,https://www.basketball-reference.com/players/b/bridgmi01/gamelog/2022
