Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2015-10-28,27-177,OKC,,SAS,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
2,1,2015-10-30,27-179,OKC,@,ORL,W (+3),0,12:35,1,3,.333,0,1,.000,1,2,.500,0,1,1,0,1,0,1,1,3,0.8,-5,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
3,2,2015-11-01,27-181,OKC,,DEN,W (+24),0,19:56,1,7,.143,1,2,.500,0,0,,1,1,2,0,1,2,1,5,3,-1.1,+7,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
4,3,2015-11-02,27-182,OKC,@,HOU,L (-5),0,15:58,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,1,3,0,-3.0,0,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
5,4,2015-11-04,27-184,OKC,,TOR,L (-5),0,5:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,-4,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
6,5,2015-11-05,27-185,OKC,@,CHI,L (-6),0,3:50,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-2,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
7,6,2015-11-08,27-188,OKC,,PHO,W (+21),0,15:13,1,5,.200,0,3,.000,0,1,.000,0,4,4,0,0,0,1,2,2,-2.1,-11,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
8,7,2015-11-10,27-190,OKC,@,WAS,W (+24),0,18:58,2,2,1.000,2,2,1.000,2,2,1.000,0,3,3,0,1,0,1,4,8,6.7,+7,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
9,8,2015-11-13,27-193,OKC,,PHI,W (+17),0,15:14,0,5,.000,0,3,.000,2,2,1.000,2,3,5,0,1,1,1,1,2,1.1,+9,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
10,9,2015-11-15,27-195,OKC,,BOS,L (-15),0,18:35,3,5,.600,2,4,.500,0,0,,0,2,2,0,1,0,3,1,8,3.9,-14,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
11,10,2015-11-16,27-196,OKC,@,MEM,L (-8),1,11:31,0,5,.000,0,4,.000,0,0,,0,0,0,0,1,0,0,4,0,-4.1,+1,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
12,11,2015-11-18,27-198,OKC,,NOP,W (+7),0,20:38,2,5,.400,1,2,.500,0,0,,0,2,2,0,1,0,0,1,5,3.5,+16,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
13,12,2015-11-20,27-200,OKC,,NYK,L (-3),0,14:23,1,4,.250,0,3,.000,0,2,.000,1,1,2,0,1,0,1,2,2,-1.0,+2,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
14,13,2015-11-22,27-202,OKC,,DAL,W (+3),0,3:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,+3,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
15,14,2015-11-23,27-203,OKC,@,UTA,W (+22),0,3:35,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-9,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
16,,2015-11-25,27-205,OKC,,BRK,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
17,,2015-11-27,27-207,OKC,,DET,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
18,,2015-11-30,27-210,OKC,@,ATL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
19,15,2015-12-03,27-213,OKC,@,MIA,L (-2),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
20,16,2015-12-06,27-216,OKC,,SAC,W (+3),0,13:46,1,4,.250,0,1,.000,0,1,.000,1,2,3,0,2,0,1,4,2,-0.1,-11,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
21,17,2015-12-08,27-218,OKC,@,MEM,W (+37),0,9:45,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-0.8,+4,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
22,18,2015-12-10,27-220,OKC,,ATL,W (+13),0,0:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,2016,singlky01,https://www.basketball-reference.com/players/s/singlky01/gamelog/2016
