Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2007-11-02,21-152,ATL,,DAL,W (+7),1,22:50,3,4,.750,0,0,,3,4,.750,1,9,10,1,0,1,0,5,9,9.8,+4,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
2,2,2007-11-04,21-154,ATL,@,DET,L (-1),1,36:23,1,6,.167,0,0,,1,2,.500,4,7,11,2,1,0,5,2,3,0.3,-10,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
3,3,2007-11-06,21-156,ATL,@,NJN,L (-5),1,29:16,3,6,.500,0,0,,0,4,.000,1,6,7,1,4,2,3,2,6,6.2,-8,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
4,4,2007-11-07,21-157,ATL,,PHO,W (+9),1,28:26,3,5,.600,0,0,,2,2,1.000,4,11,15,0,1,2,5,2,8,8.4,0,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
5,5,2007-11-09,21-159,ATL,@,BOS,L (-23),1,34:43,5,12,.417,0,0,,6,8,.750,4,3,7,1,2,1,2,1,16,13.5,-13,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
6,6,2007-11-11,21-161,ATL,,WAS,L (-11),1,35:05,3,5,.600,0,0,,3,4,.750,4,6,10,1,0,2,3,4,9,8.4,-13,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
7,7,2007-11-14,21-164,ATL,,CHA,W (+8),0,33:50,5,7,.714,0,0,,3,4,.750,4,9,13,3,1,1,4,2,13,14.2,+1,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
8,8,2007-11-16,21-166,ATL,,SEA,L (-3),1,53:02,2,8,.250,0,0,,3,4,.750,2,12,14,2,1,5,4,5,7,6.7,+13,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
9,9,2007-11-17,21-167,ATL,@,MIL,L (-9),0,27:38,4,5,.800,0,0,,0,2,.000,1,7,8,0,0,2,1,2,8,7.7,-3,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
10,10,2007-11-20,21-170,ATL,,SAS,L (-12),0,28:44,5,9,.556,0,0,,1,2,.500,2,6,8,1,0,1,1,4,11,8.3,+5,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
11,11,2007-11-21,21-171,ATL,@,MIA,W (+3),0,26:36,3,10,.300,0,0,,0,0,,5,3,8,2,2,0,0,4,6,6.4,-1,2008,horfoal01,https://www.basketball-reference.com/players/h/horfoal01/gamelog/2008
