Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1994-11-04,23-015,LAL,@,DET,W (+17),1,28:00,3,6,.500,0,0,,2,2,1.000,0,6,6,0,0,1,1,5,8,4.5,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
2,2,1994-11-05,23-016,LAL,@,MIL,L (-1),1,27:00,5,9,.556,0,0,,0,2,.000,0,5,5,2,3,0,1,4,10,8.2,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
3,3,1994-11-08,23-019,LAL,@,NYK,L (-4),1,28:00,6,14,.429,1,3,.333,2,2,1.000,6,2,8,3,6,0,0,3,15,19.3,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
4,4,1994-11-09,23-020,LAL,@,MIN,W (+23),1,26:00,12,15,.800,3,4,.750,4,5,.800,2,2,4,0,1,4,0,3,31,29.5,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
5,5,1994-11-11,23-022,LAL,,DEN,L (-7),1,44:00,9,24,.375,1,5,.200,1,2,.500,2,7,9,1,2,1,2,4,20,9.7,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
6,6,1994-11-12,23-023,LAL,@,GSW,L (-22),1,27:00,5,12,.417,0,3,.000,1,2,.500,3,3,6,2,2,1,2,3,11,8.1,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
7,7,1994-11-15,23-026,LAL,@,LAC,W (+10),0,12:00,2,3,.667,0,0,,1,2,.500,0,1,1,0,1,0,0,3,5,3.4,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
8,8,1994-11-16,23-027,LAL,,NYK,L (-21),1,28:00,4,13,.308,1,3,.333,0,2,.000,3,1,4,1,4,0,2,2,9,5.0,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
9,9,1994-11-18,23-029,LAL,,CLE,W (+2),1,19:00,1,6,.167,0,3,.000,0,0,,1,2,3,4,1,0,2,1,2,0.9,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
10,10,1994-11-23,23-034,LAL,,DAL,W (+12),1,11:00,0,0,,0,0,,1,2,.500,0,1,1,2,1,0,0,3,1,2.1,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
11,11,1994-11-25,23-036,LAL,@,ATL,W (+5),1,17:00,3,9,.333,1,3,.333,0,0,,0,2,2,1,2,0,0,1,7,4.8,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
12,12,1994-11-26,23-037,LAL,@,WSB,W (+16),1,21:00,7,13,.538,1,1,1.000,0,0,,1,4,5,0,3,0,3,4,15,9.0,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
13,13,1994-11-29,23-040,LAL,@,NJN,W (+9),1,14:00,1,5,.200,0,2,.000,0,0,,1,0,1,0,1,0,0,3,2,-0.6,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
14,14,1994-11-30,23-041,LAL,@,CLE,L (-38),1,22:00,2,9,.222,1,4,.250,0,0,,0,2,2,1,0,1,0,3,5,0.3,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
15,15,1994-12-02,23-043,LAL,,HOU,W (+18),1,25:00,7,15,.467,1,3,.333,2,2,1.000,3,1,4,1,1,0,0,3,17,12.2,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
16,16,1994-12-06,23-047,LAL,,GSW,W (+12),1,29:00,7,12,.583,4,6,.667,0,0,,1,4,5,1,1,0,1,2,18,14.2,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
17,17,1994-12-09,23-050,LAL,,LAC,L (-25),1,37:00,5,14,.357,0,5,.000,1,1,1.000,1,6,7,3,0,0,5,1,11,2.4,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
18,18,1994-12-10,23-051,LAL,@,UTA,W (+7),1,25:00,4,7,.571,0,1,.000,0,0,,1,1,2,0,5,1,2,3,8,8.2,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
19,19,1994-12-13,23-054,LAL,@,DAL,W (+7),1,30:00,7,14,.500,1,3,.333,4,4,1.000,2,1,3,0,6,2,1,4,19,18.5,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
20,20,1994-12-15,23-056,LAL,@,HOU,W (+3),1,30:00,6,12,.500,1,2,.500,3,4,.750,0,1,1,0,0,0,0,0,16,9.9,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
21,21,1994-12-17,23-058,LAL,@,SAS,L (-14),1,37:00,6,15,.400,1,7,.143,2,2,1.000,3,2,5,3,1,0,0,3,15,11.5,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
22,22,1994-12-20,23-061,LAL,,MIN,W (+13),1,24:00,2,4,.500,1,2,.500,1,2,.500,0,2,2,1,1,2,0,4,6,5.7,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
23,23,1994-12-23,23-064,LAL,,SAC,W (+11),1,46:00,10,14,.714,2,3,.667,5,7,.714,0,8,8,4,2,0,1,2,27,25.8,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
24,24,1994-12-27,23-068,LAL,@,GSW,L (-24),1,32:00,3,11,.273,1,4,.250,0,0,,1,4,5,5,4,0,1,4,7,7.3,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
25,25,1994-12-29,23-070,LAL,,SEA,W (+1),1,29:00,1,9,.111,0,3,.000,0,0,,0,3,3,3,1,0,1,3,2,-2.1,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
26,26,1994-12-30,23-071,LAL,@,PHO,W (+15),1,32:00,5,11,.455,3,4,.750,1,1,1.000,2,1,3,3,1,1,0,4,14,12.2,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
27,27,1995-01-03,23-075,LAL,,DET,W (+9),1,43:00,6,8,.750,3,3,1.000,7,10,.700,2,4,6,6,0,3,1,3,22,24.3,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
28,28,1995-01-06,23-078,LAL,,MIL,W (+8),1,42:00,9,11,.818,3,4,.750,5,7,.714,1,3,4,4,2,2,1,2,26,27.1,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
29,29,1995-01-08,23-080,LAL,,MIA,W (+17),1,32:00,7,10,.700,4,7,.571,2,2,1.000,0,3,3,3,1,0,2,2,20,17.0,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
30,30,1995-01-09,23-081,LAL,@,POR,L (-46),1,25:00,6,9,.667,1,2,.500,2,2,1.000,1,2,3,1,1,1,3,1,15,11.4,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
31,31,1995-01-11,23-083,LAL,,PHO,L (-10),1,37:00,7,22,.318,3,12,.250,2,2,1.000,0,2,2,2,2,0,1,2,19,8.6,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
32,32,1995-01-13,23-085,LAL,,GSW,W (+11),1,19:00,3,9,.333,0,4,.000,2,2,1.000,3,4,7,3,0,0,3,4,8,3.7,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
33,33,1995-01-16,23-088,LAL,,LAC,W (+8),1,43:00,9,20,.450,3,7,.429,2,3,.667,2,6,8,5,3,2,0,2,23,22.5,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
34,34,1995-01-18,23-090,LAL,@,IND,L (-1),1,38:00,5,13,.385,0,2,.000,0,0,,2,5,7,4,4,1,1,2,10,11.5,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
35,35,1995-01-20,23-092,LAL,@,BOS,W (+2),1,33:00,5,10,.500,0,1,.000,0,0,,0,6,6,1,0,0,4,0,10,3.5,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
36,36,1995-01-21,23-093,LAL,@,PHI,L (-4),1,41:00,6,15,.400,3,9,.333,3,5,.600,0,3,3,5,1,0,4,4,18,8.9,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
37,37,1995-01-23,23-095,LAL,@,CHH,W (+6),1,35:00,3,11,.273,1,3,.333,2,2,1.000,1,2,3,6,2,2,0,3,9,10.2,1995,jonesed02,https://www.basketball-reference.com/players/j/jonesed02/gamelog/1995
