Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
12,,2016-11-18,24-206,TOR,@,DEN,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
13,,2016-11-20,24-208,TOR,@,SAC,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
14,,2016-11-21,24-209,TOR,@,LAC,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
15,,2016-11-23,24-211,TOR,@,HOU,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
16,,2016-11-25,24-213,TOR,@,MIL,W (+6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
17,,2016-11-28,24-216,TOR,,PHI,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
18,,2016-11-30,24-218,TOR,,MEM,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
19,,2016-12-02,24-220,TOR,,LAL,W (+33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
20,,2016-12-03,24-221,TOR,,ATL,W (+44),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
21,,2016-12-05,24-223,TOR,,CLE,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
22,,2016-12-08,24-226,TOR,,MIN,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
23,,2016-12-09,24-227,TOR,@,BOS,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
24,,2016-12-12,24-230,TOR,,MIL,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
25,,2016-12-14,24-232,TOR,@,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
26,,2016-12-16,24-234,TOR,,ATL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
27,,2016-12-18,24-236,TOR,@,ORL,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
28,,2016-12-20,24-238,TOR,,BRK,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
29,,2016-12-23,24-241,TOR,@,UTA,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
30,,2016-12-26,24-244,TOR,@,POR,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
31,,2016-12-28,24-246,TOR,@,GSW,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
32,,2016-12-29,24-247,TOR,@,PHO,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
33,,2017-01-01,24-250,TOR,@,LAL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
34,,2017-01-03,24-252,TOR,@,SAS,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
35,,2017-01-05,24-254,TOR,,UTA,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
36,,2017-01-07,24-256,TOR,@,CHI,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
37,,2017-01-08,24-257,TOR,,HOU,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
38,,2017-01-10,24-259,TOR,,BOS,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
39,,2017-01-13,24-262,TOR,,BRK,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
40,,2017-01-15,24-264,TOR,,NYK,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
41,,2017-01-17,24-266,TOR,@,BRK,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
42,,2017-01-18,24-267,TOR,@,PHI,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
43,,2017-01-20,24-269,TOR,@,CHO,L (-35),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
44,,2017-01-22,24-271,TOR,,PHO,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
45,,2017-01-24,24-273,TOR,,SAS,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
46,,2017-01-25,24-274,TOR,@,MEM,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
47,,2017-01-27,24-276,TOR,,MIL,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
48,,2017-01-29,24-278,TOR,,ORL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
49,,2017-01-31,24-280,TOR,,NOP,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
50,,2017-02-01,24-281,TOR,@,BOS,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
51,,2017-02-03,24-283,TOR,@,ORL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
52,,2017-02-05,24-285,TOR,@,BRK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
53,,2017-02-06,24-286,TOR,,LAC,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
54,,2017-02-08,24-288,TOR,@,MIN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
55,,2017-02-12,24-292,TOR,,DET,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
56,1,2017-02-14,24-294,TOR,@,CHI,L (-11),0,9:38,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,1.6,+6,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
57,2,2017-02-15,24-295,TOR,,CHO,W (+5),0,27:46,3,5,.600,0,1,.000,5,6,.833,1,0,1,2,2,1,0,1,11,12.7,+11,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
58,3,2017-02-24,24-304,TOR,,BOS,W (+10),0,11:37,1,5,.200,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-0.1,-11,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
59,4,2017-02-26,24-306,TOR,,POR,W (+6),0,14:54,5,9,.556,1,3,.333,0,0,,0,2,2,1,0,0,0,4,11,6.4,+5,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
60,5,2017-02-27,24-307,TOR,@,NYK,W (+1),0,14:30,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,1,5,4.6,+3,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
61,6,2017-03-01,24-309,TOR,,WAS,L (-9),0,19:58,1,2,.500,0,0,,4,4,1.000,0,1,1,2,2,0,1,2,6,6.9,0,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
62,7,2017-03-03,24-311,TOR,@,WAS,W (+8),0,21:52,2,2,1.000,1,1,1.000,4,6,.667,0,1,1,1,1,4,2,1,9,10.0,+23,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
63,8,2017-03-04,24-312,TOR,@,MIL,L (-7),0,10:35,0,3,.000,0,2,.000,1,2,.500,0,0,0,1,0,1,1,0,1,-1.1,-15,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
64,9,2017-03-08,24-316,TOR,@,NOP,W (+7),0,11:57,1,5,.200,1,2,.500,0,0,,3,2,5,1,1,0,1,3,3,2.1,-2,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
65,10,2017-03-10,24-318,TOR,@,ATL,L (-6),0,13:25,0,2,.000,0,0,,1,2,.500,0,2,2,1,0,0,0,2,1,-0.3,-5,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
66,11,2017-03-11,24-319,TOR,@,MIA,L (-15),0,25:11,5,8,.625,0,0,,3,3,1.000,2,1,3,3,3,0,2,2,13,13.4,+2,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
67,12,2017-03-13,24-321,TOR,,DAL,W (+22),0,20:18,4,8,.500,1,3,.333,2,2,1.000,0,4,4,3,1,1,0,1,11,11.6,+13,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
68,13,2017-03-16,24-324,TOR,,OKC,L (-21),0,20:11,2,6,.333,0,1,.000,6,7,.857,0,2,2,1,2,0,1,2,10,7.7,+4,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
69,14,2017-03-17,24-325,TOR,@,DET,W (+12),0,6:07,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-3,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
70,15,2017-03-19,24-327,TOR,,IND,W (+25),0,24:05,2,6,.333,0,2,.000,0,0,,2,1,3,5,2,0,2,1,4,5.4,+21,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
71,16,2017-03-21,24-329,TOR,,CHI,W (+2),0,5:24,0,0,,0,0,,0,0,,0,1,1,0,0,0,3,0,0,-2.7,-7,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
72,17,2017-03-23,24-331,TOR,@,MIA,W (+17),0,23:45,4,7,.571,0,0,,5,7,.714,1,6,7,3,2,0,2,1,13,13.1,+26,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
73,18,2017-03-25,24-333,TOR,@,DAL,W (+8),0,23:32,3,7,.429,1,3,.333,1,2,.500,1,2,3,4,1,1,4,3,8,4.5,+7,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
74,19,2017-03-27,24-335,TOR,,ORL,W (+19),0,18:22,3,6,.500,1,2,.500,0,0,,0,1,1,3,3,2,1,2,7,9.0,+8,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
75,20,2017-03-29,24-337,TOR,,CHO,L (-4),0,14:07,1,3,.333,0,1,.000,0,0,,0,0,0,4,0,0,0,1,2,2.7,-14,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
76,21,2017-03-31,24-339,TOR,,IND,W (+11),0,20:50,4,5,.800,1,1,1.000,2,4,.500,2,0,2,6,0,0,1,0,11,12.9,+5,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
77,22,2017-04-02,24-341,TOR,,PHI,W (+8),0,26:38,1,4,.250,0,0,,2,2,1.000,1,1,2,5,4,0,3,1,4,6.7,+1,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
78,23,2017-04-04,24-343,TOR,@,IND,L (-18),0,16:30,2,3,.667,1,1,1.000,0,0,,0,1,1,4,0,1,0,0,5,7.5,-3,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
79,24,2017-04-05,24-344,TOR,@,DET,W (+3),0,8:38,0,0,,0,0,,0,0,,1,1,2,3,1,0,0,1,0,3.7,+5,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
80,25,2017-04-07,24-346,TOR,,MIA,W (+2),0,4:38,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,2.7,-2,2017,wrighde01,https://www.basketball-reference.com/players/w/wrighde01/gamelog/2017
