Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,23-098,OKC,@,PHI,W (+6),1,35:33,7,16,.438,0,0,,2,2,1.000,2,3,5,1,3,0,2,4,16,10.0,+13,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
2,2,2016-10-28,23-100,OKC,,PHO,W (+3),1,39:42,3,8,.375,0,0,,3,3,1.000,6,4,10,0,1,0,6,2,9,4.2,-4,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
3,3,2016-10-30,23-102,OKC,,LAL,W (+17),1,29:34,6,12,.500,0,0,,2,2,1.000,3,9,12,2,3,2,2,2,14,15.8,+13,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
4,4,2016-11-02,23-105,OKC,@,LAC,W (+2),1,31:16,1,3,.333,0,0,,0,0,,2,9,11,1,1,0,3,5,2,1.1,+10,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
5,5,2016-11-03,23-106,OKC,@,GSW,L (-26),1,23:48,5,7,.714,0,0,,1,2,.500,3,1,4,1,2,2,1,3,11,12.0,+7,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
6,6,2016-11-05,23-108,OKC,,MIN,W (+20),1,28:22,6,7,.857,0,0,,2,2,1.000,3,5,8,2,2,2,3,1,14,16.5,+24,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
7,7,2016-11-07,23-110,OKC,,MIA,W (+12),1,29:16,3,5,.600,0,0,,0,0,,0,6,6,0,3,2,2,3,6,6.7,+18,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
8,8,2016-11-09,23-112,OKC,,TOR,L (-10),1,35:26,3,5,.600,0,0,,8,8,1.000,6,6,12,1,2,1,1,3,14,18.9,-7,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
9,9,2016-11-11,23-114,OKC,,LAC,L (-2),1,32:11,2,5,.400,0,0,,2,2,1.000,1,4,5,1,0,0,1,4,6,3.3,-4,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
10,10,2016-11-13,23-116,OKC,,ORL,L (-2),1,34:44,6,13,.462,0,0,,1,1,1.000,4,6,10,0,1,1,1,1,13,11.2,+4,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
11,11,2016-11-14,23-117,OKC,@,DET,L (-16),1,29:11,1,3,.333,0,0,,2,4,.500,5,6,11,0,1,1,3,2,4,4.7,+2,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
12,12,2016-11-16,23-119,OKC,,HOU,W (+2),1,33:29,3,7,.429,0,0,,0,0,,0,6,6,1,0,3,2,1,6,4.5,+6,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
13,13,2016-11-18,23-121,OKC,,BRK,W (+19),1,31:58,4,6,.667,0,0,,7,8,.875,3,4,7,0,0,2,3,1,15,13.3,+13,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
14,14,2016-11-20,23-123,OKC,,IND,L (-4),1,33:43,3,7,.429,0,0,,2,2,1.000,4,4,8,0,2,0,4,5,8,4.3,-15,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
15,15,2016-11-22,23-125,OKC,@,LAL,L (-2),1,31:18,9,13,.692,0,0,,2,2,1.000,4,2,6,2,1,1,1,1,20,19.6,+6,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
16,16,2016-11-23,23-126,OKC,@,SAC,L (-15),1,28:23,4,7,.571,0,0,,3,4,.750,0,4,4,0,0,2,0,3,11,8.7,-19,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
17,17,2016-11-25,23-128,OKC,@,DEN,W (+3),1,30:24,3,7,.429,0,0,,1,2,.500,1,5,6,1,3,0,1,5,7,5.8,+5,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
18,18,2016-11-26,23-129,OKC,,DET,W (+18),1,29:25,7,9,.778,0,0,,2,5,.400,3,6,9,0,1,0,2,1,16,13.8,+10,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
19,19,2016-11-28,23-131,OKC,@,NYK,W (+9),1,31:41,7,11,.636,0,0,,0,0,,4,6,10,0,0,0,1,2,14,11.9,+7,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
20,20,2016-11-30,23-133,OKC,,WAS,W (+11),1,27:49,3,6,.500,0,0,,6,10,.600,2,4,6,0,0,0,1,1,12,8.6,-5,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
21,21,2016-12-04,23-137,OKC,,NOP,W (+9),1,8:43,3,3,1.000,0,0,,1,1,1.000,0,3,3,0,1,0,0,0,7,8.0,+6,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
22,22,2016-12-05,23-138,OKC,@,ATL,W (+3),1,27:53,5,10,.500,0,0,,2,5,.400,6,4,10,0,1,0,2,4,12,8.6,+6,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
23,23,2016-12-09,23-142,OKC,,HOU,L (-3),1,28:55,8,9,.889,0,0,,8,9,.889,2,8,10,1,1,0,4,2,24,21.2,-12,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
24,24,2016-12-11,23-144,OKC,,BOS,W (+3),1,32:07,7,8,.875,0,0,,2,5,.400,4,4,8,2,1,1,0,0,16,19.1,+2,2017,adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2017
