Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2007-10-31,20-020,MEM,,SAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
2,,2007-11-03,20-023,MEM,,IND,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
3,1,2007-11-07,20-027,MEM,@,SEA,W (+7),0,8:32,1,5,.200,0,2,.000,0,0,,0,0,0,1,1,0,0,1,2,0.2,-5,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
4,2,2007-11-09,20-029,MEM,@,POR,L (-12),0,16:55,3,4,.750,1,1,1.000,1,1,1.000,1,0,1,4,1,0,1,1,8,9.5,-13,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
5,3,2007-11-10,20-030,MEM,@,UTA,L (-24),0,23:09,2,5,.400,0,0,,6,8,.750,1,1,2,9,0,0,2,1,10,11.4,-10,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
6,,2007-11-13,20-033,MEM,,HOU,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
7,4,2007-11-14,20-034,MEM,@,MIL,L (-3),0,18:13,2,3,.667,0,0,,2,2,1.000,0,1,1,6,0,0,1,0,6,8.2,+9,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
8,,2007-11-16,20-036,MEM,,NOH,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
9,5,2007-11-17,20-037,MEM,@,DAL,L (-3),0,5:04,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,0,0,2,2.4,-5,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
10,,2007-11-19,20-039,MEM,,SEA,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
11,,2007-11-21,20-041,MEM,,TOR,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
12,,2007-11-23,20-043,MEM,@,SAS,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
13,,2007-11-24,20-044,MEM,,WAS,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
14,,2007-11-27,20-047,MEM,@,NJN,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
15,,2007-11-28,20-048,MEM,@,TOR,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
16,,2007-12-01,20-051,MEM,,MIN,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
17,,2007-12-03,20-053,MEM,,POR,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
18,,2007-12-05,20-055,MEM,@,HOU,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
19,,2007-12-07,20-057,MEM,@,NOH,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2008,conlemi01,https://www.basketball-reference.com/players/c/conlemi01/gamelog/2008
