Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2014-10-29,29-150,PHO,,LAL,W (+20),0,11:46,2,2,1.000,2,2,1.000,1,2,.500,1,5,6,0,0,0,2,3,7,5.0,-14,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
2,2,2014-10-31,29-152,PHO,,SAS,W (+5),0,16:42,0,2,.000,0,2,.000,1,2,.500,0,2,2,0,0,0,0,1,1,-0.6,+2,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
3,3,2014-11-01,29-153,PHO,@,UTA,L (-27),0,10:37,2,3,.667,1,2,.500,0,0,,0,4,4,0,0,0,2,0,5,2.9,-6,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
4,4,2014-11-04,29-156,PHO,@,LAL,W (+6),0,8:34,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,1,0,0,0,-0.1,+6,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
5,5,2014-11-05,29-157,PHO,,MEM,L (-11),0,7:38,1,3,.333,1,3,.333,0,0,,0,2,2,0,0,0,0,0,3,1.9,+8,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
6,,2014-11-07,29-159,PHO,,SAC,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
7,6,2014-11-09,29-161,PHO,,GSW,W (+12),0,10:49,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,0,1,3,2.6,-4,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
8,7,2014-11-12,29-164,PHO,,BRK,W (+8),0,8:49,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-7,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
9,8,2014-11-14,29-166,PHO,,CHO,L (-8),0,7:58,0,2,.000,0,2,.000,0,0,,1,1,2,0,0,0,1,2,0,-2.2,-12,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
10,9,2014-11-15,29-167,PHO,@,LAC,L (-13),0,3:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,2015,tollian01,https://www.basketball-reference.com/players/t/tollian01/gamelog/2015
