Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-02-05,27-036,CHI,@,UTA,L (-8),1,30:07,5,9,.556,2,5,.400,1,2,.500,2,3,5,4,2,0,2,6,13,11.0,+9,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
2,2,1999-02-07,27-038,CHI,@,LAC,W (+5),1,41:36,4,12,.333,2,7,.286,5,7,.714,1,3,4,1,0,0,0,2,15,8.9,+5,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
3,3,1999-02-09,27-040,CHI,,ATL,L (-16),1,27:11,2,8,.250,0,4,.000,0,2,.000,0,1,1,0,2,0,3,5,4,-4.3,-12,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
4,4,1999-02-11,27-042,CHI,,NYK,L (-5),1,38:35,3,9,.333,2,5,.400,7,8,.875,0,6,6,3,2,0,1,2,15,13.6,-7,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
5,5,1999-02-14,27-045,CHI,,SAS,L (-13),1,30:08,2,6,.333,1,3,.333,2,2,1.000,3,1,4,2,2,0,1,1,7,8.0,-9,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
6,6,1999-02-16,27-047,CHI,,ATL,L (-16),1,27:29,4,13,.308,0,6,.000,2,2,1.000,3,2,5,5,2,0,0,3,10,9.5,-14,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
7,7,1999-02-17,27-048,CHI,@,MIL,L (-8),1,25:25,2,6,.333,0,1,.000,0,1,.000,0,1,1,2,1,1,3,5,4,-1.4,-17,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
8,8,1999-02-19,27-050,CHI,@,WAS,L (-2),1,33:22,8,11,.727,4,6,.667,2,3,.667,0,5,5,6,1,1,3,3,22,20.3,-1,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
9,9,1999-02-21,27-052,CHI,@,NYK,L (-16),1,33:33,7,14,.500,5,7,.714,0,0,,1,3,4,2,5,0,6,4,19,12.4,-21,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
10,10,1999-02-22,27-053,CHI,@,ATL,W (+9),0,25:28,2,12,.167,1,6,.167,4,4,1.000,0,1,1,3,0,0,2,1,9,1.4,-7,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
11,11,1999-02-23,27-054,CHI,,MIL,L (-2),0,30:10,3,6,.500,2,4,.500,7,9,.778,1,2,3,3,0,0,2,0,15,12.6,0,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
12,12,1999-02-25,27-056,CHI,,PHI,L (-18),0,28:43,5,9,.556,3,6,.500,0,0,,0,0,0,4,2,0,3,4,13,8.9,-11,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
13,13,1999-02-27,27-058,CHI,,CHH,W (+17),0,26:31,2,10,.200,1,7,.143,4,5,.800,1,3,4,5,1,1,0,4,9,7.6,-1,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
14,14,1999-02-28,27-059,CHI,@,TOR,W (+2),1,42:39,8,18,.444,1,4,.250,2,3,.667,4,7,11,3,1,1,2,1,19,15.5,+15,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
15,15,1999-03-02,27-061,CHI,,DET,L (-30),1,28:50,3,7,.429,0,2,.000,3,4,.750,0,1,1,0,0,0,1,1,9,3.8,-22,1999,barrybr01,https://www.basketball-reference.com/players/b/barrybr01/gamelog/1999
