Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
23,18,2015-12-09,24-060,MIL,,LAC,L (-14),0,32:07,9,16,.563,0,0,,2,3,.667,0,1,1,11,1,0,2,4,20,17.4,+1,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
24,19,2015-12-11,24-062,MIL,@,TOR,L (-7),0,27:29,1,7,.143,0,1,.000,0,0,,0,3,3,6,0,1,3,3,2,-0.9,-8,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
25,20,2015-12-12,24-063,MIL,,GSW,W (+13),0,30:01,7,10,.700,0,0,,3,3,1.000,1,2,3,7,5,0,1,4,17,21.4,+22,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
26,21,2015-12-15,24-066,MIL,@,LAL,L (-18),0,31:44,9,18,.500,0,0,,1,2,.500,2,3,5,5,2,1,1,3,19,15.9,-9,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
27,22,2015-12-16,24-067,MIL,@,LAC,L (-13),1,39:14,8,18,.444,0,0,,1,2,.500,1,5,6,5,1,0,4,2,17,9.1,-14,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
28,23,2015-12-18,24-069,MIL,@,GSW,L (-9),1,38:56,9,18,.500,1,1,1.000,5,6,.833,2,3,5,4,1,1,2,3,24,18.2,-8,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
29,24,2015-12-20,24-071,MIL,@,PHO,W (+6),1,35:38,9,16,.563,0,1,.000,2,4,.500,1,8,9,6,1,1,3,3,20,16.4,+10,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
30,25,2015-12-23,24-074,MIL,,PHI,W (+13),1,32:39,9,13,.692,0,0,,0,0,,0,5,5,9,4,0,7,1,18,16.9,+19,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
31,26,2015-12-26,24-077,MIL,,TOR,L (-21),1,32:28,4,13,.308,0,0,,0,0,,1,7,8,3,2,0,2,3,8,4.2,-20,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
32,27,2015-12-28,24-079,MIL,@,DAL,L (-10),1,21:13,4,8,.500,0,1,.000,0,0,,0,5,5,0,0,0,2,1,8,3.1,-18,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
33,28,2015-12-29,24-080,MIL,@,OKC,L (-8),1,31:41,8,14,.571,1,1,1.000,2,6,.333,4,5,9,9,2,0,2,4,19,19.8,+9,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
34,29,2015-12-31,24-082,MIL,@,IND,W (+4),1,38:15,4,9,.444,0,0,,3,6,.500,1,6,7,8,3,3,4,3,11,13.1,+13,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
35,30,2016-01-02,24-084,MIL,@,MIN,W (+10),1,34:50,1,7,.143,0,0,,3,4,.750,1,6,7,6,2,3,1,4,5,8.3,-5,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
36,31,2016-01-04,24-086,MIL,,SAS,L (-25),1,31:26,6,10,.600,1,1,1.000,3,6,.500,0,4,4,6,1,1,0,3,16,16.1,-7,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
37,32,2016-01-05,24-087,MIL,@,CHI,L (-11),1,37:25,9,14,.643,1,1,1.000,1,1,1.000,0,3,3,12,2,0,2,1,20,22.7,-14,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
38,33,2016-01-08,24-090,MIL,,DAL,W (+1),1,41:12,5,12,.417,0,1,.000,5,8,.625,2,10,12,8,5,1,3,2,15,19.3,-2,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
39,34,2016-01-10,24-092,MIL,@,NYK,L (-12),1,22:27,1,8,.125,0,1,.000,2,4,.500,1,4,5,6,2,0,3,3,4,1.9,-22,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
40,35,2016-01-12,24-094,MIL,,CHI,W (+5),1,36:55,4,13,.308,0,0,,3,5,.600,0,4,4,6,3,0,0,3,11,9.9,+5,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
41,36,2016-01-13,24-095,MIL,@,WAS,L (-5),1,26:19,2,6,.333,0,0,,0,0,,1,4,5,6,3,0,4,1,4,5.3,-1,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
42,37,2016-01-15,24-097,MIL,,ATL,W (+7),1,41:51,5,15,.333,2,3,.667,3,3,1.000,1,8,9,7,3,2,6,5,15,10.9,+7,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
43,38,2016-01-16,24-098,MIL,@,CHO,W (+13),1,26:15,3,8,.375,1,2,.500,2,2,1.000,0,6,6,4,0,2,1,4,9,8.0,+9,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
44,39,2016-01-19,24-101,MIL,@,MIA,W (+12),1,25:12,3,5,.600,0,0,,1,2,.500,1,2,3,0,2,0,1,1,7,6.2,+20,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
45,40,2016-01-22,24-104,MIL,@,HOU,L (-4),1,34:45,4,11,.364,0,2,.000,3,5,.600,4,8,12,5,2,0,4,3,11,9.6,-3,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
46,41,2016-01-23,24-105,MIL,@,NOP,L (-17),1,32:56,9,12,.750,0,0,,1,2,.500,0,4,4,5,2,2,4,4,19,16.3,-2,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
47,42,2016-01-26,24-108,MIL,,ORL,W (+7),1,37:59,2,8,.250,0,1,.000,1,2,.500,0,2,2,5,1,0,3,5,5,-0.1,+2,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
48,43,2016-01-28,24-110,MIL,@,MEM,L (-20),1,27:15,4,7,.571,0,2,.000,2,2,1.000,1,5,6,1,0,0,3,2,10,5.8,-11,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
49,44,2016-01-29,24-111,MIL,,MIA,L (-4),1,26:17,4,9,.444,0,1,.000,1,2,.500,1,7,8,6,2,0,2,5,9,8.9,-2,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
50,45,2016-02-01,24-114,MIL,@,SAC,L (-7),1,34:12,6,8,.750,1,1,1.000,5,6,.833,0,5,5,13,1,1,3,4,18,22.1,-1,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
51,46,2016-02-02,24-115,MIL,@,POR,L (-12),1,25:40,1,4,.250,0,1,.000,0,0,,3,3,6,2,0,0,2,2,2,1.2,-9,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
52,47,2016-02-05,24-118,MIL,@,UTA,L (-3),1,28:35,5,14,.357,0,2,.000,0,1,.000,1,5,6,4,3,1,3,3,10,6.3,-8,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
53,48,2016-02-09,24-122,MIL,,BOS,W (+1),0,26:01,6,8,.750,0,1,.000,4,6,.667,1,5,6,5,1,0,2,5,16,14.7,+7,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
54,49,2016-02-11,24-124,MIL,,WAS,W (+7),0,20:06,1,5,.200,0,1,.000,3,4,.750,1,4,5,3,1,0,4,3,5,1.3,+9,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
55,50,2016-02-19,24-132,MIL,,CHO,L (-3),0,29:20,6,7,.857,2,3,.667,0,0,,0,6,6,3,1,2,2,3,14,14.6,-9,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
56,51,2016-02-20,24-133,MIL,@,ATL,W (+8),0,38:29,6,14,.429,0,3,.000,5,8,.625,1,8,9,2,1,3,1,5,17,13.0,-2,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
57,52,2016-02-22,24-135,MIL,,LAL,W (+7),0,34:33,4,12,.333,0,1,.000,2,3,.667,1,4,5,2,2,1,0,4,10,7.2,-7,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
58,53,2016-02-25,24-138,MIL,@,BOS,L (-5),0,32:38,5,13,.385,0,2,.000,2,2,1.000,0,3,3,3,0,0,3,4,12,3.3,-4,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
59,54,2016-02-27,24-140,MIL,,DET,L (-11),0,26:24,4,10,.400,0,1,.000,0,3,.000,0,4,4,3,0,3,7,3,8,-1.4,-8,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
60,,2016-02-29,24-142,MIL,,HOU,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
61,,2016-03-02,24-144,MIL,,IND,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
62,,2016-03-04,24-146,MIL,,MIN,W (+15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
63,,2016-03-06,24-148,MIL,,OKC,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
64,,2016-03-07,24-149,MIL,@,CHI,L (-10),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
65,,2016-03-09,24-151,MIL,,MIA,W (+6),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
66,,2016-03-12,24-154,MIL,,NOP,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
67,,2016-03-13,24-155,MIL,@,BRK,W (+9),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
68,,2016-03-15,24-157,MIL,,TOR,L (-18),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
69,,2016-03-17,24-159,MIL,,MEM,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
70,,2016-03-20,24-162,MIL,,UTA,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
71,,2016-03-21,24-163,MIL,@,DET,L (-1),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
72,,2016-03-23,24-165,MIL,@,CLE,L (-9),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
73,,2016-03-25,24-167,MIL,@,ATL,L (-11),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
74,,2016-03-26,24-168,MIL,,CHO,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
75,,2016-03-30,24-172,MIL,,PHO,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
76,,2016-04-01,24-174,MIL,,ORL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
77,,2016-04-03,24-176,MIL,,CHI,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
78,,2016-04-05,24-178,MIL,,CLE,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
79,,2016-04-08,24-181,MIL,@,BOS,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
80,,2016-04-10,24-183,MIL,@,PHI,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
81,,2016-04-11,24-184,MIL,@,ORL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
82,,2016-04-13,24-186,MIL,,IND,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,cartemi01,https://www.basketball-reference.com/players/c/cartemi01/gamelog/2016
