Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,25-243,NYK,@,SAS,L (-9),0,26:03,4,9,.444,1,2,.500,2,2,1.000,0,2,2,8,5,0,0,5,11,15.5,+14,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
2,2,2019-10-25,25-245,NYK,@,BRK,L (-4),1,24:07,4,10,.400,2,3,.667,0,0,,2,2,4,2,0,0,2,1,10,5.6,-7,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
3,3,2019-10-26,25-246,NYK,,BOS,L (-23),1,30:46,2,7,.286,2,3,.667,2,2,1.000,0,4,4,5,4,0,4,2,8,7.8,0,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
4,4,2019-10-28,25-248,NYK,,CHI,W (+7),1,20:42,1,3,.333,0,0,,1,2,.500,1,1,2,0,1,0,1,0,3,1.9,-4,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
5,,2019-10-30,25-250,NYK,@,ORL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
6,,2019-11-01,25-252,NYK,@,BOS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
7,,2019-11-03,25-254,NYK,,SAC,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
8,,2019-11-06,25-257,NYK,@,DET,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
9,,2019-11-08,25-259,NYK,@,DAL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
10,,2019-11-10,25-261,NYK,,CLE,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
11,,2019-11-12,25-263,NYK,@,CHI,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,paytoel01,https://www.basketball-reference.com/players/p/paytoel01/gamelog/2020
