Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2001-10-30,20-345,SEA,@,SAC,L (-6),0,19:04,2,7,.286,2,5,.400,0,2,.000,0,3,3,1,1,1,3,4,6,-0.2,0,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
2,2,2001-11-01,20-347,SEA,,SAS,W (+6),0,18:14,3,7,.429,1,3,.333,2,2,1.000,1,2,3,1,0,0,0,3,9,6.1,+9,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
3,3,2001-11-03,20-349,SEA,,UTA,L (-17),0,17:50,1,5,.200,0,1,.000,0,0,,0,2,2,1,2,0,1,1,2,0.8,-14,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
4,4,2001-11-05,20-351,SEA,@,ORL,W (+4),0,3:15,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-1.7,-1,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
5,5,2001-11-06,20-352,SEA,@,MIA,L (-2),0,21:18,4,6,.667,3,4,.750,1,2,.500,2,5,7,1,1,0,4,1,12,9.2,+11,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
6,6,2001-11-08,20-354,SEA,@,NJN,L (-12),1,23:25,1,7,.143,0,1,.000,2,2,1.000,4,3,7,3,2,0,1,2,4,5.5,-5,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
7,7,2001-11-09,20-355,SEA,@,BOS,L (-10),0,19:10,4,5,.800,1,1,1.000,0,0,,1,3,4,0,2,0,0,0,9,10.7,+6,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
8,8,2001-11-11,20-357,SEA,@,WAS,W (+15),0,11:56,0,4,.000,0,1,.000,0,0,,1,1,2,0,0,1,1,4,0,-3.7,+3,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
9,9,2001-11-13,20-359,SEA,,PHO,L (-1),0,12:57,1,2,.500,1,2,.500,0,0,,0,1,1,0,2,0,2,1,3,1.9,-4,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
10,10,2001-11-16,20-362,SEA,,GSW,W (+9),0,5:37,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2,1.6,-4,2002,radmavl01,https://www.basketball-reference.com/players/r/radmavl01/gamelog/2002
