Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-25,28-225,GSW,,SAS,L (-29),1,34:06,9,18,.500,3,10,.300,5,6,.833,0,3,3,4,0,0,4,1,26,15.9,-9,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
2,2,2016-10-28,28-228,GSW,@,NOP,W (+8),1,34:04,8,19,.421,4,10,.400,3,4,.750,1,0,1,8,1,0,4,3,23,14.6,+4,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
3,3,2016-10-30,28-230,GSW,@,PHO,W (+6),1,34:13,9,17,.529,5,8,.625,5,5,1.000,0,1,1,3,0,0,1,5,28,19.1,0,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
4,4,2016-11-01,28-232,GSW,@,POR,W (+23),1,29:30,10,21,.476,5,10,.500,3,4,.750,1,3,4,3,1,0,4,3,28,16.4,+24,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
5,5,2016-11-03,28-234,GSW,,OKC,W (+26),1,30:03,6,14,.429,2,6,.333,7,8,.875,0,1,1,7,2,1,1,1,21,19.7,+17,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
6,6,2016-11-04,28-235,GSW,@,LAL,L (-20),1,31:06,5,17,.294,0,10,.000,3,3,1.000,0,8,8,10,2,1,2,3,13,12.0,-5,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
7,7,2016-11-07,28-238,GSW,,NOP,W (+10),1,35:39,16,26,.615,13,17,.765,1,2,.500,3,2,5,5,2,0,4,2,46,37.2,+7,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
8,8,2016-11-09,28-240,GSW,,DAL,W (+21),1,30:50,8,12,.667,4,8,.500,4,4,1.000,0,3,3,6,1,0,5,1,24,19.5,+17,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
9,9,2016-11-10,28-241,GSW,@,DEN,W (+24),1,29:56,10,17,.588,7,13,.538,6,6,1.000,1,4,5,6,1,0,4,1,33,27.8,+27,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
10,10,2016-11-13,28-244,GSW,,PHO,W (+13),1,36:46,9,17,.529,5,9,.556,7,7,1.000,0,6,6,6,2,0,3,2,30,25.9,+22,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
11,11,2016-11-16,28-247,GSW,@,TOR,W (+6),1,37:22,10,19,.526,3,9,.333,12,13,.923,2,1,3,7,1,0,3,3,35,28.7,+5,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
12,12,2016-11-18,28-249,GSW,@,BOS,W (+16),1,36:18,7,20,.350,2,10,.200,0,0,,0,3,3,8,4,1,2,4,16,12.4,+19,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
13,13,2016-11-19,28-250,GSW,@,MIL,W (+3),1,34:41,7,21,.333,1,11,.091,5,5,1.000,0,5,5,5,1,0,3,4,20,9.5,+1,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
14,14,2016-11-21,28-252,GSW,@,IND,W (+37),1,29:30,6,11,.545,2,6,.333,8,8,1.000,2,4,6,6,1,0,1,1,22,23.1,+34,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
15,15,2016-11-23,28-254,GSW,,LAL,W (+43),1,28:45,11,18,.611,7,12,.583,2,2,1.000,0,5,5,9,1,0,1,1,31,30.2,+32,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
16,16,2016-11-25,28-256,GSW,@,LAL,W (+24),1,35:36,8,17,.471,4,10,.400,4,4,1.000,2,3,5,5,3,0,3,1,24,20.7,+14,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
17,17,2016-11-26,28-257,GSW,,MIN,W (+13),1,37:10,13,19,.684,4,8,.500,4,4,1.000,1,7,8,6,1,0,6,4,34,26.3,+16,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
18,18,2016-11-28,28-259,GSW,,ATL,W (+5),1,38:14,6,17,.353,4,11,.364,9,11,.818,0,3,3,3,2,0,3,2,25,15.9,+6,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
19,19,2016-12-01,28-262,GSW,,HOU,L (-5),1,38:23,9,22,.409,4,13,.308,6,6,1.000,1,2,3,5,3,1,5,6,28,17.3,+10,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
20,20,2016-12-03,28-264,GSW,,PHO,W (+29),1,29:50,10,15,.667,5,7,.714,6,6,1.000,0,2,2,1,1,0,3,2,31,23.0,+15,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
21,21,2016-12-05,28-266,GSW,,IND,W (+36),1,29:09,4,10,.400,2,7,.286,3,4,.750,0,4,4,11,2,1,0,4,13,17.2,+24,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
22,22,2016-12-07,28-268,GSW,@,LAC,W (+17),1,33:17,7,16,.438,0,8,.000,5,5,1.000,0,4,4,6,7,0,3,3,19,18.8,+18,2017,curryst01,https://www.basketball-reference.com/players/c/curryst01/gamelog/2017
