Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,11,2013-11-18,25-344,CHA,@,CHI,L (-5),1,31:20,5,15,.333,2,2,1.000,4,4,1.000,2,6,8,6,1,0,2,4,16,12.3,-7,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
12,12,2013-11-20,25-346,CHA,,BRK,W (+4),1,30:45,4,12,.333,1,2,.500,4,5,.800,2,0,2,5,2,0,1,2,13,10.9,-2,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
13,13,2013-11-22,25-348,CHA,,PHO,L (-7),1,34:21,6,12,.500,0,1,.000,5,6,.833,0,4,4,3,1,1,1,4,17,13.0,+7,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
14,14,2013-11-23,25-349,CHA,@,MIL,W (+24),1,26:02,7,12,.583,1,2,.500,2,5,.400,0,4,4,3,1,0,0,2,17,13.7,+24,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
15,15,2013-11-25,25-351,CHA,,BOS,L (-10),1,36:45,7,17,.412,0,2,.000,6,6,1.000,0,5,5,1,1,0,2,0,20,12.1,+10,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
16,16,2013-11-27,25-353,CHA,,IND,L (-25),1,31:07,3,15,.200,0,0,,4,4,1.000,0,4,4,1,0,1,2,3,10,0.1,-24,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
17,17,2013-11-29,25-355,CHA,,MIL,W (+16),1,38:33,7,13,.538,1,3,.333,4,6,.667,1,5,6,3,1,0,5,2,19,11.4,+9,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
18,18,2013-12-01,25-357,CHA,@,MIA,L (-1),1,33:22,6,12,.500,0,1,.000,5,5,1.000,1,5,6,4,2,1,3,3,17,14.5,+4,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
19,19,2013-12-03,25-359,CHA,@,DAL,L (-7),1,26:22,7,11,.636,0,0,,2,3,.667,1,2,3,0,1,0,2,2,16,10.2,-7,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
20,20,2013-12-06,25-362,CHA,,PHI,W (+17),1,35:38,6,14,.429,0,3,.000,6,8,.750,1,2,3,4,2,1,3,2,18,12.8,+16,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
21,21,2013-12-09,26-000,CHA,,GSW,W (+4),1,37:11,11,23,.478,0,1,.000,2,3,.667,1,2,3,1,0,1,2,2,24,11.8,-6,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
22,22,2013-12-11,26-002,CHA,,ORL,L (-9),1,30:27,3,14,.214,1,3,.333,5,5,1.000,0,4,4,3,0,1,0,3,12,6.2,-14,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
23,23,2013-12-13,26-004,CHA,@,IND,L (-5),1,26:16,5,9,.556,0,1,.000,0,0,,0,3,3,4,0,0,1,2,10,7.6,-10,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
24,24,2013-12-14,26-005,CHA,,LAL,L (-3),1,33:33,6,13,.462,0,0,,1,2,.500,1,5,6,0,1,2,0,1,13,10.1,+1,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
25,25,2013-12-17,26-008,CHA,,SAC,W (+8),1,34:40,7,13,.538,0,0,,6,8,.750,1,4,5,5,1,2,3,4,20,16.1,+4,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
26,26,2013-12-18,26-009,CHA,@,TOR,W (+2),1,36:36,3,8,.375,0,0,,5,8,.625,0,4,4,4,2,0,0,3,11,10.2,+14,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
27,27,2013-12-20,26-011,CHA,@,DET,W (+10),1,34:30,8,13,.615,0,0,,6,7,.857,1,7,8,3,1,0,1,1,22,20.2,+8,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
28,28,2013-12-21,26-012,CHA,,UTA,L (-3),1,29:51,4,14,.286,0,1,.000,4,4,1.000,1,4,5,2,0,0,1,2,12,5.3,-5,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
29,29,2013-12-23,26-014,CHA,,MIL,W (+1),1,37:19,2,10,.200,0,0,,4,4,1.000,0,4,4,6,0,0,0,1,8,6.8,-4,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
30,30,2013-12-27,26-018,CHA,,OKC,L (-4),1,32:32,6,12,.500,1,2,.500,1,1,1.000,0,3,3,1,0,0,0,4,14,8.0,-7,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
31,31,2013-12-28,26-019,CHA,@,ATL,L (-2),1,38:46,11,17,.647,0,0,,0,2,.000,0,5,5,4,1,0,2,4,22,15.4,-2,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
32,32,2013-12-30,26-021,CHA,@,UTA,L (-3),1,35:32,6,13,.462,2,2,1.000,5,8,.625,0,3,3,2,0,0,1,1,19,12.0,-1,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
33,33,2014-01-01,26-023,CHA,@,LAC,L (-27),1,32:19,3,11,.273,0,1,.000,6,6,1.000,0,0,0,1,0,0,0,3,12,5.0,-17,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
34,34,2014-01-02,26-024,CHA,@,POR,L (-30),1,24:03,5,9,.556,1,1,1.000,5,6,.833,0,1,1,2,1,0,0,2,16,13.2,-25,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
35,35,2014-01-04,26-026,CHA,@,SAC,W (+10),1,34:49,7,13,.538,1,2,.500,1,2,.500,0,3,3,3,1,0,0,2,16,12.5,+5,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
36,36,2014-01-07,26-029,CHA,,WAS,L (-14),1,35:16,10,19,.526,1,2,.500,6,8,.750,1,6,7,1,0,0,2,1,27,17.7,-19,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
37,37,2014-01-10,26-032,CHA,@,MIN,L (-27),1,24:00,5,13,.385,0,1,.000,2,5,.400,0,3,3,2,0,0,0,1,12,5.6,-17,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
38,38,2014-01-11,26-033,CHA,@,CHI,L (-6),1,36:58,10,16,.625,1,1,1.000,9,9,1.000,0,3,3,3,2,1,4,4,30,22.9,-2,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
39,39,2014-01-14,26-036,CHA,,NYK,W (+10),1,35:35,6,13,.462,1,3,.333,4,4,1.000,0,3,3,3,0,0,1,1,17,11.9,+6,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
40,40,2014-01-15,26-037,CHA,@,PHI,L (-3),1,30:32,2,14,.143,0,1,.000,4,5,.800,0,1,1,3,1,0,2,1,8,-0.4,-13,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
41,41,2014-01-17,26-039,CHA,@,ORL,W (+10),1,35:03,3,11,.273,0,2,.000,11,12,.917,0,3,3,1,0,2,3,2,17,9.3,+10,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
42,42,2014-01-18,26-040,CHA,,MIA,L (-8),1,40:11,4,11,.364,0,0,,3,3,1.000,0,3,3,5,1,1,2,5,11,7.0,-18,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
43,43,2014-01-20,26-042,CHA,,TOR,W (+5),1,34:14,4,11,.364,0,1,.000,8,10,.800,0,4,4,5,0,1,3,1,16,11.1,+5,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
44,44,2014-01-22,26-044,CHA,,LAC,W (+4),1,35:45,6,14,.429,0,0,,1,4,.250,1,6,7,3,1,0,0,1,13,9.6,-1,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
45,45,2014-01-24,26-046,CHA,@,NYK,L (-29),1,32:22,4,9,.444,0,2,.000,0,0,,0,1,1,1,0,0,2,3,8,1.1,-30,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
46,46,2014-01-25,26-047,CHA,,CHI,L (-2),1,37:16,5,12,.417,0,0,,1,2,.500,1,5,6,3,1,0,2,0,11,7.5,-6,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
47,47,2014-01-29,26-051,CHA,@,DEN,W (+3),1,35:17,6,17,.353,1,2,.500,3,4,.750,0,8,8,5,0,2,1,0,16,12.4,+1,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
48,48,2014-01-31,26-053,CHA,@,LAL,W (+10),1,37:03,9,19,.474,0,2,.000,2,2,1.000,0,3,3,1,2,0,2,2,20,11.1,+14,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
49,49,2014-02-01,26-054,CHA,@,PHO,L (-10),1,24:26,3,7,.429,0,0,,0,0,,0,2,2,2,1,0,0,0,6,5.3,-16,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
50,50,2014-02-04,26-057,CHA,@,GSW,W (+16),1,37:13,8,17,.471,0,1,.000,1,2,.500,0,8,8,6,1,0,3,4,17,10.9,+7,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
51,51,2014-02-08,26-061,CHA,,SAS,L (-4),1,35:07,8,19,.421,2,5,.400,5,8,.625,1,4,5,4,1,0,4,2,23,12.6,+2,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
52,52,2014-02-11,26-064,CHA,,DAL,W (+25),1,32:12,7,11,.636,1,1,1.000,0,0,,0,2,2,2,0,0,1,1,15,10.7,+17,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
53,53,2014-02-12,26-065,CHA,@,BRK,L (-16),1,27:39,3,11,.273,1,2,.500,0,1,.000,0,0,0,1,0,1,2,2,7,-1.3,-24,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
54,54,2014-02-18,26-071,CHA,@,DET,W (+12),1,32:03,3,7,.429,0,1,.000,6,6,1.000,0,1,1,7,0,0,1,2,12,11.7,+14,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
55,55,2014-02-19,26-072,CHA,,DET,W (+18),1,26:25,5,7,.714,1,3,.333,0,0,,0,8,8,0,0,0,1,3,11,8.3,+21,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
56,56,2014-02-21,26-074,CHA,,NOP,W (+3),1,30:11,3,8,.375,0,0,,1,4,.250,0,1,1,0,1,0,0,2,7,1.9,-6,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
57,57,2014-02-22,26-075,CHA,,MEM,W (+3),1,29:54,4,9,.444,0,0,,1,2,.500,0,5,5,1,0,0,1,2,9,4.3,-8,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
58,58,2014-02-28,26-081,CHA,@,SAS,L (-10),1,30:51,6,15,.400,0,3,.000,0,1,.000,0,3,3,2,1,0,0,4,12,5.2,-14,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
59,59,2014-03-02,26-083,CHA,@,OKC,L (-17),1,28:02,2,7,.286,0,2,.000,5,7,.714,0,5,5,0,1,0,1,1,9,5.2,-17,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
60,,2014-03-03,26-084,CHA,@,MIA,L (-17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
61,,2014-03-05,26-086,CHA,,IND,W (+22),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
62,,2014-03-07,26-088,CHA,,CLE,W (+9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
63,,2014-03-08,26-089,CHA,@,MEM,L (-22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
64,,2014-03-10,26-091,CHA,,DEN,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
65,60,2014-03-12,26-093,CHA,@,WAS,W (+13),1,26:38,6,9,.667,0,1,.000,1,2,.500,0,1,1,0,0,2,2,1,13,8.0,+12,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
66,61,2014-03-14,26-095,CHA,,MIN,W (+12),1,24:54,4,9,.444,2,3,.667,0,2,.000,1,3,4,1,0,0,2,3,10,3.6,+3,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
67,62,2014-03-16,26-097,CHA,@,MIL,W (+9),1,30:55,6,7,.857,2,3,.667,0,0,,0,5,5,6,1,1,2,0,14,16.9,+18,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
68,63,2014-03-17,26-098,CHA,,ATL,L (-14),1,29:25,5,12,.417,2,4,.500,4,4,1.000,0,3,3,1,0,1,1,0,16,10.9,-5,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
69,64,2014-03-19,26-100,CHA,@,BRK,L (-5),1,28:14,6,13,.462,1,5,.200,0,0,,1,5,6,3,1,0,1,2,13,9.8,-1,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
70,65,2014-03-22,26-103,CHA,,POR,W (+30),1,28:45,8,11,.727,2,2,1.000,5,5,1.000,0,8,8,5,1,1,2,2,23,23.3,+15,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
71,66,2014-03-24,26-105,CHA,,HOU,L (-11),1,31:26,5,13,.385,1,5,.200,2,2,1.000,0,1,1,1,0,1,1,1,13,6.2,-4,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
72,67,2014-03-26,26-107,CHA,,BRK,W (+5),1,37:25,3,8,.375,1,2,.500,0,2,.000,0,2,2,5,0,1,2,1,7,4.2,+9,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
73,68,2014-03-28,26-109,CHA,@,ORL,L (-5),1,39:50,7,13,.538,0,1,.000,0,0,,1,3,4,3,0,1,2,4,14,8.5,+1,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
74,69,2014-03-31,26-112,CHA,,WAS,W (+6),1,27:05,3,7,.429,0,1,.000,3,4,.750,0,3,3,2,1,0,1,2,9,6.4,-1,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
75,70,2014-04-02,26-114,CHA,@,PHI,W (+30),1,26:29,5,8,.625,1,1,1.000,3,4,.750,0,2,2,4,1,0,0,1,14,14.0,+10,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
76,71,2014-04-04,26-116,CHA,,ORL,W (+11),1,22:53,2,7,.286,0,2,.000,3,3,1.000,0,3,3,2,1,2,3,5,7,2.6,+15,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
77,72,2014-04-05,26-117,CHA,@,CLE,W (+2),1,32:41,5,13,.385,1,3,.333,4,4,1.000,0,2,2,0,1,0,0,2,15,8.7,+4,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
78,73,2014-04-09,26-121,CHA,@,WAS,W (+6),1,33:14,4,9,.444,3,3,1.000,2,2,1.000,0,5,5,2,1,0,0,1,13,11.8,+2,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
79,74,2014-04-11,26-123,CHA,@,BOS,L (-3),1,24:44,4,8,.500,2,2,1.000,1,2,.500,1,2,3,3,0,0,2,4,11,6.4,+2,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
80,75,2014-04-12,26-124,CHA,,PHI,W (+6),1,28:33,5,8,.625,0,1,.000,4,7,.571,1,3,4,3,0,2,2,1,14,11.9,-2,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
81,76,2014-04-14,26-126,CHA,@,ATL,W (+2),1,24:03,1,9,.111,0,1,.000,2,2,1.000,2,3,5,3,0,0,0,2,4,1.7,-10,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
82,77,2014-04-16,26-128,CHA,,CHI,W (+5),1,33:19,5,13,.385,0,0,,1,3,.333,0,6,6,1,0,0,1,1,11,4.2,+11,2014,hendege02,https://www.basketball-reference.com/players/h/hendege02/gamelog/2014
