Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
11,11,2015-11-17,27-149,BRK,,ATL,W (+2),1,32:32,7,13,.538,0,0,,2,2,1.000,3,8,11,0,5,0,2,3,16,16.0,+16,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
12,12,2015-11-18,27-150,BRK,@,CHO,L (-5),1,32:53,11,17,.647,0,1,.000,5,6,.833,2,6,8,1,1,0,0,3,27,22.8,+3,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
13,13,2015-11-20,27-152,BRK,@,BOS,L (-25),1,28:48,7,17,.412,0,0,,0,2,.000,2,8,10,1,2,0,0,1,14,10.2,-21,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
14,14,2015-11-22,27-154,BRK,,BOS,W (+10),1,28:06,4,8,.500,0,0,,3,4,.750,3,9,12,1,1,0,1,3,11,10.9,+1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
15,15,2015-11-25,27-157,BRK,@,OKC,L (-11),1,37:02,9,15,.600,0,1,.000,0,0,,1,7,8,3,3,0,3,1,18,15.6,-10,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
16,16,2015-11-28,27-160,BRK,@,CLE,L (-2),1,35:53,7,16,.438,0,1,.000,2,4,.500,2,10,12,0,1,0,0,3,16,11.0,-1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
17,17,2015-11-29,27-161,BRK,,DET,W (+4),1,31:01,9,12,.750,0,0,,1,2,.500,1,9,10,3,1,1,2,3,19,17.8,+3,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
18,18,2015-12-01,27-163,BRK,,PHO,W (+3),1,35:37,3,14,.214,0,0,,2,4,.500,1,3,4,2,0,0,2,1,8,-0.8,-5,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
19,19,2015-12-04,27-166,BRK,@,NYK,L (-17),1,32:47,9,19,.474,0,0,,0,0,,4,7,11,1,1,0,3,0,18,11.9,-26,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
20,20,2015-12-06,27-168,BRK,,GSW,L (-16),1,35:22,11,19,.579,0,1,.000,3,6,.500,5,9,14,0,0,0,2,3,25,17.9,-18,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
21,21,2015-12-08,27-170,BRK,,HOU,W (+5),1,33:49,10,13,.769,0,0,,0,0,,2,10,12,5,3,0,5,2,20,20.0,+11,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
22,22,2015-12-10,27-172,BRK,,PHI,W (+9),1,32:54,6,13,.462,0,0,,6,9,.667,2,9,11,0,2,0,4,2,18,11.4,0,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
23,23,2015-12-12,27-174,BRK,,LAC,L (-5),1,35:43,9,16,.563,0,0,,0,0,,1,4,5,0,1,0,1,3,18,11.1,-8,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
24,24,2015-12-14,27-176,BRK,,ORL,L (-23),1,34:17,5,11,.455,0,1,.000,0,0,,2,9,11,2,1,0,1,3,10,8.6,-21,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
25,25,2015-12-16,27-178,BRK,,MIA,L (-6),1,29:49,4,13,.308,0,0,,0,0,,1,6,7,4,1,1,1,1,8,6.1,-4,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
26,26,2015-12-18,27-180,BRK,@,IND,L (-7),1,32:57,5,14,.357,0,0,,4,4,1.000,6,8,14,2,1,1,1,3,14,13.7,-1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
27,27,2015-12-20,27-182,BRK,,MIN,L (-15),1,33:14,4,11,.364,0,0,,4,4,1.000,1,7,8,0,1,0,0,1,12,9.3,-24,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
28,28,2015-12-21,27-183,BRK,@,CHI,W (+3),1,31:11,8,15,.533,0,0,,0,0,,6,7,13,2,3,0,3,1,16,16.0,0,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
29,29,2015-12-23,27-185,BRK,,DAL,L (-1),1,43:12,14,20,.700,1,1,1.000,0,5,.000,6,4,10,2,4,1,2,1,29,27.7,+4,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
30,30,2015-12-26,27-188,BRK,,WAS,L (-15),1,36:42,8,14,.571,0,0,,0,4,.000,6,8,14,0,4,1,2,3,16,15.9,-16,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
31,31,2015-12-28,27-190,BRK,@,MIA,W (+6),1,33:28,4,7,.571,1,1,1.000,2,4,.500,2,4,6,0,3,0,2,6,11,8.1,-4,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
32,32,2015-12-30,27-192,BRK,@,ORL,L (-7),1,27:06,5,7,.714,0,0,,6,6,1.000,2,2,4,3,1,0,1,2,16,16.4,-8,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
33,33,2016-01-02,27-195,BRK,@,BOS,W (+3),1,32:51,7,16,.438,0,0,,2,2,1.000,5,5,10,1,1,0,1,4,16,11.7,+7,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
34,34,2016-01-04,27-197,BRK,,BOS,L (-9),1,37:48,9,18,.500,2,4,.500,3,4,.750,6,9,15,2,1,2,2,1,23,21.9,-7,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
35,35,2016-01-06,27-199,BRK,,TOR,L (-17),1,30:39,5,13,.385,0,1,.000,1,1,1.000,0,7,7,2,2,0,2,3,11,6.2,-15,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
36,36,2016-01-08,27-201,BRK,,ORL,L (-6),1,29:44,5,7,.714,0,0,,1,2,.500,2,7,9,3,1,0,4,5,11,8.3,-6,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
37,37,2016-01-09,27-202,BRK,@,DET,L (-14),1,28:42,6,14,.429,0,1,.000,0,0,,3,6,9,0,1,0,4,3,12,4.3,-6,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
38,38,2016-01-11,27-204,BRK,,SAS,L (-27),1,28:03,4,10,.400,0,1,.000,1,2,.500,0,9,9,1,0,0,4,2,9,1.8,-16,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
39,39,2016-01-13,27-206,BRK,,NYK,W (+6),1,39:01,9,18,.500,0,0,,1,2,.500,4,7,11,3,3,0,1,1,19,18.2,+23,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
40,40,2016-01-15,27-208,BRK,,POR,L (-12),1,33:47,5,11,.455,0,0,,1,2,.500,4,4,8,3,2,1,2,1,11,11.3,+3,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
41,41,2016-01-16,27-209,BRK,@,ATL,L (-28),1,26:40,8,12,.667,0,0,,2,4,.500,0,7,7,0,2,1,1,4,18,14.2,-1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
42,42,2016-01-18,27-211,BRK,@,TOR,L (-12),1,34:40,4,11,.364,0,0,,3,3,1.000,2,7,9,2,0,1,3,3,11,6.3,0,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
43,43,2016-01-20,27-213,BRK,,CLE,L (-13),1,24:39,7,14,.500,0,1,.000,0,1,.000,1,4,5,1,1,0,1,6,14,6.8,-5,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
44,44,2016-01-22,27-215,BRK,,UTA,L (-22),1,26:46,5,10,.500,0,1,.000,0,2,.000,0,2,2,1,0,0,0,1,10,5.1,-16,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
45,45,2016-01-24,27-217,BRK,,OKC,W (+10),1,39:01,7,17,.412,0,0,,0,0,,7,7,14,3,1,1,1,0,14,14.7,+6,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
46,46,2016-01-26,27-219,BRK,,MIA,L (-4),1,31:46,6,11,.545,0,0,,0,2,.000,0,5,5,0,1,0,1,5,12,5.4,+3,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
47,47,2016-01-29,27-222,BRK,@,DAL,L (-12),1,41:02,4,13,.308,0,0,,3,4,.750,2,8,10,1,5,0,2,0,11,10.6,0,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
48,48,2016-01-30,27-223,BRK,@,NOP,L (-2),1,34:06,7,11,.636,0,0,,2,2,1.000,2,6,8,4,1,0,2,1,16,15.7,+1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
49,49,2016-02-01,27-225,BRK,,DET,L (-5),1,24:34,3,7,.429,0,0,,2,2,1.000,0,5,5,0,0,1,1,3,8,4.3,-9,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
50,50,2016-02-03,27-227,BRK,,IND,L (-14),1,34:44,6,12,.500,0,0,,4,6,.667,3,11,14,1,0,0,4,1,16,10.9,-10,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
51,51,2016-02-05,27-229,BRK,,SAC,W (+9),1,38:34,6,10,.600,0,0,,2,2,1.000,1,13,14,7,2,0,3,1,14,17.5,+14,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
52,52,2016-02-06,27-230,BRK,@,PHI,L (-5),1,39:02,10,15,.667,0,0,,2,4,.500,1,9,10,3,1,1,5,1,22,16.5,-7,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
53,53,2016-02-08,27-232,BRK,,DEN,W (+1),1,37:11,9,15,.600,0,0,,2,2,1.000,0,7,7,2,1,3,3,2,20,15.9,+3,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
54,54,2016-02-10,27-234,BRK,,MEM,L (-19),1,25:03,5,11,.455,0,0,,0,0,,2,7,9,2,0,0,0,2,10,8.4,-1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
55,55,2016-02-19,27-243,BRK,,NYK,W (+11),1,37:49,6,16,.375,0,0,,1,2,.500,1,8,9,5,2,0,0,5,13,10.4,+16,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
56,56,2016-02-21,27-245,BRK,,CHO,L (-8),1,37:34,6,10,.600,0,0,,2,2,1.000,1,7,8,5,3,0,6,3,14,11.5,-2,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
57,57,2016-02-23,27-247,BRK,@,POR,L (-8),1,36:00,3,11,.273,0,0,,2,2,1.000,2,9,11,2,0,0,1,2,8,5.2,-7,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
58,58,2016-02-25,27-249,BRK,@,PHO,W (+10),1,35:42,8,11,.727,0,0,,2,2,1.000,3,5,8,3,7,3,1,2,18,26.5,+13,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
59,59,2016-02-27,27-251,BRK,@,UTA,W (+2),1,36:27,10,16,.625,1,1,1.000,0,0,,3,5,8,0,3,0,3,3,21,16.2,-6,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
60,60,2016-02-29,27-253,BRK,@,LAC,L (-10),1,37:13,4,12,.333,0,0,,1,1,1.000,2,9,11,4,1,0,2,3,9,6.9,-6,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
61,61,2016-03-01,27-254,BRK,@,LAL,L (-6),1,34:13,6,14,.429,0,1,.000,7,8,.875,4,11,15,2,1,0,1,2,19,17.9,0,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
62,62,2016-03-04,27-257,BRK,@,DEN,W (+1),1,39:25,8,16,.500,0,0,,0,2,.000,1,4,5,2,2,1,1,4,16,10.6,+1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
63,,2016-03-05,27-258,BRK,@,MIN,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
64,63,2016-03-08,27-261,BRK,@,TOR,L (-5),1,31:55,7,15,.467,0,1,.000,0,0,,1,3,4,1,0,1,1,5,14,6.3,0,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
65,64,2016-03-11,27-264,BRK,@,PHI,L (-6),1,39:54,8,20,.400,0,1,.000,5,8,.625,4,5,9,2,2,0,1,3,21,14.5,-1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
66,65,2016-03-13,27-266,BRK,,MIL,L (-9),1,36:35,8,15,.533,1,2,.500,0,0,,2,8,10,4,1,0,1,3,17,15.1,-12,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
67,66,2016-03-15,27-268,BRK,,PHI,W (+17),1,32:40,5,9,.556,0,0,,4,4,1.000,4,12,16,4,2,3,0,6,14,20.6,+21,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
68,67,2016-03-17,27-270,BRK,@,CHI,L (-16),1,30:54,7,11,.636,0,0,,2,2,1.000,4,10,14,1,2,2,0,2,16,20.2,+9,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
69,68,2016-03-19,27-272,BRK,@,DET,L (-12),1,25:48,12,17,.706,0,1,.000,0,2,.000,1,8,9,2,1,2,0,2,24,22.2,+2,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
70,69,2016-03-22,27-275,BRK,,CHO,L (-5),1,35:38,5,12,.417,0,0,,0,0,,1,7,8,1,0,0,6,4,10,-0.5,-8,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
71,70,2016-03-24,27-277,BRK,,CLE,W (+9),1,30:51,4,9,.444,0,0,,0,0,,3,3,6,2,2,0,1,3,8,7.5,+3,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
72,71,2016-03-26,27-279,BRK,,IND,W (+10),1,29:48,4,8,.500,0,0,,0,0,,1,2,3,2,1,1,1,1,8,7.0,+1,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
73,72,2016-03-28,27-281,BRK,@,MIA,L (-11),1,30:55,10,12,.833,0,0,,0,0,,1,8,9,3,3,1,1,1,20,23.1,-2,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
74,,2016-03-29,27-282,BRK,@,ORL,L (-34),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
75,73,2016-03-31,27-284,BRK,@,CLE,L (-20),1,27:49,9,18,.500,0,0,,0,0,,4,4,8,0,1,0,5,2,18,8.2,-24,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
76,,2016-04-01,27-285,BRK,@,NYK,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
77,,2016-04-03,27-287,BRK,,NOP,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
78,,2016-04-06,27-290,BRK,@,WAS,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
79,,2016-04-08,27-292,BRK,@,CHO,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
80,,2016-04-10,27-294,BRK,@,IND,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
81,,2016-04-11,27-295,BRK,,WAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
82,,2016-04-13,27-297,BRK,,TOR,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,youngth01,https://www.basketball-reference.com/players/y/youngth01/gamelog/2016
