Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1983-10-28,22-233,NYK,@,CLE,W (+7),0,14:00,3,8,.375,0,0,,1,2,.500,2,1,3,1,4,0,2,2,7,5.8,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
2,2,1983-10-29,22-234,NYK,,WSB,W (+3),0,14:00,3,7,.429,1,2,.500,1,2,.500,0,3,3,4,1,0,2,4,8,5.0,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
3,3,1983-11-02,22-238,NYK,@,SEA,L (-6),0,14:00,3,6,.500,0,0,,0,0,,0,1,1,2,2,0,1,2,6,4.9,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
4,4,1983-11-04,22-240,NYK,@,POR,L (-9),0,23:00,3,7,.429,0,1,.000,2,2,1.000,2,0,2,3,0,0,2,4,8,4.2,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
5,5,1983-11-05,22-241,NYK,@,GSW,L (-2),0,17:00,3,7,.429,0,0,,7,8,.875,0,0,0,2,2,1,4,6,13,6.6,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
6,6,1983-11-08,22-244,NYK,,MIL,L (-7),0,14:00,2,6,.333,0,0,,4,4,1.000,2,2,4,2,2,1,2,3,8,7.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
7,7,1983-11-10,22-246,NYK,@,IND,W (+8),0,27:00,7,15,.467,0,0,,2,2,1.000,0,2,2,6,2,0,2,1,16,12.7,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
8,8,1983-11-11,22-247,NYK,,SDC,W (+21),0,22:00,2,6,.333,0,0,,3,4,.750,0,1,1,5,2,1,1,3,7,7.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
9,9,1983-11-15,22-251,NYK,,IND,W (+7),0,14:00,1,3,.333,0,0,,2,5,.400,0,1,1,3,3,0,3,1,4,3.1,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
10,10,1983-11-16,22-252,NYK,@,PHI,L (-5),0,18:00,3,6,.500,0,0,,6,6,1.000,2,1,3,2,1,0,3,3,12,8.9,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
11,11,1983-11-18,22-254,NYK,@,BOS,W (+7),0,15:00,2,6,.333,0,0,,7,7,1.000,2,2,4,2,1,0,5,1,11,6.6,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
12,12,1983-11-19,22-255,NYK,,DET,W (+3),0,13:00,1,3,.333,0,0,,1,2,.500,2,2,4,1,0,0,2,2,3,0.8,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
13,13,1983-11-22,22-258,NYK,,BOS,W (+4),0,12:00,2,8,.250,0,1,.000,1,2,.500,1,1,2,3,1,0,0,1,5,3.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
14,14,1983-11-26,22-262,NYK,,CLE,W (+12),0,16:00,2,5,.400,0,0,,1,2,.500,0,2,2,0,0,1,2,1,5,0.8,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
15,15,1983-11-27,22-263,NYK,@,IND,L (-10),0,12:00,0,0,,0,0,,0,0,,0,0,0,1,1,0,2,3,0,-1.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
16,16,1983-11-29,22-265,NYK,,SAS,W (+12),0,11:00,4,9,.444,0,0,,2,3,.667,4,1,5,3,1,0,4,2,10,6.3,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
17,17,1983-11-30,22-266,NYK,@,NJN,W (+9),0,15:00,4,6,.667,0,0,,2,3,.667,0,0,0,1,0,0,4,2,10,2.9,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
18,18,1983-12-01,22-267,NYK,,WSB,W (+34),0,21:00,3,5,.600,0,0,,2,4,.500,2,4,6,4,1,0,1,5,8,8.3,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
19,19,1983-12-03,22-269,NYK,,HOU,W (+16),0,20:00,1,8,.125,0,0,,5,6,.833,2,1,3,7,0,0,2,1,7,5.6,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
20,20,1983-12-06,22-272,NYK,,DEN,L (-5),0,16:00,1,7,.143,0,0,,2,2,1.000,2,2,4,4,0,0,1,4,4,1.7,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
21,21,1983-12-08,22-274,NYK,@,PHO,L (-23),0,19:00,4,6,.667,0,0,,1,2,.500,1,2,3,3,0,0,2,1,9,7.0,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
22,22,1983-12-09,22-275,NYK,@,SDC,W (+19),0,12:00,1,4,.250,0,0,,2,3,.667,1,1,2,3,0,0,4,1,4,-0.1,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
23,23,1983-12-11,22-277,NYK,@,LAL,W (+11),0,9:00,2,7,.286,0,0,,3,3,1.000,0,0,0,6,3,0,0,2,7,9.3,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
24,24,1983-12-13,22-279,NYK,,BOS,L (-2),0,16:00,1,5,.200,0,0,,1,2,.500,0,1,1,2,1,0,5,2,3,-3.6,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
25,25,1983-12-15,22-281,NYK,,CHI,L (-6),0,12:00,4,5,.800,0,0,,3,4,.750,0,1,1,3,1,0,3,4,11,7.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
26,26,1983-12-17,22-283,NYK,,MIL,W (+6),0,17:00,4,5,.800,0,0,,0,0,,1,1,2,0,1,0,5,1,8,2.7,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
27,27,1983-12-23,22-289,NYK,@,ATL,L (-1),0,16:00,0,5,.000,0,0,,4,4,1.000,0,0,0,2,4,0,2,1,4,3.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
28,28,1983-12-25,22-291,NYK,,NJN,W (+2),0,13:00,3,7,.429,0,0,,1,1,1.000,1,1,2,2,2,0,2,1,7,5.3,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
29,29,1983-12-27,22-293,NYK,@,CHI,L (-6),0,11:00,3,5,.600,0,1,.000,4,4,1.000,1,0,1,2,0,0,6,1,10,3.4,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
30,30,1983-12-28,22-294,NYK,,DET,L (-3),0,10:00,1,6,.167,0,0,,3,4,.750,0,0,0,2,2,1,0,3,5,3.7,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
31,31,1983-12-30,22-296,NYK,@,WSB,L (-5),0,14:00,3,6,.500,0,0,,3,4,.750,2,0,2,3,2,0,1,4,9,8.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
32,32,1984-01-03,22-300,NYK,,LAL,W (+12),0,9:00,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,2,1,2,-1.4,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
33,33,1984-01-06,22-303,NYK,@,DET,L (-11),0,18:00,1,6,.167,0,0,,1,2,.500,1,1,2,3,1,0,1,3,3,0.7,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
34,34,1984-01-07,22-304,NYK,,IND,W (+37),0,24:00,2,4,.500,0,0,,10,12,.833,1,2,3,10,2,1,4,4,14,16.6,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
35,35,1984-01-09,22-306,NYK,,PHI,W (+38),0,20:00,5,11,.455,0,0,,9,12,.750,3,2,5,3,6,0,4,1,19,18.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
36,36,1984-01-13,22-310,NYK,@,MIL,L (-2),0,11:00,1,2,.500,0,0,,0,0,,0,0,0,4,1,0,1,4,2,2.2,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
37,37,1984-01-14,22-311,NYK,@,CHI,W (+2),0,10:00,3,8,.375,0,0,,2,2,1.000,1,4,5,2,2,0,4,4,8,3.3,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
38,38,1984-01-17,22-314,NYK,,NJN,L (-6),0,14:00,1,4,.250,0,0,,2,2,1.000,0,0,0,5,4,0,2,3,4,5.9,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
39,39,1984-01-19,22-316,NYK,,CHI,W (+17),0,25:00,5,12,.417,0,0,,2,3,.667,1,1,2,5,4,0,3,3,12,9.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
40,40,1984-01-21,22-318,NYK,,ATL,L (-2),0,15:00,3,5,.600,0,0,,1,2,.500,0,1,1,4,0,0,0,1,7,7.0,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
41,41,1984-01-24,22-321,NYK,,PHI,W (+9),0,11:00,0,4,.000,0,0,,2,2,1.000,1,1,2,3,2,1,2,4,2,1.4,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
42,42,1984-01-26,22-323,NYK,@,WSB,W (+7),0,16:00,4,6,.667,0,0,,0,0,,2,3,5,3,3,0,2,3,8,9.6,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
43,43,1984-01-31,22-328,NYK,@,SAS,W (+4),0,25:00,3,8,.375,0,0,,3,4,.750,2,3,5,15,3,1,2,1,9,18.3,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
44,44,1984-02-01,22-329,NYK,@,DAL,W (+7),0,16:00,1,3,.333,0,0,,0,0,,0,1,1,7,1,0,1,2,2,4.7,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
45,45,1984-02-04,22-332,NYK,@,HOU,W (+8),0,15:00,4,11,.364,0,0,,1,2,.500,2,2,4,2,3,0,2,1,9,6.5,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
46,46,1984-02-06,22-334,NYK,,GSW,W (+22),0,16:00,0,2,.000,0,0,,5,6,.833,0,1,1,5,2,3,1,0,5,10.1,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
47,47,1984-02-08,22-336,NYK,@,MIL,L (-10),0,16:00,4,5,.800,0,0,,3,4,.750,0,1,1,2,2,0,4,4,11,6.8,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
48,48,1984-02-10,22-338,NYK,@,UTA,W (+10),0,15:00,6,7,.857,0,0,,0,0,,0,0,0,3,3,0,1,3,12,12.4,1984,walkeda01,https://www.basketball-reference.com/players/w/walkeda01/gamelog/1984
