Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,1999-11-02,24-105,MIL,@,HOU,W (+5),1,29:35,8,14,.571,0,1,.000,3,4,.750,0,4,4,2,1,0,1,3,19,13.4,+20,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
2,2,1999-11-04,24-107,MIL,@,ATL,W (+10),1,35:02,10,23,.435,3,7,.429,8,8,1.000,2,3,5,2,1,0,0,1,31,23.2,+9,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
3,3,1999-11-06,24-109,MIL,,DET,W (+10),1,31:35,8,19,.421,3,6,.500,7,7,1.000,1,6,7,5,0,1,1,5,26,19.6,+12,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
4,4,1999-11-08,24-111,MIL,@,NYK,L (-10),1,43:24,6,19,.316,2,5,.400,4,5,.800,1,3,4,1,1,0,2,2,18,7.2,-20,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
5,5,1999-11-10,24-113,MIL,@,CHH,L (-6),1,36:59,8,18,.444,3,6,.500,5,5,1.000,1,3,4,2,1,0,1,2,24,16.8,-4,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
6,6,1999-11-12,24-115,MIL,,PHO,W (+15),1,32:17,6,15,.400,2,3,.667,6,6,1.000,0,1,1,5,1,0,1,3,20,14.5,+9,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
7,7,1999-11-13,24-116,MIL,@,CLE,L (-5),1,24:36,7,14,.500,1,4,.250,7,7,1.000,1,1,2,5,2,0,4,5,22,15.5,-3,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
8,8,1999-11-16,24-119,MIL,,LAC,W (+8),1,34:57,7,16,.438,1,4,.250,4,5,.800,1,2,3,6,0,0,2,3,19,12.5,0,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
9,9,1999-11-18,24-121,MIL,,SAS,W (+11),1,40:15,9,19,.474,3,5,.600,5,8,.625,4,4,8,3,1,0,3,3,26,18.0,+10,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
10,10,1999-11-20,24-123,MIL,,UTA,L (-11),1,41:55,6,17,.353,1,3,.333,10,10,1.000,1,3,4,7,3,0,3,3,23,18.8,-3,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
11,11,1999-11-21,24-124,MIL,@,DET,L (-19),1,37:19,13,15,.867,4,5,.800,3,3,1.000,0,4,4,10,4,1,2,3,33,37.4,-6,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
12,12,1999-11-24,24-127,MIL,,CHI,W (+7),1,38:58,6,13,.462,0,3,.000,6,8,.750,1,4,5,3,2,0,1,5,18,13.5,+2,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
13,13,1999-11-26,24-129,MIL,@,BOS,W (+2),1,37:44,7,13,.538,2,3,.667,2,4,.500,2,1,3,1,1,1,3,3,18,10.8,-5,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
14,14,1999-11-27,24-130,MIL,,PHI,L (-3),1,41:13,9,25,.360,2,9,.222,3,3,1.000,2,5,7,5,0,1,1,2,23,14.4,-3,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
15,15,1999-12-02,24-135,MIL,,NYK,L (-4),1,39:51,8,18,.444,3,4,.750,6,7,.857,0,3,3,2,0,0,1,1,25,16.1,-9,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
16,16,1999-12-04,24-137,MIL,@,CHI,W (+1),1,40:21,7,16,.438,0,2,.000,5,6,.833,0,3,3,4,1,0,6,2,19,8.1,+2,2000,allenra02,https://www.basketball-reference.com/players/a/allenra02/gamelog/2000
